clusterID	N	coord	gene	annotation	FDR
clu_15279_-	10	chr8:144978553-144999603	ZNF252P	cryptic	1.47e-07
clu_119663_-	31	chr1:122149821-122225809	.	annotated	1.5e-07
clu_50572_-	18	chr2:241090044-241102253	MTERF4	cryptic	1.5e-07
clu_137018_+	4	chr14:91167378-91173289	C14orf159	annotated	1.61e-07
clu_135363_-	2	chr6:159167354-159168533	RP11-13P5.2	cryptic	1.79e-07
clu_28521_+	4	chr20:16041278-16049833	MACROD2	annotated	2.51e-07
clu_49597_-	4	chr2:182264414-182522276	PDE1A	annotated	2.56e-07
clu_164468_+	2	chr7:65073514-65078624	CCT6P3	cryptic	2.56e-07
clu_135496_-	4	chr6:166946739-166952488	RNASET2	cryptic	3.27e-07
clu_19881_-	3	chr3:197621868-197623220	AC024560.3	annotated	3.44e-07
clu_101609_+	6	chr6:42879951-42883454	RPL7L1	cryptic	3.57e-07
clu_30690_-	5	chr16:21839310-21843386	NPIPB4	cryptic	3.58e-07
clu_72814_-	4	chr14:67350690-67359658	ATP6V1D	annotated	3.6e-07
clu_40169_-	5	chr9:41102841-41104468	BX255923.3	cryptic	3.6e-07
clu_107178_+	8	chr8:24351286-24354384	ADAM28	cryptic	3.68e-07
clu_156678_-	5	chr10:103392466-103396409	USMG5	annotated	3.69e-07
clu_75713_+	16	chr9:128409800-128422868	CERCAM	cryptic	3.86e-07
clu_120099_-	39	chr1:148272035-148459602	LINC01138	cryptic	3.9e-07
clu_15512_+	6	chr18:13056698-13059233	CEP192	cryptic	3.92e-07
clu_51570_+	4	chr1:22052742-22078429	CDC42	annotated	4.18e-07
clu_123097_+	18	chr10:46911501-46999912	PTPN20	cryptic	4.18e-07
clu_71951_-	6	chr14:21023321-21025677	NDRG2	annotated	4.18e-07
clu_40681_-	3	chr9:92068098-92080016	SPTLC1	cryptic	4.18e-07
clu_150148_-	4	chr7:102488598-102493116	RASA4B	annotated	4.19e-07
clu_14594_-	10	chr8:115620060-115669345	TRPS1	cryptic	4.34e-07
clu_153478_-	14	chr4:163700863-164111588	MARCH1	cryptic	4.41e-07
clu_115434_+	6	chr19:47745783-47750178	GLTSCR2	cryptic	4.51e-07
clu_15344_+	3	chr18:3262237-3272884	MYL12B	annotated	4.68e-07
clu_85578_-	4	chr17:37628672-37632113	DDX52	cryptic	4.88e-07
clu_154457_-	3	chr21:44907095-44910284	ITGB2	annotated	5.12e-07
clu_78063_-	6	chr13:20432296-20489370	CRYL1	cryptic	5.31e-07
clu_134291_-	12	chr6:85666147-85678136	SNHG5	cryptic	6.31e-07
clu_109292_-	5	chr12:10415794-10418344	KLRC3	cryptic	6.8e-07
clu_63604_+	6	chr22:29215630-29231020	EMID1	cryptic	7.39e-07
clu_156704_-	7	chr10:104166718-104179029	CFAP43	cryptic	8.64e-07
clu_43252_+	2	chr12:50429090-50430498	LARP4	annotated	8.76e-07
clu_147410_+	4	chr17:73203793-73206154	COG1	cryptic	1.07e-06
clu_101899_+	2	chr6:54189914-54202105	MLIP	cryptic	1.09e-06
clu_10814_-	10	chr15:95150598-95256674	LINC01197	cryptic	1.18e-06
clu_51839_+	5	chr1:28236452-28237844	ATPIF1	cryptic	1.2e-06
clu_85296_-	5	chr17:29082438-29086936	MYO18A	annotated	1.2e-06
clu_22830_+	5	chr16:89554563-89556887	SPG7	cryptic	1.42e-06
clu_151479_-	11	chr4:1096839-1113356	RNF212	cryptic	1.53e-06
clu_71122_-	4	chr20:35626800-35630439	CPNE1	cryptic	1.58e-06
clu_72682_-	2	chr14:57209782-57209953	EXOC5	cryptic	1.62e-06
clu_2473_-	3	chr22:16700449-16703993	VWFP1	cryptic	1.64e-06
clu_23994_-	7	chr5:69366595-69369657	TAF9	cryptic	1.64e-06
clu_124994_+	2	chr15:23309735-23310188	RP11-228M15.1	cryptic	1.78e-06
clu_21779_+	8	chr16:53810217-53873786	FTO	cryptic	1.78e-06
clu_56874_+	4	chr1:226939591-226961508	COQ8A	annotated	2.03e-06
clu_62601_-	2	chr19:50968591-50969490	KLK6	cryptic	2.05e-06
clu_9260_-	7	chr15:40557372-40564976	C15orf57	annotated	2.08e-06
clu_120107_-	5	chr1:148535504-148551976	NBPF14	cryptic	2.3e-06
clu_60007_-	6	chr19:6444301-6454323	SLC25A23	cryptic	2.3e-06
clu_126400_+	3	chr15:69261329-69268220	GLCE	cryptic	2.34e-06
clu_21342_+	11	chr16:29085276-29090740	RRN3P2	cryptic	2.51e-06
clu_163858_+	9	chr7:23691596-23700789	FAM221A	cryptic	2.51e-06
clu_46423_-	36	chr2:11124785-11132273	AC062028.1	cryptic	2.52e-06
clu_41433_-	16	chr9:127896332-127912268	ST6GALNAC6	cryptic	2.52e-06
clu_151748_-	7	chr4:9224619-9243603	.	annotated	2.64e-06
clu_116343_-	13	chr1:495276-743286	RP4-669L17.10	cryptic	2.74e-06
clu_79470_+	2	chr3:10213401-10213488	IRAK2	cryptic	2.88e-06
clu_48890_-	4	chr2:132646280-132668400	LYPD1	cryptic	3.28e-06
clu_16569_-	2	chr3:14158886-14159741	XPC	cryptic	3.31e-06
clu_116510_-	6	chr1:1722831-1734690	CDK11A	cryptic	3.39e-06
clu_133079_-	5	chr6:11005559-11044228	ELOVL2	cryptic	3.39e-06
clu_53762_+	3	chr1:109657279-109657772	GSTM4	annotated	3.42e-06
clu_118626_-	24	chr1:60663025-60825336	RP11-436K8.1	cryptic	3.66e-06
clu_81758_+	7	chr3:139577850-139583129	RP11-319G6.1	cryptic	3.66e-06
clu_3956_-	17	chr11:795164-798217	SLC25A22	cryptic	3.67e-06
clu_155497_-	7	chr10:48060020-48105157	PTPN20CP	cryptic	3.77e-06
clu_153188_-	13	chr4:133078462-133138960	RP11-9G1.3	cryptic	3.82e-06
clu_28667_+	9	chr20:26602092-26607531	.	annotated	4.57e-06
clu_131551_+	6	chr2:190649360-190659158	NAB1	annotated	4.59e-06
clu_39417_+	4	chr21:46412992-46416069	PCNT	cryptic	4.81e-06
clu_110767_-	8	chr12:75293367-75304757	CAPS2	cryptic	4.99e-06
clu_40384_-	27	chr9:70024682-70258396	MAMDC2-AS1	cryptic	5.19e-06
clu_123879_+	2	chr10:91460565-91461337	HECTD2	cryptic	5.42e-06
clu_61880_-	3	chr19:40333929-40336110	C19orf47	annotated	5.89e-06
clu_13892_-	2	chr8:51820718-51831444	PCMTD1	annotated	6.38e-06
clu_16157_+	3	chr18:63949400-63954408	HMSD	annotated	6.58e-06
clu_152972_-	6	chr4:109302075-109362752	COL25A1	cryptic	7.48e-06
clu_148874_-	4	chr7:44013679-44016434	POLR2J4	cryptic	7.82e-06
clu_54023_+	3	chr1:120446043-120447630	NBPF8	cryptic	7.95e-06
clu_40958_-	3	chr9:104827169-104828916	ABCA1	cryptic	8.46e-06
clu_60760_-	8	chr19:15181801-15186878	NOTCH3	cryptic	8.86e-06
clu_19707_-	3	chr3:195294811-195295708	ACAP2	annotated	9.15e-06
clu_57030_+	4	chr1:232950744-232956347	NTPCR	annotated	9.36e-06
clu_134915_-	23	chr6:130216616-130365120	SAMD3	cryptic	9.43e-06
clu_125553_+	4	chr15:41286100-41308567	OIP5-AS1	cryptic	9.95e-06
clu_122801_+	2	chr10:22876923-22931996	ARMC3	cryptic	1.06e-05
clu_119629_-	18	chr1:121813971-122190678	.	annotated	1.08e-05
clu_61936_-	14	chr19:41456487-41500584	PCAT19	cryptic	1.08e-05
clu_80837_+	10	chr3:66263379-66369478	SLC25A26	cryptic	1.09e-05
clu_15101_-	6	chr8:143928447-143928676	.	annotated	1.15e-05
clu_31522_-	3	chr16:66826780-66830847	NAE1	annotated	1.16e-05
clu_123726_+	2	chr10:84139577-84141462	GHITM	cryptic	1.2e-05
clu_32138_-	8	chr16:84498111-84504601	TLDC1	cryptic	1.2e-05
clu_125924_+	18	chr15:45587525-45658907	BLOC1S6	annotated	1.24e-05
clu_20484_+	7	chr16:4944965-4959273	SEC14L5	cryptic	1.24e-05
clu_119672_-	24	chr1:121817745-122209702	.	annotated	1.3e-05
clu_54669_+	2	chr1:146691102-146692892	HYDIN2	cryptic	1.32e-05
clu_125182_+	4	chr15:25064855-25070120	SNHG14	cryptic	1.35e-05
clu_49100_-	3	chr2:158339085-158340598	CCDC148	annotated	1.35e-05
clu_120909_-	6	chr1:169310080-169367708	NME7	annotated	1.48e-05
clu_137330_+	2	chr14:101762970-101786018	PPP2R5C	annotated	1.49e-05
