""	source	type	score	phase	gene_id	gene_type	gene_status	gene_name	level	havana_gene	transcript_id	transcript_type	transcript_status	transcript_name	transcript_support_level	tag	havana_transcript	exon_number	exon_id	ont	protein_id	ccdsid	logFC	AveExpr	t	P.Value	adj.P.Val	B	SE
ENST00000566178.5	HAVANA	transcript			ENSG00000261377.5	transcribed_unprocessed_pseudogene	KNOWN	PDCD6IPP2	2	OTTHUMG00000176344.3	ENST00000566178.5	processed_transcript	KNOWN	PDCD6IPP2-005	5	basic	OTTHUMT00000431792.2						0.870367891704142	2.51358969639074	10.7620120309272	5.46739175928564e-22	4.79907767205514e-18	39.2852819844392	0.268174076074042
ENST00000553454.1	HAVANA	transcript			ENSG00000215256.3	antisense	KNOWN	DHRS4-AS1	1	OTTHUMG00000171901.1	ENST00000553454.1	antisense	KNOWN	DHRS4-AS1-003	1	exp_conf	OTTHUMT00000414895.1						2.28190636305804	-0.657825889984845	10.6120247822687	1.58685319817016e-21	1.27680853080102e-17	37.0737404904949	0.0764699246556608
ENST00000458500.5	HAVANA	transcript			ENSG00000147403.16	protein_coding	KNOWN	RPL10	1	OTTHUMG00000033189.13	ENST00000458500.5	protein_coding	KNOWN	RPL10-009	1	exp_conf	OTTHUMT00000127775.5				ENSP00000395025.1		1.04382159026215	5.19372849310576	10.3580244846674	9.54052602338236e-21	7.08596884355123e-17	36.3516980638468	0.100081142858435
ENST00000541272.1	HAVANA	transcript			ENSG00000150991.14	protein_coding	KNOWN	UBC	2	OTTHUMG00000044421.5	ENST00000541272.1	protein_coding	KNOWN	UBC-016	5	alternative_5_UTR	OTTHUMT00000400185.3				ENSP00000440205.1		3.38699226514459	2.4623351368675	10.2628946397751	1.86105743644494e-20	1.28351814084646e-16	35.8215276236802	0.130576789091327
ENST00000543470.5	ENSEMBL	transcript			ENSG00000136643.11	protein_coding	KNOWN	RPS6KC1	3	OTTHUMG00000036926.3	ENST00000543470.5	protein_coding	KNOWN	RPS6KC1-202	2	CCDS					ENSP00000442306.1	CCDS73029.1	-0.570455996012152	3.82864587326398	-10.1975995956036	2.94047278283774e-20	1.89276272716077e-16	35.3445215979241	0.102726244117278
ENST00000354451.6	HAVANA	transcript			ENSG00000100058.12	transcribed_unprocessed_pseudogene	KNOWN	CRYBB2P1	2	OTTHUMG00000150874.3	ENST00000354451.6	processed_transcript	KNOWN	CRYBB2P1-003	1		OTTHUMT00000341471.1						0.846115425703662	0.307002720409938	10.1689347316365	3.59328968890063e-20	2.1684155788882e-16	34.8988857365299	0.129293357642668
ENST00000614300.4	ENSEMBL	transcript			ENSG00000189339.11	protein_coding	KNOWN	SLC35E2B	3	OTTHUMG00000078639.3	ENST00000614300.4	protein_coding	KNOWN	SLC35E2B-201	1	basic					ENSP00000478733.1		1.2595436645793	0.255229553760817	9.95151432445064	1.63361370008845e-19	9.27834924696118e-16	33.4230637698656	0.106990262116988
ENST00000571722.3	HAVANA	transcript			ENSG00000262074.6	snoRNA	KNOWN	SNORD3B-2	2	OTTHUMG00000178152.3	ENST00000571722.3	snoRNA	KNOWN	SNORD3B-2-001	NA	basic	OTTHUMT00000440775.3						2.67318484184038	0.760917460478274	9.90778675480851	2.21208816882365e-19	1.18658867251444e-15	33.2229643519663	0.108684061498849
ENST00000482852.5	HAVANA	transcript			ENSG00000255529.7	protein_coding	KNOWN	POLR2M	2	OTTHUMG00000166486.4	ENST00000482852.5	nonsense_mediated_decay	KNOWN	POLR2M-006	2		OTTHUMT00000255812.2				ENSP00000432615.1		-1.11978438825286	-0.815242958953385	-9.85918002022246	3.09668078510977e-19	1.5736679817131e-15	32.3003075011578	0.0602517739451713
ENST00000580919.5	HAVANA	transcript			ENSG00000214176.9	transcribed_unprocessed_pseudogene	KNOWN	PLEKHM1P1	2	OTTHUMG00000179296.2	ENST00000580919.5	processed_transcript	KNOWN	PLEKHM1P1-004	1	dotter_confirmed	OTTHUMT00000445600.1						-2.51929449842953	-0.300837311408098	-9.84891784434214	3.3243513634425e-19	1.60489710772914e-15	32.4512282038517	0.319524360942452
ENST00000336733.10	HAVANA	transcript			ENSG00000144741.17	protein_coding	KNOWN	SLC25A26	2	OTTHUMG00000149917.6	ENST00000336733.10	protein_coding	KNOWN	SLC25A26-006	1	CCDS	OTTHUMT00000472630.1				ENSP00000336801.5	CCDS54604.1	0.755923930408625	2.66357814689096	9.69482513432799	9.61382854088627e-19	4.42025524255587e-15	31.9620553757979	0.12502784192792
ENST00000333527.5	HAVANA	transcript			ENSG00000182698.11	protein_coding	KNOWN	RESP18	2	OTTHUMG00000150223.1	ENST00000333527.5	protein_coding	KNOWN	RESP18-001	1	CCDS	OTTHUMT00000316885.1				ENSP00000330269.5	CCDS33382.2	3.41739728134271	0.909653185382693	9.68131811059089	1.05484917214997e-18	4.62954122580764e-15	31.743138344997	0.0891762754958978
ENST00000436473.5	HAVANA	transcript			ENSG00000147403.16	protein_coding	KNOWN	RPL10	2	OTTHUMG00000033189.13	ENST00000436473.5	protein_coding	KNOWN	RPL10-015	2	appris_alternative_1	OTTHUMT00000286446.3				ENSP00000388600.1		-0.795585682088036	5.98825956473815	-9.56580904744214	2.32747956637688e-18	9.77075921965013e-15	30.8135352479767	0.0762106244792445
ENST00000444614.7	HAVANA	transcript			ENSG00000151773.12	protein_coding	KNOWN	CCDC122	2	OTTHUMG00000017413.8	ENST00000444614.7	protein_coding	KNOWN	CCDC122-004	5	CCDS	OTTHUMT00000276172.4				ENSP00000407763.2	CCDS9390.2	0.575733296527632	0.819648190624627	9.48577171433474	4.01867809595132e-18	1.61674768698535e-14	30.463040659235	0.135007778250478
ENST00000622749.1	HAVANA	transcript			ENSG00000277150.1	protein_coding	KNOWN	F8A3	2	OTTHUMG00000034289.1	ENST00000622749.1	protein_coding	KNOWN	F8A3-001	NA	CCDS	OTTHUMT00000082833.1				ENSP00000477530.1	CCDS35463.1	-3.68695641436321	0.00624245816571596	-9.25844447120131	1.8765862118675e-17	7.2476762040262e-14	28.5770600589134	0.0643225936956493
ENST00000369817.6	HAVANA	transcript			ENSG00000147403.16	protein_coding	KNOWN	RPL10	2	OTTHUMG00000033189.13	ENST00000369817.6	protein_coding	KNOWN	RPL10-008	5	CCDS	OTTHUMT00000127774.6				ENSP00000358832.2	CCDS14746.1	1.57630438665565	3.00867453637248	9.2145292002654	2.52281111077673e-17	9.36875015345909e-14	28.7468575850909	0.472222784254234
ENST00000610495.1	HAVANA	transcript			ENSG00000277203.1	protein_coding	KNOWN	F8A1	2	OTTHUMG00000013500.3	ENST00000610495.1	protein_coding	KNOWN	F8A1-001	NA	CCDS	OTTHUMT00000037637.2				ENSP00000479624.1	CCDS35459.1	1.20646872720406	2.18545326063221	9.12649623911221	4.55751411566577e-17	1.6298008071259e-13	28.1900699406799	0.170826956230701
ENST00000573866.2	HAVANA	transcript			ENSG00000262202.4	lincRNA	KNOWN	RP11-160E2.6	2	OTTHUMG00000178158.2	ENST00000573866.2	lincRNA	KNOWN	RP11-160E2.6-001	NA	basic	OTTHUMT00000440781.2						2.13857351454344	-0.0153944386487208	9.10693970669884	5.19567983374195e-17	1.79165596666829e-13	27.7781304491708	0.510036213053234
ENST00000510353.5	HAVANA	transcript			ENSG00000171503.11	protein_coding	KNOWN	ETFDH	2	OTTHUMG00000161684.6	ENST00000510353.5	processed_transcript	KNOWN	ETFDH-002	1		OTTHUMT00000365719.1						0.594743947488484	0.63271702961416	8.94538419265128	1.52675321175253e-16	4.94580758751456e-13	26.9276967491944	0.120483619319701
ENST00000578036.5	HAVANA	transcript			ENSG00000214176.9	transcribed_unprocessed_pseudogene	KNOWN	PLEKHM1P1	2	OTTHUMG00000179296.2	ENST00000578036.5	processed_transcript	KNOWN	PLEKHM1P1-003	2	basic	OTTHUMT00000445597.2						0.502309249998481	2.8911141957261	8.94440732232298	1.53669684969485e-16	4.94580758751456e-13	26.9807420427804	0.281151787586059
ENST00000563144.1	HAVANA	transcript			ENSG00000261377.5	transcribed_unprocessed_pseudogene	KNOWN	PDCD6IPP2	2	OTTHUMG00000176344.3	ENST00000563144.1	processed_transcript	KNOWN	PDCD6IPP2-006	1		OTTHUMT00000431794.1						2.18969309607398	-2.18049244549883	8.90989622456095	1.93242666300905e-16	6.01882335548954e-13	23.3006266193853	0.105979718559996
ENST00000519386.5	HAVANA	transcript			ENSG00000147586.9	protein_coding	KNOWN	MRPS28	1	OTTHUMG00000164642.6	ENST00000519386.5	protein_coding	KNOWN	MRPS28-011	2	exp_conf	OTTHUMT00000379530.1				ENSP00000428050.1		2.68186306081965	-2.30341608492666	8.834371746131	3.18624327421156e-16	9.61389165931947e-13	22.0376293836262	0.0644983328457726
ENST00000612320.1	HAVANA	transcript			ENSG00000274642.1	unprocessed_pseudogene	KNOWN	CH17-472G23.1	1	OTTHUMG00000185010.1	ENST00000612320.1	unprocessed_pseudogene	KNOWN	CH17-472G23.1-001	NA	basic	OTTHUMT00000469432.1			PGO:0000005			1.73035903781094	0.0967363918721136	8.80912094270571	3.7644588377099e-16	1.10143502610982e-12	25.9348222757491	0.0887426011172722
ENST00000243389.7	HAVANA	transcript			ENSG00000123643.12	protein_coding	KNOWN	SLC36A1	2	OTTHUMG00000130125.4	ENST00000243389.7	protein_coding	KNOWN	SLC36A1-001	1	CCDS	OTTHUMT00000252433.1				ENSP00000243389.3	CCDS4316.1	-0.418732828741993	3.518853248361	-8.7545639151381	5.39333900233562e-16	1.53161310009269e-12	25.7062429496804	0.137673099320969
ENST00000418510.1	HAVANA	transcript			ENSG00000224003.1	processed_pseudogene	KNOWN	YES1P1	1	OTTHUMG00000150872.1	ENST00000418510.1	processed_pseudogene	KNOWN	YES1P1-001	NA	basic	OTTHUMT00000320367.1			PGO:0000004			0.825759280472916	-0.790941470344011	8.71173237931818	7.14724298519029e-16	1.97169971197732e-12	25.0541085284225	0.0640433760367636
ENST00000376401.4	HAVANA	transcript			ENSG00000204556.4	unprocessed_pseudogene	KNOWN	CTD-2514C3.1	2	OTTHUMG00000032143.1	ENST00000376401.4	unprocessed_pseudogene	KNOWN	CTD-2514C3.1-001	NA	basic	OTTHUMT00000078472.1			PGO:0000005			0.696401464180105	1.15642494079138	8.62282120864204	1.27961888423937e-15	3.43200893746801e-12	24.9180921506526	0.334509239447995
ENST00000615329.4	ENSEMBL	transcript			ENSG00000136643.11	protein_coding	KNOWN	RPS6KC1	3	OTTHUMG00000036926.3	ENST00000615329.4	protein_coding	KNOWN	RPS6KC1-204	1	CCDS					ENSP00000484471.1	CCDS73030.1	0.413552375086411	4.67656245303457	8.60097687300381	1.47583786655777e-15	3.85129863155727e-12	24.602569784121	0.0704581508515549
ENST00000579842.5	HAVANA	transcript			ENSG00000169738.7	protein_coding	KNOWN	DCXR	2	OTTHUMG00000178483.4	ENST00000579842.5	retained_intron	KNOWN	DCXR-016	3	retained_intron_CDS	OTTHUMT00000442222.1						-1.52466703117096	1.48686149933445	-8.51107471660719	2.64999292461435e-15	6.73335307482142e-12	24.2261245165581	0.0530032329953481
ENST00000392350.7	HAVANA	transcript			ENSG00000128699.13	protein_coding	KNOWN	ORMDL1	2	OTTHUMG00000132661.4	ENST00000392350.7	protein_coding	KNOWN	ORMDL1-001	1	CCDS	OTTHUMT00000255914.1				ENSP00000376161.3	CCDS2301.1	-0.553042536479696	3.21434872111501	-8.48751528854208	3.0878013359869e-15	7.64460436397126e-12	24.0156297390726	0.327082293038114
ENST00000606513.5	HAVANA	transcript			ENSG00000272324.5	antisense	KNOWN	CTD-2154B17.4	2	OTTHUMG00000185440.1	ENST00000606513.5	antisense	KNOWN	CTD-2154B17.4-001	5	basic	OTTHUMT00000470531.1						1.07790756546385	-1.65887687001285	8.47151984095355	3.42518109981867e-15	8.26787339779729e-12	22.7003784046817	0.0637637155135138
ENST00000527222.5	HAVANA	transcript			ENSG00000196922.10	transcribed_unitary_pseudogene	KNOWN	ZNF252P	2	OTTHUMG00000165201.6	ENST00000527222.5	processed_transcript	KNOWN	ZNF252P-005	2	basic	OTTHUMT00000382664.4						-0.801758504593218	1.20573218481066	-8.45559789501458	3.79725681461369e-15	8.94244718239538e-12	23.8681901993985	0.129370076638998
ENST00000584959.1	HAVANA	transcript			ENSG00000265218.1	antisense	KNOWN	RP11-927P21.1	2	OTTHUMG00000179297.1	ENST00000584959.1	antisense	KNOWN	RP11-927P21.1-003	5	basic	OTTHUMT00000445609.1						0.891820652837312	0.772053663586959	8.40410933045038	5.29688156287078e-15	1.21770262481292e-11	23.5209875602378	0.125990638508532
ENST00000477714.1	HAVANA	transcript			ENSG00000100376.11	protein_coding	KNOWN	FAM118A	2	OTTHUMG00000151338.3	ENST00000477714.1	retained_intron	KNOWN	FAM118A-005	2		OTTHUMT00000322264.1						4.23053710965701	-1.99536305387226	8.38128492719681	6.13705500027909e-15	1.35845973276186e-11	20.6644567616765	0.181444637832733
ENST00000372022.5	HAVANA	transcript			ENSG00000148296.6	protein_coding	KNOWN	SURF6	2	OTTHUMG00000020871.3	ENST00000372022.5	protein_coding	KNOWN	SURF6-001	1	CCDS	OTTHUMT00000054905.3				ENSP00000361092.4	CCDS6962.1	-0.265356378219627	4.77497042814056	-8.37993850907709	6.19054914778485e-15	1.35845973276186e-11	23.1802436092445	0.0811855110281946
ENST00000260952.8	HAVANA	transcript			ENSG00000138381.9	protein_coding	KNOWN	ASNSD1	2	OTTHUMG00000132665.7	ENST00000260952.8	protein_coding	KNOWN	ASNSD1-001	1	CCDS	OTTHUMT00000255919.3				ENSP00000260952.4	CCDS2300.1	0.211567697094464	4.66092262998918	8.33106205887092	8.4791393031788e-15	1.81932181395361e-11	22.8811286761629	0.0651164977827024
ENST00000567370.1	HAVANA	transcript			ENSG00000260306.1	lincRNA	KNOWN	RP11-645C24.5	2	OTTHUMG00000175457.1	ENST00000567370.1	lincRNA	KNOWN	RP11-645C24.5-001	NA	basic	OTTHUMT00000430026.1						0.971852019155178	-0.768813470417337	8.30556530173528	9.98768800551496e-15	2.09641571235759e-11	22.5760639388633	0.0700405577479325
ENST00000419065.6	HAVANA	transcript			ENSG00000180822.11	protein_coding	KNOWN	PSMG4	2	OTTHUMG00000014142.4	ENST00000419065.6	protein_coding	KNOWN	PSMG4-006	2	CCDS	OTTHUMT00000367065.1				ENSP00000392353.2	CCDS47360.1	3.31810793069697	-2.14561388501764	8.26218792078915	1.31886286803283e-14	2.70939330553281e-11	19.532772411731	0.064963986797327
ENST00000587960.1	HAVANA	transcript			ENSG00000266918.1	TEC	KNOWN	RP11-798G7.8	2	OTTHUMG00000181889.1	ENST00000587960.1	TEC	KNOWN	RP11-798G7.8-001	NA	basic	OTTHUMT00000458128.1						0.480038167706939	2.94033860302247	8.22188059665932	1.70649591919334e-14	3.43268764545404e-11	22.3611762783101	0.0826901372498516
ENST00000263063.8	HAVANA	transcript			ENSG00000107951.13	protein_coding	KNOWN	MTPAP	2	OTTHUMG00000017895.3	ENST00000263063.8	protein_coding	KNOWN	MTPAP-001	1	CCDS	OTTHUMT00000047426.2				ENSP00000263063.3	CCDS7165.1	0.170797589466309	4.689297509127	8.20050864451723	1.95581853546614e-14	3.85392046680404e-11	22.0562954791439	0.0942685488267912
ENST00000589834.1	HAVANA	transcript			ENSG00000132471.11	protein_coding	KNOWN	WBP2	2	OTTHUMG00000179896.2	ENST00000589834.1	retained_intron	KNOWN	WBP2-014	2		OTTHUMT00000448876.1						-1.19010697107974	-0.634904363012475	-8.19353245768241	2.04476421398855e-14	3.945192308339e-11	21.9592742624532	0.14227774510728
ENST00000450589.5	HAVANA	transcript			ENSG00000234741.7	processed_transcript	KNOWN	GAS5	2	OTTHUMG00000037216.5	ENST00000450589.5	lincRNA	KNOWN	GAS5-001	1	basic	OTTHUMT00000090577.1						-0.508400312579483	3.546040560073	-8.19056084708429	2.08385781764908e-14	3.945192308339e-11	22.1130114544756	0.0386334457973866
ENST00000507221.1	HAVANA	transcript			ENSG00000163913.11	protein_coding	KNOWN	IFT122	2	OTTHUMG00000159516.13	ENST00000507221.1	protein_coding	KNOWN	IFT122-028	3	cds_end_NF	OTTHUMT00000356070.3				ENSP00000427515.1		1.27427406310165	-0.281261724132101	8.16719920471764	2.41810920807841e-14	4.48996377840006e-11	21.8944379832556	0.161375158937697
ENST00000457911.1	HAVANA	transcript			ENSG00000241717.1	transcribed_unprocessed_pseudogene	KNOWN	VWFP1	2	OTTHUMG00000143725.1	ENST00000457911.1	transcribed_unprocessed_pseudogene	KNOWN	VWFP1-001	NA	basic	OTTHUMT00000289788.1			PGO:0000019			-1.47012216799984	-1.24421033504242	-8.14668891929863	2.75499486430176e-14	5.01897687033569e-11	21.2973383149901	0.136828264129253
ENST00000471577.5	HAVANA	transcript			ENSG00000115274.14	protein_coding	KNOWN	INO80B	2	OTTHUMG00000129959.4	ENST00000471577.5	retained_intron	KNOWN	INO80B-004	2		OTTHUMT00000328413.1						1.70665749792141	-1.59996463401757	8.12034976475163	3.25654497693333e-14	5.82282303153371e-11	20.5921876946328	0.243801783473395
ENST00000598607.1	HAVANA	transcript			ENSG00000125651.13	protein_coding	KNOWN	GTF2F1	2	OTTHUMG00000168087.3	ENST00000598607.1	protein_coding	KNOWN	GTF2F1-003	4	mRNA_end_NF	OTTHUMT00000398037.2				ENSP00000471542.1		-2.07012886547217	-0.282371881527717	-8.10712173553328	3.54153050047577e-14	6.21725338078067e-11	21.523358291021	0.0941413892698265
ENST00000397527.5	HAVANA	transcript			ENSG00000126001.15	protein_coding	KNOWN	CEP250	2	OTTHUMG00000032343.39	ENST00000397527.5	protein_coding	KNOWN	CEP250-001	5	CCDS	OTTHUMT00000078877.11				ENSP00000380661.1	CCDS13255.1	-0.241467897153344	5.47336973960016	-8.10328259676185	3.62876968459482e-14	6.256646930828e-11	21.3541383598678	0.133781672871061
ENST00000375036.6	HAVANA	transcript			ENSG00000182534.13	protein_coding	KNOWN	MXRA7	2	OTTHUMG00000180370.1	ENST00000375036.6	protein_coding	KNOWN	MXRA7-004	2	CCDS	OTTHUMT00000450984.1				ENSP00000364176.1	CCDS32746.1	-0.338449138693998	5.58430551824056	-8.0797904392793	4.21087906390076e-14	7.1329336339627e-11	21.1897813777412	0.0793064580300157
ENST00000529624.5	HAVANA	transcript			ENSG00000206149.10	transcribed_unprocessed_pseudogene	KNOWN	HERC2P9	1	OTTHUMG00000167114.3	ENST00000529624.5	transcribed_unprocessed_pseudogene	KNOWN	HERC2P9-001	NA	basic	OTTHUMT00000393263.2			PGO:0000019			0.843589949141685	3.52257463899929	8.07529000462331	4.33251264553798e-14	7.21243837891853e-11	21.4027638801651	0.0931485973884665
ENST00000450062.1	HAVANA	transcript			ENSG00000226278.1	unprocessed_pseudogene	KNOWN	PSPHP1	2	OTTHUMG00000156125.1	ENST00000450062.1	unprocessed_pseudogene	KNOWN	PSPHP1-001	NA	basic	OTTHUMT00000343090.1			PGO:0000005			-4.71309332283969	-1.74286495646865	-8.05346829309735	4.97341660480003e-14	8.13903842135359e-11	18.5710748618134	0.0924456600419848
ENST00000399922.6	HAVANA	transcript			ENSG00000100461.17	protein_coding	KNOWN	RBM23	2	OTTHUMG00000171467.9	ENST00000399922.6	protein_coding	KNOWN	RBM23-002	1	CCDS	OTTHUMT00000413546.3				ENSP00000382806.2	CCDS41920.1	-0.516951140293662	4.57104178604483	-8.04551559250923	5.22961116416382e-14	8.41566460574455e-11	21.09935080017	0.0819730714540256
ENST00000572991.5	HAVANA	transcript			ENSG00000228696.8	protein_coding	KNOWN	ARL17B	2	OTTHUMG00000178031.1	ENST00000572991.5	nonsense_mediated_decay	KNOWN	ARL17B-005	3	mRNA_start_NF	OTTHUMT00000440293.1				ENSP00000458681.1		0.473532247173826	2.77076578152375	8.03917999637003	5.44302321301788e-14	8.61550267720866e-11	21.2394014807345	0.104587518947799
ENST00000526929.1	HAVANA	transcript			ENSG00000236125.3	protein_coding	KNOWN	USP17L4	2	OTTHUMG00000150574.3	ENST00000526929.1	protein_coding	KNOWN	USP17L4-001	NA	CCDS	OTTHUMT00000318953.3				ENSP00000485243.1	CCDS78299.1	2.00528238574985	-1.374722304122	8.0178332749116	6.22752976587905e-14	9.69827272604332e-11	20.289831072018	0.474480590044288
ENST00000599640.5	HAVANA	transcript			ENSG00000227733.9	lincRNA	KNOWN	RP4-565E6.1	2	OTTHUMG00000013881.11	ENST00000599640.5	lincRNA	KNOWN	RP4-565E6.1-006	5	basic	OTTHUMT00000351198.3						-0.675989057383406	0.692721068652259	-8.00345083658655	6.81817856641281e-14	1.04170436484697e-10	21.0527889061491	0.40247249192603
ENST00000513345.5	HAVANA	transcript			ENSG00000169567.11	protein_coding	KNOWN	HINT1	2	OTTHUMG00000128995.5	ENST00000513345.5	nonsense_mediated_decay	KNOWN	HINT1-004	2		OTTHUMT00000371613.1				ENSP00000421608.1		2.85016910757781	0.919912356778246	8.00144482949855	6.90484903268698e-14	1.04170436484697e-10	21.0409520188037	0.414034454283751
ENST00000565691.5	HAVANA	transcript			ENSG00000103154.9	protein_coding	KNOWN	NECAB2	2	OTTHUMG00000137636.3	ENST00000565691.5	protein_coding	KNOWN	NECAB2-002	1	basic	OTTHUMT00000432618.1				ENSP00000457354.1		0.633452823637582	2.07953879417523	7.99486073608556	7.19705179306731e-14	1.06908329050434e-10	21.0083983401762	0.0568469825151941
ENST00000606573.1	HAVANA	transcript			ENSG00000215374.5	lincRNA	KNOWN	FAM66B	2	OTTHUMG00000165383.2	ENST00000606573.1	lincRNA	KNOWN	FAM66B-002	5	basic	OTTHUMT00000470344.1						0.615246009488394	1.80779404796743	7.97876612968566	7.9638583107827e-14	1.16506420505956e-10	20.9173705112425	0.0291976082561515
ENST00000581666.1	HAVANA	transcript			ENSG00000265015.1	transcribed_processed_pseudogene	KNOWN	RP11-454P7.3	2	OTTHUMG00000178818.1	ENST00000581666.1	processed_transcript	KNOWN	RP11-454P7.3-002	3	basic	OTTHUMT00000443412.1						-0.906539291799577	-0.0913457077947587	-7.93903769744422	1.02201845035455e-13	1.47283536500796e-10	20.5810980911547	0.0664397808320001
ENST00000319651.9	ENSEMBL	transcript			ENSG00000176809.10	protein_coding	KNOWN	LRRC37A3	3	OTTHUMG00000132307.4	ENST00000319651.9	protein_coding	KNOWN	LRRC37A3-201	1	CCDS					ENSP00000325713.5	CCDS32708.1	1.53778607797221	1.69200005937038	7.93346840679153	1.05833428366771e-13	1.50274130037135e-10	20.6444068951095	0.171463970749531
ENST00000590450.5	HAVANA	transcript			ENSG00000132471.11	protein_coding	KNOWN	WBP2	2	OTTHUMG00000179896.2	ENST00000590450.5	processed_transcript	KNOWN	WBP2-015	4	NMD_likely_if_extended	OTTHUMT00000448875.1						-1.20160320596387	-1.51344641650255	-7.92980904773462	1.08288803699057e-13	1.51532132642881e-10	19.8355930594549	0.0926300855239829
ENST00000471416.2	HAVANA	transcript			ENSG00000168405.14	unitary_pseudogene	KNOWN	CMAHP	2	OTTHUMG00000016099.4	ENST00000471416.2	retained_intron	KNOWN	CMAHP-009	2		OTTHUMT00000043299.2						-0.810731153358313	-0.834641638297514	-7.88593865316416	1.42497908703392e-13	1.96553472527819e-10	20.0762913384369	0.0665459593488172
ENST00000474033.5	HAVANA	transcript			ENSG00000162576.16	protein_coding	KNOWN	MXRA8	2	OTTHUMG00000002973.5	ENST00000474033.5	retained_intron	KNOWN	MXRA8-004	1		OTTHUMT00000008476.1						0.510060954065134	2.42374676514997	7.83513234322231	1.95633516067924e-13	2.66045049442568e-10	20.0157198634763	0.338737156875172
