chromosome,start,end,gene_id,gene_name
chr6,29329626,29331061,ENSG00000230056.1,DDX6P1
chr6,29355230,29431967,ENSG00000243729.3,OR5V1
chr6,29373423,29375291,ENSG00000112462.8,OR12D3
chr6,29396555,29397623,ENSG00000280236.2,OR12D2
chr6,29417280,29418226,ENSG00000251608.1,OR12D1
chr6,29425504,29457071,ENSG00000204694.10,OR11A1
chr6,29439306,29440977,ENSG00000206474.7,OR10C1
chr6,29450210,29450558,ENSG00000277881.1,XXbac-BPG13B8.11
chr6,29457181,29464328,ENSG00000204688.9,OR2H1
chr6,29464596,29469806,ENSG00000225797.2,UBDP1
chr6,29475025,29476071,ENSG00000230164.1,MAS1LP1
chr6,29486697,29487956,ENSG00000204687.4,MAS1L
chr6,29489271,29489676,ENSG00000213900.2,RPS17P1
chr6,29497509,29510556,ENSG00000229274.1,XXbac-BPG13B8.10
chr6,29529420,29533665,ENSG00000224582.5,LINC01015
chr6,29537704,29538787,ENSG00000229281.1,GPR53P
chr6,29553219,29554166,ENSG00000237988.3,OR2I1P
chr6,29555515,29559925,ENSG00000213886.3,UBD
chr6,29555629,29633976,ENSG00000204681.10,GABBR1
chr6,29573909,29574836,ENSG00000232173.2,OR2H5P
chr6,29577459,29577748,ENSG00000227609.2,TMEM183AP1
chr6,29582249,29582332,ENSG00000201330.1,SNORD32B
chr6,29582508,29583025,ENSG00000231301.1,RPL13AP
chr6,29587455,29589038,ENSG00000204657.3,OR2H2
chr6,29636060,29636343,ENSG00000235238.1,SUMO2P1
chr6,29656981,29672372,ENSG00000204655.11,MOG
chr6,29672392,29681110,ENSG00000204644.9,ZFP57
chr6,29708125,29708547,ENSG00000233916.1,ZDHHC20P1
chr6,29722775,29738528,ENSG00000204642.13,HLA-F
chr6,29722981,29723971,ENSG00000225864.1,HCG4P11
chr6,29726601,29749049,ENSG00000214922.9,HLA-F-AS1
chr6,29726669,29727139,ENSG00000239257.1,RPL23AP1
chr6,29741731,29748969,ENSG00000273340.1,MICE
chr6,29748289,29748513,ENSG00000227758.1,HCG9P5
chr6,29750371,29750472,ENSG00000199290.1,Y_RNA
chr6,29750729,29751148,ENSG00000235821.1,IFITM4P
chr6,29751965,29752207,ENSG00000272236.1,XXbac-BPG170G13.32
chr6,29763258,29763392,ENSG00000270896.1,XXbac-BPG170G13.31
chr6,29790954,29797811,ENSG00000181126.13,HLA-V
chr6,29791753,29792750,ENSG00000176998.4,HCG4
chr6,29800415,29802425,ENSG00000261548.1,HLA-P
chr6,29803195,29803991,ENSG00000213880.3,RPL7AP7
chr6,29812565,29812696,ENSG00000237042.1,MICG
chr6,29826967,29831125,ENSG00000204632.11,HLA-G
chr6,29827385,29828364,ENSG00000229142.1,HCG4P8
chr6,29852363,29852491,ENSG00000233265.1,MICF
chr6,29871895,29873783,ENSG00000281831.1,HCP5B
chr6,29887294,29888268,ENSG00000230521.1,HCG4P7
chr6,29887752,29890482,ENSG00000206341.7,HLA-H
chr6,29896654,29897786,ENSG00000231130.1,HLA-T
chr6,29906543,29906909,ENSG00000233677.1,DDX39BP1
chr6,29907783,29908645,ENSG00000235963.1,MCCD1P1
chr6,29925983,29926973,ENSG00000227262.3,HCG4B
chr6,29926459,29929232,ENSG00000230795.3,HLA-K
chr6,29934101,29934286,ENSG00000228078.1,HLA-U
chr6,29941260,29945884,ENSG00000206503.11,HLA-A
chr6,29942075,29943067,ENSG00000227766.1,HCG4P5
chr6,29956596,29958570,ENSG00000235290.1,HLA-W
chr6,29970801,29972464,ENSG00000229390.1,MICD
chr6,29975112,29978410,ENSG00000204625.10,HCG9
chr6,29993209,29993605,ENSG00000238024.1,DDX39BP2
chr6,29994437,29995314,ENSG00000224312.1,MCCD1P2
chr6,30001011,30061640,ENSG00000204623.9,ZNRD1ASP
chr6,30005971,30009956,ENSG00000204622.11,HLA-J
chr6,30006121,30007116,ENSG00000237669.1,HCG4P3
chr6,30031713,30033003,ENSG00000232757.1,ETF1P1
chr6,30035916,30035983,ENSG00000278104.1,ZNRD1-AS1_1
chr6,30058115,30058190,ENSG00000275856.1,ZNRD1-AS1_2
chr6,30058899,30064909,ENSG00000066379.14,ZNRD1
chr6,30061080,30061183,ENSG00000278773.1,ZNRD1-AS1_3
chr6,30066709,30070333,ENSG00000204619.7,PPP1R11
chr6,30070266,30075887,ENSG00000204618.8,RNF39
chr6,30102897,30113106,ENSG00000204616.10,TRIM31
chr6,30105240,30114724,ENSG00000231226.1,TRIM31-AS1
chr6,30132805,30132966,ENSG00000252228.1,SNORA48
chr6,30136108,30148735,ENSG00000204614.8,TRIM40
chr6,30151945,30160934,ENSG00000204613.10,TRIM10
chr6,30163206,30172696,ENSG00000204610.12,TRIM15
chr6,30184455,30213427,ENSG00000234127.8,TRIM26
chr6,30186798,30188614,ENSG00000233892.1,PAIP1P1
chr6,30234039,30326134,ENSG00000270604.5,HCG17
chr6,30238301,30242279,ENSG00000236475.1,TRIM26BP
chr6,30259584,30293014,ENSG00000243753.5,HLA-L
chr6,30282349,30286054,ENSG00000280128.1,XXbac-BPG283O16.9
chr6,30287397,30327150,ENSG00000231074.8,HCG18
chr6,30326479,30343729,ENSG00000204599.14,TRIM39
chr6,30328907,30346854,ENSG00000248167.7,TRIM39-RPP21
chr6,30345131,30346884,ENSG00000241370.5,RPP21
chr6,30351416,30351550,ENSG00000224372.1,HLA-N
chr6,30359278,30359911,ENSG00000224486.1,HCG19P
chr6,30363112,30364280,ENSG00000236405.1,UBQLN1P1
chr6,30414715,30419319,ENSG00000226577.1,MICC
chr6,30466452,30467994,ENSG00000229068.1,TMPOP1
chr6,30468882,30470251,ENSG00000224936.1,SUCLA2P1
chr6,30485940,30486590,ENSG00000236603.2,RANP1
chr6,30489467,30494205,ENSG00000204592.8,HLA-E
chr6,30516266,30519217,ENSG00000235781.1,XXbac-BPG249D20.9
chr6,30541377,30557174,ENSG00000204590.12,GNL1
chr6,30556886,30563723,ENSG00000204576.11,PRR3
chr6,30571376,30597179,ENSG00000204574.12,ABCF1
chr6,30584332,30584417,ENSG00000216101.3,MIR877
chr6,30600400,30618612,ENSG00000204569.9,PPP1R10
chr6,30617709,30626395,ENSG00000204568.11,MRPS18B
chr6,30626842,30646823,ENSG00000137343.17,ATAT1
chr6,30633632,30633956,ENSG00000228415.3,PTMAP1
chr6,30647039,30653210,ENSG00000204564.11,C6orf136
chr6,30653119,30673037,ENSG00000204560.9,DHX16
chr6,30676389,30687895,ENSG00000146112.11,PPP1R18
chr6,30688047,30691420,ENSG00000137404.14,NRM
chr6,30696806,30697535,ENSG00000230449.1,RPL7P4
chr6,30699807,30717889,ENSG00000137337.14,MDC1
chr6,30703067,30713184,ENSG00000224328.1,MDC1-AS1
chr6,30720201,30725426,ENSG00000196230.12,TUBB
chr6,30723105,30723877,ENSG00000272540.1,XXbac-BPG252P9.9
chr6,30727709,30742733,ENSG00000137312.14,FLOT1
chr6,30736304,30736414,ENSG00000201988.2,Y_RNA
chr6,30742929,30743592,ENSG00000272273.1,XXbac-BPG252P9.10
chr6,30743199,30744554,ENSG00000137331.11,IER3
chr6,30751038,30751289,ENSG00000263608.2,RN7SL353P
chr6,30766825,30792250,ENSG00000228022.5,HCG20
chr6,30798654,30830659,ENSG00000214894.6,LINC00243
chr6,30839526,30848159,ENSG00000237923.1,XXbac-BPG27H4.8
chr6,30864250,30864552,ENSG00000202241.1,RN7SKP186
chr6,30866982,30875918,ENSG00000237775.1,DDR1-AS1
chr6,30876421,30900156,ENSG00000204580.12,DDR1
chr6,30908184,30914106,ENSG00000213780.10,GTF2H4
chr6,30908242,30926459,ENSG00000137411.16,VARS2
chr6,30931353,30955636,ENSG00000196260.4,SFTA2
chr6,30932618,30932709,ENSG00000252761.1,Y_RNA
chr6,30934523,30954221,ENSG00000168631.12,DPCR1
chr6,30945979,30954862,ENSG00000233529.1,HCG21
chr6,30961403,30962396,ENSG00000275906.1,XXbac-BPG118E17.10
chr6,30983718,30989903,ENSG00000204544.5,MUC21
chr6,31010474,31035402,ENSG00000261272.1,MUC22
chr6,31053450,31059890,ENSG00000228789.6,HCG22
chr6,31083010,31083109,ENSG00000222895.1,RNU6-1133P
chr6,31111223,31112559,ENSG00000204542.2,C6orf15
chr6,31114750,31140092,ENSG00000204540.10,PSORS1C1
chr6,31115090,31120446,ENSG00000204539.3,CDSN
chr6,31137536,31139350,ENSG00000204538.3,PSORS1C2
chr6,31140727,31140913,ENSG00000238211.1,POLR2LP1
chr6,31142439,31158238,ENSG00000204536.13,CCHCR1
chr6,31158542,31167159,ENSG00000137310.11,TCF19
chr6,31164337,31180731,ENSG00000204531.16,POU5F1
chr6,31173735,31177899,ENSG00000204528.3,PSORS1C3
chr6,31195200,31198037,ENSG00000272501.1,XXbac-BPG299F13.17
chr6,31197760,31203968,ENSG00000206344.6,HCG27
chr6,31200165,31201918,ENSG00000271821.1,XXbac-BPG299F13.14
chr6,31222913,31223093,ENSG00000255726.1,XXbac-BPG299F13.15
chr6,31224342,31225058,ENSG00000255899.1,XXbac-BPG299F13.16
chr6,31268749,31272130,ENSG00000204525.15,HLA-C
chr6,31275572,31278754,ENSG00000214892.4,USP8P1
chr6,31280317,31281519,ENSG00000227939.1,RPL3P2
chr6,31287510,31288964,ENSG00000231402.1,WASF5P
chr6,31293908,31301642,ENSG00000256166.1,XXbac-BPG248L24.13
chr6,31307815,31308549,ENSG00000229836.1,XXbac-BPG248L24.10
chr6,31353872,31357188,ENSG00000234745.9,HLA-B
chr6,31355224,31355316,ENSG00000277402.1,MIR6891
chr6,31356647,31357637,ENSG00000271581.1,XXbac-BPG248L24.12
chr6,31366352,31366898,ENSG00000228432.1,DHFRP2
chr6,31370134,31370240,ENSG00000201658.1,RNU6-283P
chr6,31377419,31378019,ENSG00000230994.1,FGFR3P1
chr6,31380411,31380839,ENSG00000223702.1,ZDHHC20P2
chr6,31382074,31382288,ENSG00000225851.1,HLA-S
chr6,31394289,31395495,ENSG00000272221.1,XXbac-BPG181B23.7
chr6,31399784,31415315,ENSG00000204520.12,MICA
chr6,31400702,31477506,ENSG00000206337.10,HCP5
chr6,31402152,31402250,ENSG00000199332.1,Y_RNA
chr6,31441667,31446973,ENSG00000230174.1,LINC01149
chr6,31462728,31463336,ENSG00000233902.1,XXbac-BPG181B23.6
chr6,31494881,31511124,ENSG00000204516.9,MICB
chr6,31496689,31496790,ENSG00000201680.1,Y_RNA
chr6,31515979,31516211,ENSG00000256851.1,XXbac-BPG16N22.5
chr6,31519480,31520291,ENSG00000219797.2,PPIAP9
chr6,31528114,31528693,ENSG00000225499.1,RPL15P4
chr6,31528717,31530232,ENSG00000204511.2,MCCD1
chr6,31530219,31542448,ENSG00000198563.13,DDX39B
chr6,31530219,31546608,ENSG00000254870.5,ATP6V1G2-DDX39B
chr6,31536374,31536449,ENSG00000201785.1,SNORD117
chr6,31541101,31541178,ENSG00000265236.1,SNORD84
chr6,31542304,31543138,ENSG00000234006.1,DDX39B-AS1
chr6,31544462,31548427,ENSG00000213760.10,ATP6V1G2
chr6,31546870,31558829,ENSG00000204498.10,NFKBIL1
chr6,31572054,31574324,ENSG00000226979.8,LTA
chr6,31575567,31578336,ENSG00000232810.3,TNF
chr6,31580525,31582522,ENSG00000227507.2,LTB
chr6,31586124,31588909,ENSG00000204482.10,LST1
chr6,31588895,31592985,ENSG00000204475.9,NCR3
chr6,31611083,31611356,ENSG00000230622.1,UQCRHP1
chr6,31615184,31617021,ENSG00000204472.12,AIF1
chr6,31620720,31637771,ENSG00000204469.12,PRRC2A
chr6,31623079,31623210,ENSG00000200816.1,SNORA38
chr6,31633787,31633858,ENSG00000274494.1,MIR6832
chr6,31639028,31652705,ENSG00000204463.12,BAG6
chr6,31652416,31658210,ENSG00000204444.10,APOM
chr6,31658298,31660772,ENSG00000204439.3,C6orf47
chr6,31658329,31660721,ENSG00000227198.1,C6orf47-AS1
chr6,31661229,31666283,ENSG00000204438.10,GPANK1
chr6,31663288,31663401,ENSG00000201207.1,Y_RNA
chr6,31665236,31670343,ENSG00000204435.13,CSNK2B
chr6,31666102,31673546,ENSG00000263020.6,XXbac-BPG32J3.22
chr6,31670167,31673776,ENSG00000240053.8,LY6G5B
chr6,31676684,31684040,ENSG00000204428.12,LY6G5C
chr6,31686949,31703444,ENSG00000204427.11,ABHD16A
chr6,31686962,31714072,ENSG00000204422.7,XXbac-BPG32J3.20
chr6,31701029,31701091,ENSG00000266776.1,MIR4646
chr6,31706885,31710595,ENSG00000204424.9,LY6G6F
chr6,31706904,31717918,ENSG00000250641.1,XXbac-BPG32J3.19
chr6,31711771,31714065,ENSG00000255552.7,LY6G6E
chr6,31715356,31717804,ENSG00000244355.7,LY6G6D
chr6,31718594,31726714,ENSG00000204420.8,C6orf25
chr6,31718648,31721845,ENSG00000204421.2,LY6G6C
chr6,31727038,31730617,ENSG00000213722.8,DDAH2
chr6,31730581,31739763,ENSG00000213719.8,CLIC1
chr6,31739948,31762834,ENSG00000204410.14,MSH5
chr6,31740020,31764851,ENSG00000255152.8,MSH5-SAPCD1
chr6,31756951,31757053,ENSG00000252743.1,RNU6-850P
chr6,31762799,31764851,ENSG00000228727.8,SAPCD1
chr6,31764310,31765588,ENSG00000235663.1,SAPCD1-AS1
chr6,31765590,31777294,ENSG00000204396.10,VWA7
chr6,31777518,31795953,ENSG00000204394.12,VARS
chr6,31778817,31778905,ENSG00000201555.1,Y_RNA
chr6,31797396,31806984,ENSG00000204392.10,LSM2
chr6,31809619,31815065,ENSG00000204390.9,HSPA1L
chr6,31815464,31817946,ENSG00000204389.9,HSPA1A
chr6,31827735,31830255,ENSG00000204388.6,HSPA1B
chr6,31834608,31839766,ENSG00000204387.12,C6orf48
chr6,31835263,31835326,ENSG00000201823.1,SNORD48
chr6,31837076,31837142,ENSG00000201754.1,SNORD52
chr6,31857659,31862906,ENSG00000204386.10,NEU1
chr6,31863192,31879046,ENSG00000204385.10,SLC44A4
chr6,31879759,31897687,ENSG00000204371.11,EHMT2
chr6,31883761,31884204,ENSG00000237080.2,EHMT2-AS1
chr6,31897785,31945672,ENSG00000166278.14,C2
chr6,31899607,31901992,ENSG00000204366.3,ZBTB12
chr6,31927698,31952048,ENSG00000244255.5,XXbac-BPG116M5.17
chr6,31934474,31941724,ENSG00000281756.1,C2-AS1
chr6,31945650,31952084,ENSG00000243649.8,CFB
chr6,31952087,31959110,ENSG00000204356.12,NELFE
chr6,31959080,31969755,ENSG00000204351.11,SKIV2L
chr6,31969810,31972292,ENSG00000204348.9,DXO
chr6,31971091,31982821,ENSG00000204344.14,STK19
chr6,31982024,32002681,ENSG00000244731.7,C4A
chr6,31999976,32003521,ENSG00000233627.2,C4A-AS1
chr6,32005636,32008451,ENSG00000204338.8,CYP21A1P
chr6,32006168,32007104,ENSG00000279546.1,AL645922.1
chr6,32008614,32012472,ENSG00000248290.1,TNXA
chr6,32013270,32013787,ENSG00000250535.1,STK19B
chr6,32014762,32035418,ENSG00000224389.8,C4B
chr6,32032713,32036258,ENSG00000229776.1,C4B-AS1
chr6,32038265,32041670,ENSG00000231852.6,CYP21A2
chr6,32041154,32115334,ENSG00000168477.17,TNXB
chr6,32078508,32078628,ENSG00000252512.1,RNA5SP206
chr6,32098176,32128253,ENSG00000213676.10,ATF6B
chr6,32128707,32130291,ENSG00000204315.3,FKBPL
chr6,32148359,32154373,ENSG00000204314.10,PRRT1
chr6,32153441,32163680,ENSG00000221988.12,PPT2
chr6,32153845,32171978,ENSG00000258388.7,PPT2-EGFL8
chr6,32164583,32168281,ENSG00000241404.6,EGFL8
chr6,32168212,32178096,ENSG00000204310.11,AGPAT1
chr6,32178354,32180793,ENSG00000204308.7,RNF5
chr6,32179816,32179876,ENSG00000277264.1,MIR6833
chr6,32180968,32184324,ENSG00000204305.13,AGER
chr6,32184733,32185882,ENSG00000273333.2,XXbac-BPG300A18.13
chr6,32184741,32190186,ENSG00000204304.11,PBX2
chr6,32190766,32195523,ENSG00000213654.9,GPSM3
chr6,32194843,32224067,ENSG00000204301.6,NOTCH4
chr6,32255284,32350039,ENSG00000277427.1,XXbac-BPG154L12.5
chr6,32255711,32265838,ENSG00000225914.1,XXbac-BPG154L12.4
chr6,32288526,32371912,ENSG00000204296.11,C6orf10
chr6,32325219,32326178,ENSG00000237285.1,HNRNPA1P2
chr6,32352877,32352983,ENSG00000223335.1,RNU6-603P
chr6,32390510,32393686,ENSG00000228962.1,HCG23
chr6,32393963,32407128,ENSG00000204290.10,BTNL2
chr6,32439842,32445046,ENSG00000204287.13,HLA-DRA
chr6,32459821,32473500,ENSG00000196301.3,HLA-DRB9
chr6,32517343,32530287,ENSG00000198502.5,HLA-DRB5
chr6,32549940,32550090,ENSG00000251916.1,RNU1-61P
chr6,32552713,32560022,ENSG00000229391.7,HLA-DRB6
chr6,32552990,32589848,ENSG00000196126.10,HLA-DRB1
chr6,32628179,32647062,ENSG00000196735.11,HLA-DQA1
chr6,32659467,32668383,ENSG00000179344.16,HLA-DQB1
chr6,32659880,32660729,ENSG00000223534.1,HLA-DQB1-AS1
chr6,32706124,32706955,ENSG00000235040.1,MTCO3P1
chr6,32718005,32719170,ENSG00000232080.5,XXbac-BPG254F23.7
chr6,32730758,32731695,ENSG00000226030.1,HLA-DQB3
chr6,32741342,32747215,ENSG00000237541.3,HLA-DQA2
chr6,32749912,32749979,ENSG00000263649.1,MIR3135B
chr6,32756098,32763534,ENSG00000232629.8,HLA-DQB2
chr6,32812763,32817048,ENSG00000241106.6,HLA-DOB
chr6,32813767,32838822,ENSG00000250264.1,XXbac-BPG246D15.9
chr6,32821833,32838780,ENSG00000204267.13,TAP2
chr6,32840717,32844703,ENSG00000204264.8,PSMB8
chr6,32844086,32846495,ENSG00000204261.8,PSMB8-AS1
chr6,32844136,32859585,ENSG00000240065.7,PSMB9
chr6,32845209,32853978,ENSG00000168394.10,TAP1
chr6,32879171,32879848,ENSG00000234515.1,PPP1R2P1
chr6,32896416,32896490,ENSG00000235301.1,HLA-Z
chr6,32934629,32941070,ENSG00000242574.8,HLA-DMB
chr6,32937364,32953122,ENSG00000248993.1,XXbac-BPG181M17.5
chr6,32948613,32969094,ENSG00000204257.14,HLA-DMA
chr6,32968660,32981505,ENSG00000204256.12,BRD2
chr6,32970232,32970886,ENSG00000223837.2,BRD2-IT1
chr6,32972065,32972853,ENSG00000263756.1,XXbac-BPG181M17.6
chr6,33004178,33009612,ENSG00000204252.13,HLA-DOA
chr6,33064569,33080775,ENSG00000231389.7,HLA-DPA1
chr6,33075926,33087201,ENSG00000223865.10,HLA-DPB1
chr6,33079451,33079860,ENSG00000224796.1,RPL32P1
chr6,33091753,33097295,ENSG00000231461.1,HLA-DPA2
chr6,33103794,33107330,ENSG00000228688.1,COL11A2P1
chr6,33112451,33129084,ENSG00000224557.7,HLA-DPB2
chr6,33131216,33143325,ENSG00000237398.1,HLA-DPA3
chr6,33144783,33147767,ENSG00000230313.1,HCG24
chr6,33162681,33192499,ENSG00000204248.10,COL11A2
chr6,33193588,33200688,ENSG00000204231.10,RXRB
chr6,33199601,33199696,ENSG00000202441.2,RNY4P10
chr6,33200445,33204439,ENSG00000112473.17,SLC39A7
chr6,33204642,33206831,ENSG00000204228.3,HSD17B8
chr6,33207835,33207944,ENSG00000199036.1,MIR219A1
chr6,33208495,33212722,ENSG00000204227.4,RING1
chr6,33215705,33216328,ENSG00000225463.1,ZNF70P1
chr6,33237799,33239690,ENSG00000223457.1,HTATSF1P1
chr6,33246075,33246856,ENSG00000272217.1,XXbac-BPG157A10.21
chr6,33249534,33254989,ENSG00000232940.5,HCG25
chr6,33250272,33272047,ENSG00000223501.8,VPS52
chr6,33272010,33276510,ENSG00000231500.6,RPS18
chr6,33277132,33284832,ENSG00000235863.3,B3GALT4
chr6,33279108,33289527,ENSG00000227057.8,WDR46
chr6,33289302,33298401,ENSG00000204220.10,PFDN6
chr6,33291654,33299324,ENSG00000237441.9,RGL2
chr6,33299694,33314387,ENSG00000231925.11,TAPBP
chr6,33314406,33317942,ENSG00000236104.2,ZBTB22
chr6,33318558,33329269,ENSG00000204209.10,DAXX
chr6,33338978,33339495,ENSG00000229596.3,MYL8P
chr6,33365548,33366243,ENSG00000228285.2,LYPLA2P1
chr6,33389374,33389475,ENSG00000225644.1,RPL35AP4
chr6,33391536,33409924,ENSG00000237649.7,KIFC1
chr6,33400059,33400556,ENSG00000204194.1,RPL12P1
chr6,33410399,33416453,ENSG00000112511.17,PHF1
chr6,33416442,33418317,ENSG00000112514.15,CUTA
chr6,33419661,33457541,ENSG00000197283.13,SYNGAP1
chr6,33437363,33454453,ENSG00000274259.2,XXbac-BPG294E21.9
chr6,33453970,33457548,ENSG00000213588.5,ZBTB9
