""	inGencode	inGencodeStart	inGencodeEnd	gencodeGeneID	ensemblID	Symbol	gencodeStrand	gencodeTx	numTx	Class	startExon	endExon	newGeneID	newGeneSymbol	isFusion	meanExprs	logFC	AveExpr	t	P.Value	adj.P.Val	B	SE
chr5:177951264-177951365(+)	FALSE	FALSE	FALSE						0	Novel					FALSE	20.8353915079086	3.07038501996961	-0.105196451819419	7.25877273672613	1.59883541015726e-10	1.48979483518454e-06	12.0368656584732	0.223899702561264
chr17:16782337-16796042(+)	FALSE	FALSE	TRUE						0	AltStartEnd		446463	ENSG00000266302.6		FALSE	101.91256189976	1.03771080197125	3.12839092270846	7.13978786003514	2.75745639968407e-10	2.3858694537095e-06	13.1847524705965	0.218015703748417
chr12:124912584-124913267(-)	FALSE	FALSE	FALSE						0	Novel					FALSE	261.949854433554	4.70587685617776	2.90344139637122	7.08855574562776	3.4846772451938e-10	2.8140859561287e-06	12.9318348388691	0.199702790073465
chr17:3685581-3688011(-)	TRUE	TRUE	TRUE	ENSG00000083454.21	ENSG00000083454	P2RX5	-	ENST00000550772.1	1	InGen	440349	440328	ENSG00000083454.21	P2RX5	FALSE	5.37663093351142	-4.83003492551672	-1.90901040883345	-7.01736087699475	4.8211026456304e-10	3.64999654922371e-06	9.80570624369287	0.203408821805148
chr17:64815246-64821766(-)	TRUE	TRUE	TRUE	ENSG00000214176.9	ENSG00000214176	PLEKHM1P1	-	ENST00000582201.5|ENST00000580919.5	2	InGen	465929	465913	ENSG00000214176.9	PLEKHM1P1	FALSE	8.17333923056691	-3.68607634462959	-1.34797763315304	-6.95192706950596	6.49266804476051e-10	4.62636971137659e-06	9.55697919459002	0.161619989822505
chr3:117409184-117409222(-)	FALSE	FALSE	FALSE						0	Novel					FALSE	17.0892469161562	3.88158146155768	-1.21955085348	6.84127812550642	1.07237420758143e-09	7.21672095895385e-06	9.22120809467993	0.23063751402466
chr7:142862134-142862755(+)	TRUE	TRUE	TRUE	ENSG00000106123.11	ENSG00000106123	EPHB6	+	ENST00000619012.4|ENST00000497095.5|ENST00000616380.4|ENST00000614832.4|ENST00000611578.4	5	InGen	226996	226997	ENSG00000106123.11	EPHB6	FALSE	44.7731383735323	1.42260226051449	2.00007637146504	6.78957490885564	1.35477516873033e-09	8.63733343626208e-06	11.6538412051004	0.276946775927287
chr6:94547910-94563219(-)	FALSE	FALSE	FALSE						0	Novel					FALSE	65.5083073170308	1.79462888965707	2.03550769330745	6.77540903514985	1.44426490440398e-09	8.74747924650359e-06	11.6001874676244	0.313769296890009
chr6:94621128-94627290(-)	FALSE	FALSE	FALSE						0	Novel					FALSE	225.40983953868	1.08251340677457	4.12815063743005	6.69452312175116	2.07953069208992e-09	1.18847265869576e-05	11.1487316687872	0.200186553022921
chr12:124913268-124913495(-)	TRUE	TRUE	TRUE	ENSG00000150991.14	ENSG00000150991	UBC	-	ENST00000541272.1	1	InGen	357096	357095	ENSG00000150991.14	UBC	FALSE	122.136436115507	3.60671050939878	2.30800392502681	6.68624136041433	2.15846900880898e-09	1.18847265869576e-05	11.2009055762331	0.256204901096723
chr2:97549492-97549585(-)	TRUE	TRUE	TRUE	ENSG00000196912.12	ENSG00000196912	ANKRD36B	-	ENST00000359901.8|ENST00000258459.11|ENST00000438709.6|ENST00000443455.5	4	InGen	69204	69203	ENSG00000196912.12	ANKRD36B	FALSE	293.375052932502	-1.68249106442367	4.61425343504868	-6.64943116030191	2.54680643043465e-09	1.34132543540987e-05	10.9115368797517	0.240799610543473
chr15:25252334-25254784(+)	FALSE	TRUE	FALSE						0	AltStartEnd	389442		ENSG00000224078.12	SNHG14	FALSE	88.3472372581798	0.973615903321115	2.73864401666977	6.63181467177393	2.75639910972232e-09	1.3912235406546e-05	10.9781874983502	0.227379029258519
chr17:16800372-16801035(+)	TRUE	TRUE	TRUE	ENSG00000266302.6	ENSG00000266302	RP11-219A15.1	+	ENST00000448331.7|ENST00000393005.6|ENST00000445583.6|ENST00000602730.1|ENST00000506594.6|ENST00000341745.3	6	InGen	446465	446466	ENSG00000266302.6	RP11-219A15.1	FALSE	172.826742458998	0.859613091415795	4.08102590027447	6.56353477754941	3.74297566441403e-09	1.81360645653252e-05	10.5781540069855	0.259849514489304
chr6:26440649-26443381(+)	TRUE	TRUE	TRUE	ENSG00000111801.15	ENSG00000111801	BTN3A3	+	ENST00000482451.5|ENST00000244519.6|ENST00000471353.5|ENST00000361232.7|ENST00000474790.5|ENST00000467524.1	6	InGen	180871	180875	ENSG00000111801.15	BTN3A3	FALSE	12.05559024069	1.9860499646721	-0.335800875002889	6.52058103440006	4.53523631874669e-09	2.11296660090408e-05	9.35169451250333	0.154322505433166
chr7:142863696-142863965(+)	TRUE	TRUE	TRUE	ENSG00000106123.11	ENSG00000106123	EPHB6	+	ENST00000619012.4|ENST00000616380.4|ENST00000611578.4|ENST00000422643.5	4	InGen	226999	227000	ENSG00000106123.11	EPHB6	FALSE	45.1626870500517	1.29222227791797	1.95303041467952	6.48477737138525	5.320811535794e-09	2.38715253546989e-05	10.3522675413244	0.235794406784816
chr6:94534810-94536561(-)	FALSE	FALSE	FALSE						0	Novel					FALSE	10.9799022002243	2.71183981760859	-0.804735197681225	6.46227068595473	5.8820756372354e-09	2.47749556748077e-05	8.29705617801679	0.208248017816575
chr7:142868361-142868491(+)	TRUE	TRUE	TRUE	ENSG00000106123.11	ENSG00000106123	EPHB6	+	ENST00000619012.4|ENST00000616380.4|ENST00000614832.4|ENST00000611578.4|ENST00000411471.6|ENST00000422643.5|ENST00000486511.5	7	InGen	227007	227008	ENSG00000106123.11	EPHB6	FALSE	47.4668222230123	1.23090570276183	2.08673681090236	6.46040189641661	5.93123082346346e-09	2.47749556748077e-05	10.2542920962003	0.165018975044454
chrX:18999280-18999860(-)	TRUE	TRUE	TRUE	ENSG00000173698.17	ENSG00000173698	ADGRG2	-	ENST00000354791.7|ENST00000379873.6|ENST00000379876.5|ENST00000379878.7|ENST00000357991.7|ENST00000357544.7|ENST00000360279.8|ENST00000379869.7|ENST00000356606.8|ENST00000340581.3	10	InGen	553250	553249	ENSG00000173698.17	ADGRG2	FALSE	13.7309548050516	2.11032828501414	-0.0777999105797461	6.41696545940288	7.19547868569176e-09	2.81967112339163e-05	9.1952774788631	0.199263892860636
chr7:142866606-142866905(+)	TRUE	TRUE	TRUE	ENSG00000106123.11	ENSG00000106123	EPHB6	+	ENST00000619012.4|ENST00000616380.4|ENST00000614832.4|ENST00000411471.6|ENST00000422643.5	5	InGen	227003	227004	ENSG00000106123.11	EPHB6	FALSE	61.6559121336124	1.34303147865691	2.39479788119198	6.41632582401039	7.215959584026e-09	2.81967112339163e-05	10.0679098129261	0.283073384247481
chrX:154467151-154467231(+)	TRUE	TRUE	TRUE	ENSG00000130827.6	ENSG00000130827	PLXNA3	+	ENST00000369682.4	1	InGen	568033	568034	ENSG00000130827.6	PLXNA3	FALSE	11.5167043485679	1.74328737169946	0.011160068897378	6.40209061139254	7.68698422348627e-09	2.90985983414933e-05	9.06386210076113	0.231118850378323
chr8:90934358-90940785(+)	TRUE	TRUE	TRUE	ENSG00000123119.11	ENSG00000123119	NECAB1	+	ENST00000417640.6	1	InGen	242960	242961	ENSG00000123119.11	NECAB1	FALSE	157.677875310175	-0.705700026400324	4.13023615117578	-6.36947993252794	8.88371589387183e-09	3.26096982147961e-05	9.72605417460423	0.296725660770906
chr3:41916053-41918456(-)	TRUE	TRUE	TRUE	ENSG00000168038.10	ENSG00000168038	ULK4	-	ENST00000301831.8|ENST00000420927.5	2	InGen	101510	101509	ENSG00000168038.10	ULK4	FALSE	14.5029266197967	-2.01363262400832	0.314757945475994	-6.35058065942381	9.65974706066368e-09	3.44154058954834e-05	9.24489047741659	0.382800326060758
chr3:41912900-41915976(-)	TRUE	TRUE	TRUE	ENSG00000168038.10	ENSG00000168038	ULK4	-	ENST00000301831.8|ENST00000420927.5	2	InGen	101511	101510	ENSG00000168038.10	ULK4	FALSE	19.0113985591099	-2.11563771727931	0.54844992413459	-6.3147644578741	1.13187334588574e-08	3.9173813108721e-05	9.21473767122366	0.191288362622957
chr15:25187906-25189740(+)	FALSE	TRUE	TRUE						0	ExonSkip	389374	389376	ENSG00000224078.12	SNHG14	FALSE	18.8821641446852	4.15155759389609	-0.673907468898604	6.29383710838405	1.24153203953806e-08	4.17754839103897e-05	7.87561884929328	0.16321270267924
chr8:48730645-48735093(-)	TRUE	TRUE	TRUE	ENSG00000034239.10	ENSG00000034239	EFCAB1	-	ENST00000433756.1|ENST00000521701.5|ENST00000523092.5	3	InGen	238361	238351	ENSG00000034239.10	EFCAB1	FALSE	7.84829416836259	-1.80194192693947	-0.43654684180952	-6.21923806525494	1.72487429244953e-08	5.60497846721218e-05	8.18983782553621	0.197378687561198
chr6:94607955-94621078(-)	FALSE	FALSE	FALSE						0	Novel					FALSE	119.025292694012	1.06521051807835	3.3294566331923	6.21487514608161	1.75829396993464e-08	5.60497846721218e-05	9.14085600287889	0.216686734574015
chr12:25955242-25956226(-)	TRUE	TRUE	TRUE	ENSG00000246695.7	ENSG00000246695	RASSF8-AS1	-	ENST00000500276.6|ENST00000502069.6|ENST00000545226.5|ENST00000542086.5|ENST00000535436.5|ENST00000500102.6|ENST00000537801.1	7	InGen	332576	332572	ENSG00000246695.7	RASSF8-AS1	FALSE	13.7832611649971	1.63550515559093	0.11905503823676	6.1916876842632	1.94693289030441e-08	6.04717355728549e-05	8.41101975721464	0.144857921297037
chr2:97542108-97548219(-)	FALSE	TRUE	FALSE						0	AltStartEnd	69211		ENSG00000196912.12	ANKRD36B	FALSE	26.9614728149015	-3.72307102124657	0.150354648115605	-6.1318450842045	2.53113516948135e-08	7.47864249416721e-05	8.33813484232367	0.152366724862856
chr15:101010578-101010673(+)	TRUE	TRUE	TRUE	ENSG00000154237.12	ENSG00000154237	LRRK1	+	ENST00000388948.7|ENST00000525284.5|ENST00000531270.5	3	InGen	410043	410044	ENSG00000154237.12	LRRK1	FALSE	10.8220087941176	-1.63351007167797	-0.221846100350642	-6.1318318121963	2.53128223505255e-08	7.47864249416721e-05	7.93420079179116	0.164294277797408
chr7:142863328-142863630(+)	TRUE	TRUE	TRUE	ENSG00000106123.11	ENSG00000106123	EPHB6	+	ENST00000619012.4|ENST00000616380.4|ENST00000611578.4|ENST00000422643.5	4	InGen	226998	226999	ENSG00000106123.11	EPHB6	FALSE	24.7010327209111	1.34731555168863	1.16597425688199	6.10011537921482	2.9079429088384e-08	8.3869227695055e-05	8.64288654747478	0.123299831601586
chrX:154462311-154463390(+)	TRUE	TRUE	TRUE	ENSG00000130827.6	ENSG00000130827	PLXNA3	+	ENST00000369682.4	1	InGen	568019	568020	ENSG00000130827.6	PLXNA3	FALSE	10.9147939480799	1.80010843839954	-0.0800848402459478	6.09468962116331	2.97770136488201e-08	8.38839249147946e-05	7.84297767197395	0.152769677591856
chrX:18999961-19002845(-)	TRUE	TRUE	TRUE	ENSG00000173698.17	ENSG00000173698	ADGRG2	-	ENST00000354791.7|ENST00000379873.6|ENST00000379876.5|ENST00000379878.7|ENST00000357991.7|ENST00000357544.7|ENST00000360279.8|ENST00000379869.7|ENST00000356606.8|ENST00000340581.3	10	InGen	553249	553248	ENSG00000173698.17	ADGRG2	FALSE	11.3572811156179	2.04554280946048	-0.4503929021323	6.03015023403725	3.94542708751193e-08	0.000108619401095152	7.45175750770499	0.177459086499345
chr6:94544327-94544962(-)	FALSE	FALSE	FALSE						0	Novel					FALSE	15.5387487037173	2.15871986025874	-0.244723083260566	5.99101455483496	4.67707447740032e-08	0.000125900608832313	7.39284994681956	0.172041084874858
chr22:25459516-25460866(+)	TRUE	TRUE	TRUE	ENSG00000100058.12	ENSG00000100058	CRYBB2P1	+	ENST00000382734.9	1	InGen	542695	542696	ENSG00000100058.12	CRYBB2P1	FALSE	10.0283182779679	2.31149803523846	-0.861388816653667	5.98379044244949	4.82606136243634e-08	0.000126575906486627	6.8521174907582	0.183961695202214
chr4:158695644-158697558(+)	TRUE	TRUE	TRUE	ENSG00000171503.11	ENSG00000171503	ETFDH	+	ENST00000511912.5|ENST00000507475.5|ENST00000307738.5	3	InGen	148864	148865	ENSG00000171503.11	ETFDH	FALSE	29.8728110722468	0.75929938012667	1.47254916037786	5.97976285761913	4.91114600762087e-08	0.000126575906486627	8.21793905133806	0.202442626012812
chr11:62870838-62871576(+)	TRUE	TRUE	TRUE	ENSG00000168003.16	ENSG00000168003	SLC3A2	+	ENST00000377890.6|ENST00000538084.1	2	InGen	306853	306854	ENSG00000168003.16	SLC3A2	FALSE	5.29009162562527	-3.03014355832282	-1.23343199419202	-5.96512529467723	5.23301098227106e-08	0.000132061573401338	6.44840343297216	0.165885712202316
chrX:154471318-154471487(+)	TRUE	TRUE	TRUE	ENSG00000130827.6	ENSG00000130827	PLXNA3	+	ENST00000369682.4|ENST00000497802.1	2	InGen	568046	568047	ENSG00000130827.6	PLXNA3	FALSE	17.7756270797589	1.43266416743348	0.522318559233848	5.95429169243884	5.48453689715443e-08	0.000135584467857123	7.7671283334092	0.123775532479939
chr2:39643530-39646261(+)	FALSE	FALSE	TRUE						0	AltStartEnd		59380	ENSG00000231312.6		FALSE	27.723114693384	3.59483277717944	-0.0470703271732256	5.93641026428145	5.92600467798664e-08	0.000143568130132647	7.22136826708479	0.132883273945836
chr14:22905660-22906194(-)	TRUE	TRUE	TRUE	ENSG00000100461.17	ENSG00000100461	RBM23	-	ENST00000359890.7|ENST00000557667.5|ENST00000399922.6|ENST00000542016.6|ENST00000307814.10|ENST00000555722.5|ENST00000555714.5	7	InGen	370201	370200	ENSG00000100461.17	RBM23	FALSE	36.0127980584012	-0.892898933402831	1.93004126283587	-5.92631458911291	6.19053347987487e-08	0.000147036094617875	8.02627079574929	0.139295435422487
chr16:22467289-22469022(+)	TRUE	TRUE	TRUE	ENSG00000237296.9	ENSG00000237296	SMG1P1	+	ENST00000309865.11	1	InGen	420618	420619	ENSG00000237296.9	SMG1P1	FALSE	134.698265499792	2.09001375279346	3.15414407559566	5.89501546040652	7.08681383234325e-08	0.000165087328224436	7.84049071925531	0.138767569687418
chr7:142870408-142870529(+)	TRUE	TRUE	TRUE	ENSG00000106123.11	ENSG00000106123	EPHB6	+	ENST00000619012.4|ENST00000616380.4|ENST00000614832.4|ENST00000611578.4|ENST00000411471.6|ENST00000422643.5|ENST00000486511.5|ENST00000471581.5	8	InGen	227011	227012	ENSG00000106123.11	EPHB6	FALSE	30.0871664186678	1.24374651223537	1.47718700120504	5.86450041105162	8.08332566115961e-08	0.000184748220875266	7.76052398539147	0.153202041718509
chr20:58714094-58714559(+)	TRUE	TRUE	TRUE	ENSG00000254995.4	ENSG00000254995	STX16-NPEPL1	+	ENST00000530122.1|ENST00000525967.5|ENST00000525817.5|ENST00000356091.10|ENST00000527587.5|ENST00000527081.1|ENST00000525068.1	7	InGen	530027	530028	ENSG00000254995.4	STX16-NPEPL1	FALSE	68.2709746975338	0.769396932317374	2.56339700329219	5.85061270164331	8.58138431510779e-08	0.000190376652775407	7.68505051298783	0.0951155219034387
chr2:97548276-97549418(-)	FALSE	FALSE	TRUE						0	AltStartEnd		69204	ENSG00000196912.12	ANKRD36B	FALSE	149.798973438073	-1.38479173171359	3.65053988804088	-5.84892559042368	8.64391162072366e-08	0.000190376652775407	7.57101012952882	0.0972839452057313
chr7:142869148-142869816(+)	TRUE	TRUE	TRUE	ENSG00000106123.11	ENSG00000106123	EPHB6	+	ENST00000619012.4|ENST00000616380.4|ENST00000614832.4|ENST00000611578.4|ENST00000411471.6|ENST00000422643.5|ENST00000486511.5	7	InGen	227009	227010	ENSG00000106123.11	EPHB6	FALSE	33.8504169326359	1.25713161931164	1.47666385941009	5.82730962151884	9.48585751575542e-08	0.000205189261484557	7.61052089833228	0.121905093610522
chr15:74837436-74837756(-)	TRUE	TRUE	TRUE	ENSG00000140474.12	ENSG00000140474	ULK3	-	ENST00000561725.5|ENST00000569437.5|ENST00000568718.5|ENST00000568273.5|ENST00000568210.5	5	InGen	403449	403456	ENSG00000140474.12	ULK3	FALSE	20.9350319818119	4.4720013790564	-0.941693704870006	5.81074765488652	1.01851158607425e-07	0.000216449793802664	6.07519836086615	0.151937633724253
chr7:142866317-142866480(+)	TRUE	TRUE	TRUE	ENSG00000106123.11	ENSG00000106123	EPHB6	+	ENST00000619012.4|ENST00000614832.4|ENST00000611578.4|ENST00000411471.6|ENST00000422643.5	5	InGen	227002	227003	ENSG00000106123.11	EPHB6	FALSE	46.7110510523853	1.27298596337472	1.95369046323372	5.78666275284795	1.12934188421846e-07	0.000235864999660204	7.45869347071437	0.165256995849949
chr2:39518711-39643471(+)	FALSE	TRUE	FALSE						0	AltStartEnd	59358		ENSG00000231312.6		FALSE	28.3679488771499	4.191797584036	-0.507932765816161	5.77498692809769	1.18726096003531e-07	0.000243758761242232	6.26611482503871	0.12017128234146
chr7:142864750-142865474(+)	TRUE	TRUE	TRUE	ENSG00000106123.11	ENSG00000106123	EPHB6	+	ENST00000619012.4|ENST00000616380.4|ENST00000614832.4|ENST00000611578.4|ENST00000411471.6|ENST00000422643.5	6	InGen	227000	227001	ENSG00000106123.11	EPHB6	FALSE	31.8891207996196	1.41325264196367	1.2959891017386	5.76910032505371	1.21756074874729e-07	0.000245813339564591	7.34874603604832	0.132331760194112
chrX:154470612-154471104(+)	TRUE	TRUE	TRUE	ENSG00000130827.6	ENSG00000130827	PLXNA3	+	ENST00000369682.4	1	InGen	568045	568046	ENSG00000130827.6	PLXNA3	FALSE	14.8473569766253	1.52710752467265	0.26034140675896	5.76162541269265	1.25713463207638e-07	0.000248724978982754	6.87455565050224	0.263175907133823
chr20:58701159-58707122(+)	TRUE	TRUE	TRUE	ENSG00000215440.11	ENSG00000215440	NPEPL1	+	ENST00000525967.5|ENST00000525817.5|ENST00000356091.10|ENST00000529976.5|ENST00000527587.5	5	InGen	530023	530024	ENSG00000215440.11	NPEPL1	FALSE	88.1843414295614	0.75043798971142	2.80235775403981	5.7586845655247	1.2730487474145e-07	0.000248724978982754	7.28506000140371	0.301923110737264
chr14:22905454-22905605(-)	TRUE	TRUE	TRUE	ENSG00000100461.17	ENSG00000100461	RBM23	-	ENST00000359890.7|ENST00000557667.5|ENST00000399922.6|ENST00000542016.6|ENST00000307814.10|ENST00000553738.5|ENST00000555722.5|ENST00000555714.5	8	InGen	370202	370201	ENSG00000100461.17	RBM23	FALSE	32.1769625165631	-0.799741573585591	1.79072360522128	-5.75477229295257	1.29452727261943e-07	0.000248906772446798	7.32928631951618	0.194912280163604
chr17:45475727-45477899(-)	TRUE	TRUE	TRUE	ENSG00000225190.9	ENSG00000225190	PLEKHM1	-	ENST00000430334.7|ENST00000581448.5	2	InGen	459092	459091	ENSG00000225190.9	PLEKHM1	FALSE	22.8356169613857	-0.935332060307612	1.18301753350163	-5.71802552993372	1.51448429140854e-07	0.000283841513967271	7.11423902297543	0.159091194127361
chr11:62856382-62870744(+)	TRUE	TRUE	TRUE	ENSG00000168003.16	ENSG00000168003	SLC3A2	+	ENST00000377890.6	1	InGen	306852	306853	ENSG00000168003.16	SLC3A2	FALSE	5.67128106576996	-3.04172796976379	-1.22671207756661	-5.7166982499798	1.52308174483404e-07	0.000283841513967271	5.5995497387821	0.133412673811754
chr2:97549615-97550103(-)	FALSE	TRUE	FALSE						0	AltStartEnd	69203		ENSG00000196912.12	ANKRD36B	FALSE	240.733070014598	-1.4440420534284	4.35516969125708	-5.71144795232462	1.55756360200828e-07	0.000285869559644956	6.92876998487834	0.0798210871766329
chr6:132322871-132323930(-)	TRUE	TRUE	TRUE	ENSG00000079931.14	ENSG00000079931	MOXD1	-	ENST00000367963.7|ENST00000336749.3|ENST00000489128.1	3	InGen	197391	197390	ENSG00000079931.14	MOXD1	FALSE	12.5255622738135	-2.18648450671552	-0.166420073387209	-5.69168086116512	1.6944108915815e-07	0.000306344431254976	6.56676960193769	0.073415671858129
chr1:103006316-103008462(-)	TRUE	TRUE	TRUE	ENSG00000060718.19	ENSG00000060718	COL11A1	-	ENST00000370096.7|ENST00000358392.6|ENST00000353414.8|ENST00000635193.1|ENST00000512756.5|ENST00000461720.5	6	InGen	24791	24790	ENSG00000060718.19	COL11A1	FALSE	16.8612438257819	-1.86133161638431	0.191936973527992	-5.67619926633861	1.80978559670892e-07	0.000322392012458438	6.56341988794476	0.0758943563903951
chr17:16772020-16773496(+)	TRUE	TRUE	TRUE	ENSG00000170160.17	ENSG00000170160	CCDC144A	+	ENST00000399273.5|ENST00000448331.7|ENST00000360495.9	3	InGen	446433	446434	ENSG00000170160.17	CCDC144A	FALSE	182.873043913177	0.695131135894587	3.99005879878297	5.66852343468131	1.86981924265647e-07	0.000328258962521664	6.79022824847785	0.0912906398928359
chr5:181293952-181295046(+)	FALSE	FALSE	TRUE						0	AltStartEnd		177747	ENSG00000274525.1		FALSE	14.967503468551	3.21735589071726	-1.13955454072993	5.6595845194485	1.94220236076659e-07	0.000336095343955857	5.43085716321917	0.098751818176985
chr17:64805101-64814862(-)	TRUE	TRUE	TRUE	ENSG00000214176.9	ENSG00000214176	PLEKHM1P1	-	ENST00000582201.5|ENST00000580919.5	2	InGen	465914	465929	ENSG00000214176.9	PLEKHM1P1	FALSE	8.47818974984864	-3.24128380605882	-0.986414900391465	-5.64171291960609	2.09527484125886e-07	0.000357477496649367	5.39944172414335	0.0971163999357965
chr5:131162677-131165059(-)	TRUE	TRUE	TRUE	ENSG00000169567.11	ENSG00000169567	HINT1	-	ENST00000513345.5|ENST00000504202.1|ENST00000513012.1	3	InGen	166111	166120	ENSG00000169567.11	HINT1	FALSE	12.3032612376475	3.07809818506909	-0.729299232240611	5.62970204618878	2.20474991145582e-07	0.000370930799686514	5.59933090013872	0.0834670780721974
chr1:236243496-236249884(-)	TRUE	TRUE	TRUE	ENSG00000086619.13	ENSG00000086619	ERO1B	-	ENST00000354619.9|ENST00000366589.1	2	InGen	50601	50600	ENSG00000086619.13	ERO1B	FALSE	24.0668855494724	-1.12757291967355	1.20632975799926	-5.60678927062337	2.42940670124909e-07	0.000399046009037832	6.69991659524501	0.0700772900597894
chr5:33998828-34004573(-)	TRUE	TRUE	TRUE	ENSG00000242110.7	ENSG00000242110	AMACR	-	ENST00000335606.10|ENST00000382085.7|ENST00000426255.6|ENST00000512079.5	4	InGen	154776	154775	ENSG00000242110.7	AMACR	FALSE	12.3216508780207	1.28374724400324	0.113567993065721	5.60597929303174	2.43774701312592e-07	0.000399046009037832	6.39083196156128	0.0609263052904129
chr12:132676205-132676545(-)	TRUE	TRUE	TRUE	ENSG00000177084.16	ENSG00000177084	POLE	-	ENST00000320574.9|ENST00000535270.5	2	InGen	358316	358315	ENSG00000177084.16	POLE	FALSE	51.8598636419218	1.15557624003261	1.94716506548848	5.60229585733891	2.47603149819242e-07	0.000399908799336054	6.71791371435459	0.0650691014267423
