""	gene_id	Symbol	gene_type	chr	start	end	strand	length	logFC	AveExpr	t	P.Value	adj.P.Val	B	SE
ENST00000264451.11	ENSG00000014824.13	SLC30A9	protein_coding	chr4	41990472	42090457	+	6218	-0.168639915630034	5.78380839732131	-7.88477027553785	1.40724844757996e-13	2.46461565904184e-10	19.8539942146151	0.0991179641149372
ENST00000612320.1	ENSG00000274642.1	CH17-472G23.1	unprocessed_pseudogene	chr1	120197085	120319680	+	853	1.51187164393929	-0.247256609595062	7.82679343214848	2.02110922561328e-13	3.45926624253888e-10	19.9342436217976	0.0637074594804442
ENST00000429990.1	ENSG00000196436.8	NPIPB15	protein_coding	chr16	74377878	74392080	+	1428	-1.64274031501997	0.14627559979121	-7.69539619670027	4.56648154918363e-13	7.64215908861045e-10	19.1936332879934	0.125287151487726
ENST00000487732.5	ENSG00000100376.11	FAM118A	protein_coding	chr22	45330457	45336410	+	677	2.23255861623644	-1.97935707924857	7.66186737069117	5.61546460656027e-13	9.1933700881619e-10	17.5747687469295	0.0331108474326113
ENST00000528509.5	ENSG00000172890.11	NADSYN1	protein_coding	chr11	71453217	71477225	+	2999	0.572811435930119	1.12466582149707	7.65514856920444	5.85268907255678e-13	9.37787577372721e-10	18.9831309237552	0.202664396580868
ENST00000310128.8	ENSG00000175538.10	KCNE3	protein_coding	chr11	74454841	74467628	-	3143	0.473916938047248	1.07300873833896	7.59819673115495	8.30473071822068e-13	1.30296034512184e-09	18.6470428968192	0.0644332841823188
ENST00000560646.2	ENSG00000259433.2	CTD-2651B20.4	processed_pseudogene	chr15	45330209	45332634	-	2426	1.48178156397308	-1.47634233200113	7.58946725897002	8.76119986736422e-13	1.34652489961496e-09	17.9926536222368	0.101330604942792
ENST00000309865.11	ENSG00000237296.9	SMG1P1	transcribed_unprocessed_pseudogene	chr16	22437401	22491826	+	4223	1.52061867338776	3.78745690443455	7.53259044127153	1.24052527387776e-12	1.85903457603856e-09	17.9729948213934	0.102725101980315
ENST00000572638.1	ENSG00000238083.7	LRRC37A2	protein_coding	chr17	46547225	46555643	+	3082	0.586013423815696	3.68322173444089	7.53017319493739	1.25895661047108e-12	1.85903457603856e-09	17.9799524184157	0.0566807961462534
ENST00000514436.1	ENSG00000250575.1	RP4-669L17.8	unprocessed_pseudogene	chr1	491225	493241	-	1239	0.954949640772149	-0.650934129715479	7.52552268377861	1.29518050922794e-12	1.87574517248936e-09	18.089922086518	0.0848769986131444
ENST00000510460.1	ENSG00000014824.13	SLC30A9	protein_coding	chr4	41990527	42020775	+	819	1.0673990643048	0.242939890655779	7.49230362971744	1.58564303433028e-12	2.25307908061093e-09	18.0177562693651	0.290647644884086
ENST00000377890.6	ENSG00000168003.16	SLC3A2	protein_coding	chr11	62856102	62888793	+	2161	-1.864120168822	0.337851108379972	-7.47733519184369	1.73672127264317e-12	2.35313160764807e-09	17.9273375537271	0.0986488956187529
ENST00000587916.1	ENSG00000226752.8	PSMD5-AS1	processed_transcript	chr9	120846733	120851279	+	663	-0.827230308077485	-0.01180932938667	-7.47410068294838	1.77118976023564e-12	2.35313160764807e-09	17.8883895804131	0.109418001107126
ENST00000376401.4	ENSG00000204556.4	CTD-2514C3.1	unprocessed_pseudogene	chr20	26018832	26020684	+	353	0.999786171555334	-0.828718432576312	7.47389800347759	1.77337196288238e-12	2.35313160764807e-09	17.7384099254033	0.0460395776477512
ENST00000615128.1	ENSG00000274767.1	AC131056.3	antisense	chr17	36183235	36188882	+	1059	-1.22799734354127	-1.16526381395498	-7.47318755996178	1.78104212824416e-12	2.35313160764807e-09	17.4951814615836	0.0289123962295241
ENST00000355622.6	ENSG00000136869.13	TLR4	protein_coding	chr9	117704372	117716871	+	4844	0.411685979109397	4.29657744703102	7.44838658105842	2.07034653693961e-12	2.6882021956963e-09	17.4105762386392	0.0429212150886236
ENST00000552361.1	ENSG00000197728.9	RPS26	protein_coding	chr12	56041893	56044223	+	623	-0.575475764737228	5.10480667615702	-7.44024753727744	2.17504654929858e-12	2.77628102679876e-09	17.2517754389242	0.42343713680008
ENST00000566178.5	ENSG00000261377.5	PDCD6IPP2	transcribed_unprocessed_pseudogene	chr15	28832321	28859007	+	3351	0.902785798284499	1.9488429736478	7.40075542749355	2.76210144713337e-12	3.42992128205608e-09	17.4182145012873	0.093486970954059
ENST00000372967.3	ENSG00000168653.10	NDUFS5	protein_coding	chr1	39026318	39034636	+	544	-0.407627457742457	4.97610468720658	-7.39979204689551	2.77822303051987e-12	3.42992128205608e-09	17.0307317412987	0.0720802103634841
ENST00000492634.5	ENSG00000077522.12	ACTN2	protein_coding	chr1	236686527	236744769	+	1632	-2.78285288121864	-3.23067959548012	-7.36317829451208	3.46485962959996e-12	4.20863086847651e-09	15.8504956059998	0.375599249283255
ENST00000482713.1	ENSG00000038219.12	BOD1L1	protein_coding	chr4	13613506	13627701	-	4367	0.399809133689664	0.969334418260972	7.31511901087194	4.62565456653988e-12	5.52941936113574e-09	16.9863164943327	0.13498910355646
ENST00000573866.2	ENSG00000262202.4	RP11-160E2.6	lincRNA	chr17	19112000	19112636	-	637	1.53137132933052	-0.441096164759562	7.30026409865287	5.05667282013864e-12	5.9502027095597e-09	16.8448773657802	0.221357229646662
ENST00000619021.4	ENSG00000276550.4	HERC2P2	transcribed_unprocessed_pseudogene	chr15	22516909	22590815	+	5746	0.776928720988817	5.7285311073857	7.29130035031915	5.33568444743235e-12	6.18192400079512e-09	16.2777382708146	0.0967067682947286
ENST00000486319.5	ENSG00000168255.19	POLR2J3	protein_coding	chr7	102537920	102572649	-	1532	-0.923913970853794	2.81759727398777	-7.25176033258822	6.7589881387475e-12	7.6478081259067e-09	16.4492211975255	0.121877346671123
ENST00000392350.7	ENSG00000128699.13	ORMDL1	protein_coding	chr2	189770323	189784364	-	2009	-0.618003679859122	2.162995997113	-7.2506483778282	6.80400940705293e-12	7.6478081259067e-09	16.5185427817098	0.0683322469566395
ENST00000412712.1	ENSG00000235092.5	ID2-AS1	antisense	chr2	8666636	8678334	-	953	0.862243726259779	-1.49702028560076	7.20418010345263	8.97476047563923e-12	9.93941524499875e-09	15.8902881872678	0.342498440375655
ENST00000470751.5	ENSG00000144455.13	SUMF1	protein_coding	chr3	3700814	3800875	-	2344	0.460826376214592	0.0683889776923626	7.19754027158193	9.33618615615401e-12	1.01898383077363e-08	16.3070748939003	0.141883512737854
ENST00000529456.1	ENSG00000215374.5	FAM66B	lincRNA	chr8	7301611	7355354	-	1432	0.967938102099214	1.50686145162963	7.18304474488882	1.01758418454452e-11	1.09476067648376e-08	16.1858998328773	0.211711316788183
ENST00000261884.7	ENSG00000103671.9	TRIP4	protein_coding	chr15	64387804	64455303	+	2045	-0.224706152751867	2.32935461826309	-7.17982730795629	1.03720799510183e-11	1.1001562944102e-08	16.0890318592369	0.125084001497533
ENST00000295208.6	ENSG00000144026.11	ZNF514	protein_coding	chr2	95147937	95159607	-	3011	0.416808742228871	2.85170408743434	7.1536343782154	1.21148361486157e-11	1.26716138266126e-08	15.8677904107561	0.410089822954278
ENST00000329099.4	ENSG00000183688.4	FAM101B	protein_coding	chr17	439978	445939	-	3621	0.377640537451728	2.87577352823905	7.14229952770987	1.29557276370239e-11	1.33655190769402e-08	15.8056019404145	0.0710443054066102
ENST00000561384.3	ENSG00000259479.6	SORD2P	transcribed_unprocessed_pseudogene	chr15	44825747	44884694	-	2498	-4.35824886744561	-1.86855725755286	-7.12486300931377	1.43628746820838e-11	1.44662628956225e-08	14.1681078508259	0.260988638494098
ENST00000414273.1	ENSG00000237973.1	MTCO1P12	unprocessed_pseudogene	chr1	631074	632616	+	1543	-6.85505232346999	2.14902629423257	-7.12434498787511	1.44069064410852e-11	1.44662628956225e-08	15.8697265067392	0.349700511606707
ENST00000466343.2	ENSG00000254539.1	RP4-791M13.3	lincRNA	chr1	149048576	149051273	+	869	-0.430036962255475	1.37959673189014	-7.09829431717153	1.68015332761335e-11	1.66487719670045e-08	15.7142722762341	0.479558339287609
ENST00000527222.5	ENSG00000196922.10	ZNF252P	transcribed_unitary_pseudogene	chr8	144978139	145002895	-	876	-0.774511780911492	0.308636655324607	-7.08940903349639	1.77048468282547e-11	1.73160299972602e-08	15.7009543964245	0.0669895899805641
ENST00000399273.5	ENSG00000170160.17	CCDC144A	protein_coding	chr17	16690241	16777881	+	8686	0.51109013740312	6.52761605736703	7.08333095810708	1.83501738702318e-11	1.77170928717088e-08	14.9476525318653	0.137206317809493
ENST00000379483.3	ENSG00000120696.8	KBTBD7	protein_coding	chr13	41189833	41194566	-	4734	-0.18056174129034	3.9415112867168	-7.08068367060416	1.86384412942905e-11	1.77676250054648e-08	15.3043185901683	0.171617537978166
ENST00000358888.7	ENSG00000229117.8	RPL41	protein_coding	chr12	56116633	56117826	+	551	0.663449008995544	0.161083803351636	7.07629991320431	1.91256421952861e-11	1.800416235106e-08	15.6245764022767	0.0725768950646162
ENST00000529369.1	ENSG00000254682.1	RP11-660L16.2	antisense	chr11	71448674	71452157	+	680	0.739107676646693	-0.338136020505336	7.06347403696546	2.0624324755189e-11	1.9175274975167e-08	15.519564783331	0.0756488490764893
ENST00000507221.1	ENSG00000163913.11	IFT122	protein_coding	chr3	129488191	129502764	+	590	2.16633366498847	-2.82266163000068	7.06049078760907	2.0989174893361e-11	1.92765094151722e-08	13.0998554500347	0.0700152820655054
ENST00000428046.7	ENSG00000168803.14	ADAL	protein_coding	chr15	43330674	43353898	+	3514	0.467814986991272	1.44757036955364	7.05476089632828	2.17078704499501e-11	1.9696361635124e-08	15.4576467005838	0.0273223121687434
ENST00000382085.7	ENSG00000242110.7	AMACR	protein_coding	chr5	33988307	34008028	-	1195	1.28023861324343	-0.145212553679545	7.02116266080807	2.64369916514145e-11	2.37017071937664e-08	15.3061073071026	0.277079090006426
ENST00000443439.6	ENSG00000164307.12	ERAP1	protein_coding	chr5	96774484	96807909	-	4805	-0.321661526301393	3.73318675399916	-7.00468513130452	2.91139105302117e-11	2.57945822131731e-08	14.8982860610034	0.0470061846841029
ENST00000341745.3	ENSG00000188933.14	USP32P1	transcribed_unprocessed_pseudogene	chr17	16798009	16804455	+	3233	0.538720833607144	4.64576785184302	7.00025273048745	2.98784671663121e-11	2.61641567886953e-08	14.7435650339848	0.238738154426819
ENST00000588802.5	ENSG00000130208.9	APOC1	protein_coding	chr19	44914325	44919346	+	553	0.747986111411058	0.910206975738795	6.97837148307829	3.39524540559142e-11	2.9389946695366e-08	15.0579795795704	0.127714944624368
ENST00000449421.6	ENSG00000125450.10	NUP85	protein_coding	chr17	75205709	75226978	+	1287	-0.774482683117403	-0.383293952094498	-6.97240121323163	3.51560099177688e-11	3.00859539874688e-08	14.9967740041373	0.0322389833904177
ENST00000540768.5	ENSG00000125450.10	NUP85	protein_coding	chr17	75228161	75235757	+	1926	-0.488006135149252	0.971322750955484	-6.93199547667199	4.44815601688482e-11	3.76388967950089e-08	14.8006494712837	0.0551044509306213
ENST00000520432.1	ENSG00000170919.15	TPT1-AS1	processed_transcript	chr13	45382825	45391352	+	897	-0.661164724100649	0.146226318647964	-6.9267801961263	4.58503325367584e-11	3.81364958522229e-08	14.7841659888762	0.177667170220735
ENST00000449853.2	ENSG00000219481.10	NBPF1	protein_coding	chr1	16605406	16613534	-	2755	-0.34185710564797	3.24760166467009	-6.92591112310526	4.60824220551632e-11	3.81364958522229e-08	14.5142073105472	0.278162390997136
ENST00000524062.5	ENSG00000170919.15	TPT1-AS1	processed_transcript	chr13	45341513	45391737	+	2285	-0.494100723327939	1.98923964052999	-6.90481032727397	5.20864274228382e-11	4.26367039433318e-08	14.5587165329446	0.0527301891814574
ENST00000337435.8	ENSG00000170113.15	NIPA1	protein_coding	chr15	22786632	22829791	+	6567	-0.286909221309348	6.09343148961499	-6.89898639985949	5.38750500676594e-11	4.36266252209178e-08	13.9481321575406	0.0847386305444232
ENST00000394487.4	ENSG00000136869.13	TLR4	protein_coding	chr9	117704332	117715775	+	3908	0.517939723600507	2.12869110803254	6.85566823891741	6.92172408004602e-11	5.54540551855517e-08	14.2570871065129	0.0893595146938915
ENST00000440580.1	ENSG00000224185.1	SNX18P9	processed_pseudogene	chr9	64439346	64440180	+	835	0.826453000656333	0.272770239108852	6.85229129150884	7.05798029496709e-11	5.59504671614396e-08	14.3735246242595	0.0899284070111742
ENST00000480321.1	ENSG00000126217.20	MCF2L	protein_coding	chr13	113040348	113047341	+	5727	0.395604587224079	1.70675467158578	6.82104165560422	8.45090478371387e-11	6.62947071204904e-08	14.1113622085786	0.0704065664872573
ENST00000471389.5	ENSG00000140718.19	FTO	protein_coding	chr16	53703963	54121941	+	11766	0.386312488766391	1.50870044751305	6.80775438852482	9.12213961589677e-11	7.08225992096464e-08	14.0609490955605	0.409978407686033
ENST00000361227.2	ENSG00000198840.2	MT-ND3	protein_coding	chrM	10059	10404	+	346	0.332561679525083	8.47168572784448	6.78480239576173	1.04073483398968e-10	7.9976224094825e-08	12.9222777615136	0.32965148467353
ENST00000624870.1	ENSG00000279656.1	RP11-298I3.6	TEC	chr14	23023083	23024217	-	1135	1.80354556672875	-1.71682949710433	6.77270498269684	1.11548456340887e-10	8.47595433873038e-08	13.3392430332498	0.0816627244729957
ENST00000494191.6	ENSG00000058453.16	CROCC	protein_coding	chr1	16938909	16954357	+	1996	-0.44703303540279	1.00902707695779	-6.77114656412404	1.12549022543526e-10	8.47595433873038e-08	13.9001457876895	0.449770250207686
ENST00000469164.1	ENSG00000164398.12	ACSL6	protein_coding	chr5	131993755	132011817	-	545	0.582369452305696	-0.135138032618928	6.75491676212831	1.2350858337653e-10	9.20921574802285e-08	13.8294960991485	0.451195891787218
ENST00000253329.2	ENSG00000131013.3	PPIL4	protein_coding	chr6	149504733	149546038	-	2232	0.161292971824837	4.72031011931298	6.69676112445135	1.72110270421605e-10	1.26493504132611e-07	13.0183568310649	0.0517007751029685
ENST00000565246.6	ENSG00000261556.9	SMG1P7	transcribed_unprocessed_pseudogene	chr16	70219870	70246610	-	2704	0.307971616594245	1.33813467671333	6.69584992240358	1.73004965218751e-10	1.26493504132611e-07	13.4551389234334	0.0490621680574389
ENST00000336733.10	ENSG00000144741.17	SLC25A26	protein_coding	chr3	66221012	66378079	+	1023	0.476117652800328	1.79300489888481	6.67728395250644	1.9226377588076e-10	1.39223006709655e-07	13.3020059713564	0.0725185356519945
ENST00000496930.5	ENSG00000176681.14	LRRC37A	protein_coding	chr17	46292733	46337792	+	3860	0.473080551454982	2.80132217489506	6.67006281265373	2.00310987696078e-10	1.43668763546704e-07	13.1376335762197	0.545405007906719
ENST00000578036.5	ENSG00000214176.9	PLEKHM1P1	transcribed_unprocessed_pseudogene	chr17	64779259	64837139	-	4318	0.385771861924453	1.9490578294179	6.64847059430318	2.26401380279433e-10	1.60849637240225e-07	13.1258871545655	0.113380627144295
ENST00000367351.3	ENSG00000131015.4	ULBP2	protein_coding	chr6	149942000	149949235	+	1349	0.61830850110188	-0.345369674603059	6.63497806531162	2.44372111497095e-10	1.71994573315278e-07	13.1691751965271	0.300361713763164
ENST00000435634.2	ENSG00000223496.2	EXOSC6	protein_coding	chr16	70246778	70251930	-	5153	0.168084822247657	5.87824736298659	6.632809331667	2.47388617441937e-10	1.72505457323471e-07	12.4917186162573	0.171901428987174
ENST00000512123.3	ENSG00000138759.17	FRAS1	protein_coding	chr4	78057570	78544269	+	15624	-0.449544331352106	4.62258087897947	-6.62643253268894	2.56471831579007e-10	1.77198506095261e-07	12.6292188359087	0.0951387776070266
ENST00000618706.1	ENSG00000197978.9	GOLGA6L9	protein_coding	chr15	82430045	82439153	+	6549	0.339827359997154	3.10405680626671	6.62283860104144	2.6173474064175e-10	1.78228178158935e-07	12.8389084494327	0.0481186699252455
ENST00000397075.7	ENSG00000157326.18	DHRS4	protein_coding	chr14	23953779	23969009	+	727	1.19668953693215	-1.82919443087748	6.62219026359183	2.62695398632857e-10	1.78228178158935e-07	12.5571565116842	0.372199710821822
ENST00000292401.8	ENSG00000160862.12	AZGP1	protein_coding	chr7	99966730	99976157	-	1307	-0.979559321904797	0.434145727343141	-6.61874042349226	2.67865708213731e-10	1.80113380534535e-07	13.0914498646787	0.0519673758374182
ENST00000537147.5	ENSG00000213088.9	ACKR1	protein_coding	chr1	159203307	159206498	+	1902	0.777227282907792	0.570195268003068	6.59712608061721	3.02612990840061e-10	2.01676829444019e-07	12.9686118483483	0.100521046555961
ENST00000528584.5	ENSG00000206149.10	HERC2P9	transcribed_unprocessed_pseudogene	chr15	28654442	28685264	+	2947	0.362773057718861	3.82410568450351	6.59458302683128	3.0698182400048e-10	2.02042388566568e-07	12.5755650559379	0.0527349185871452
ENST00000580303.1	ENSG00000185158.12	LRRC37B	protein_coding	chr17	32031396	32036066	+	637	0.572109645254527	0.644027386180628	6.59369199104484	3.08527197083421e-10	2.02042388566568e-07	12.9473394294448	0.108700781163775
ENST00000481691.5	ENSG00000163046.15	ANKRD30BL	protein_coding	chr2	132147907	132161753	-	3253	0.716991880782673	1.7982160879762	6.59076750717464	3.13653226107536e-10	2.03628541421831e-07	12.827625603028	0.248385225410906
ENST00000381231.4	ENSG00000237296.9	SMG1P1	transcribed_unprocessed_pseudogene	chr16	22471637	22478822	+	720	-2.91581699129657	0.482193724684395	-6.58783497101913	3.18877410124019e-10	2.04960103532581e-07	12.9269347442318	0.0486180501557277
ENST00000409569.2	ENSG00000172965.14	MIR4435-2HG	lincRNA	chr2	111429309	111495086	-	514	-1.14186293543805	-2.01939593403138	-6.58657540885816	3.21147435457178e-10	2.04960103532581e-07	12.1641588647134	0.0308980838242958
ENST00000577603.1	ENSG00000188933.14	USP32P1	transcribed_unprocessed_pseudogene	chr17	16791663	16796204	+	553	0.724355641802184	-0.573825301510478	6.57858876580206	3.35915424348639e-10	2.12583652876232e-07	12.8432671655527	0.0876277757782474
