clusterID	N	coord	gene	annotation	FDR	chr	Type	Tissue
clu_154075_+	25	chr14:35898095-36165745	RP11-116N8.1	cryptic	1.82e-30	chr14	DTU	Caudate
clu_33161_-	8	chr16:1962270-1964276	RPS2	cryptic	2.1e-30	chr16	DTU	Caudate
clu_166951_-	7	chr7:44984046-44986525	SNHG15	annotated	5.0199999999999996e-30	chr7	DTU	Caudate
clu_169599_-	11	chr4:1096839-1113356	RNF212	cryptic	1.44e-29	chr4	DTU	Caudate
clu_46845_-	5	chr9:96918826-96949555	MFSD14C	cryptic	1.47e-29	chr9	DTU	Caudate
clu_125297_-	13	chr12:11047188-11171422	PRR4	cryptic	3.23e-29	chr12	DTU	Caudate
clu_76829_+	3	chr5:80434217-80436756	ZFYVE16	annotated	3.26e-29	chr5	DTU	Caudate
clu_142261_+	3	chr15:25227049-25228780	SNHG14	cryptic	3.32e-29	chr15	DTU	Caudate
clu_168992_-	15	chr7:144623261-144682909	TPK1	cryptic	4.91e-29	chr7	DTU	Caudate
clu_69574_-	15	chr19:41456487-41500584	PCAT19	cryptic	9.37e-29	chr19	DTU	Caudate
clu_142312_+	9	chr15:28612173-28632652	HERC2P9	cryptic	3.06e-28	chr15	DTU	Caudate
clu_78804_+	6	chr5:181317395-181333743	AC138035.2	cryptic	6.39e-28	chr5	DTU	Caudate
clu_133133_-	4	chr1:1734835-1738321	SLC35E2	cryptic	6.78e-28	chr1	DTU	Caudate
clu_120699_+	7	chr4:118278792-118279624	SNHG8	cryptic	1.4e-27	chr4	DTU	Caudate
clu_89573_+	12	chr3:39467740-39513383	MOBP	cryptic	2.8500000000000002e-27	chr3	DTU	Caudate
clu_97934_-	5	chr17:82037013-82037631	DCXR	annotated	4.1200000000000004e-27	chr17	DTU	Caudate
clu_94471_-	2	chr17:3681978-3688012	P2RX5	annotated	5.2e-27	chr17	DTU	Caudate
clu_77012_+	3	chr5:96740118-96741266	CAST	annotated	5.7100000000000006e-27	chr5	DTU	Caudate
clu_16409_-	12	chr8:79919148-80030054	MRPS28	cryptic	5.8e-27	chr8	DTU	Caudate
clu_162605_+	3	chr17:7220197-7220604	ACADVL	annotated	1.06e-26	chr17	DTU	Caudate
clu_105374_?	31	chr12:124911822-124913647	.	annotated	1.49e-26	chr12	DTU	Caudate
clu_61800_+	21	chr1:149661089-149669211	LINC00869	cryptic	1.85e-25	chr1	DTU	Caudate
clu_142809_+	4	chr15:43330718-43333311	ADAL	cryptic	7.56e-25	chr15	DTU	Caudate
clu_91789_+	14	chr3:170423327-170708044	CLDN11	cryptic	4.36e-24	chr3	DTU	Caudate
clu_64944_+	3	chrX:19344094-19349312	PDHA1	annotated	4.4499999999999995e-24	chrX	DTU	Caudate
clu_130995_+	10	chr19:37255982-37265286	LINC01535	cryptic	4.8399999999999995e-24	chr19	DTU	Caudate
clu_72553_+	6	chr22:49921761-49922612	CRELD2	cryptic	1.3099999999999999e-23	chr22	DTU	Caudate
clu_120004_+	4	chr4:51843267-51863437	DCUN1D4	annotated	1.3099999999999999e-23	chr4	DTU	Caudate
clu_150159_+	4	chr2:226867318-226906793	RHBDD1	cryptic	1.55e-23	chr2	DTU	Caudate
clu_120937_+	40	chr4:143762394-144083091	RP11-673E1.1	cryptic	1.68e-23	chr4	DTU	Caudate
clu_90471_+	11	chr3:66263379-66369478	SLC25A26	cryptic	1.88e-23	chr3	DTU	Caudate
clu_146522_+	17	chr2:39518710-39665087	AC007246.3	cryptic	2.4599999999999996e-23	chr2	DTU	Caudate
clu_82378_-	12	chr14:100361921-100376260	WARS	annotated	3.2899999999999996e-23	chr14	DTU	Caudate
clu_133829_-	4	chr1:16484464-16485569	CROCCP3	cryptic	5.35e-23	chr1	DTU	Caudate
clu_143122_+	3	chr15:50482065-50489801	USP8	annotated	5.8e-23	chr15	DTU	Caudate
clu_51404_+	5	chr12:122981266-122981656	ARL6IP4	annotated	5.869999999999999e-23	chr12	DTU	Caudate
clu_127915_-	5	chr12:123223127-123230261	MPHOSPH9	annotated	7.5e-23	chr12	DTU	Caudate
clu_149891_+	4	chr2:217263071-217263778	.	annotated	9.9e-23	chr2	DTU	Caudate
clu_169677_-	13	chr4:2174751-2198524	POLN	cryptic	7.720000000000001e-22	chr4	DTU	Caudate
clu_142356_+	4	chr15:29106819-29108270	APBA2	cryptic	8.02e-22	chr15	DTU	Caudate
clu_5069_-	6	chr11:34890552-34916228	APIP	cryptic	4.1200000000000005e-21	chr11	DTU	Caudate
clu_101965_+	21	chr13:45378671-45392090	TPT1-AS1	cryptic	6.120000000000001e-21	chr13	DTU	Caudate
clu_66608_+	3	chrX:154399941-154400702	RPL10	annotated	1.17e-20	chrX	DTU	Caudate
clu_97319_-	3	chr17:75042277-75046925	ATP5H	cryptic	2.16e-20	chr17	DTU	Caudate
clu_7654_-	5	chr11:130879711-130903255	SNX19	cryptic	2.33e-20	chr11	DTU	Caudate
clu_94855_-	3	chr17:7626793-7627143	SAT2	annotated	3.14e-20	chr17	DTU	Caudate
clu_3293_-	10	chr22:30664080-30667824	DUSP18	cryptic	3.58e-20	chr22	DTU	Caudate
clu_45644_-	10	chr9:26346288-26424109	.	annotated	4.08e-20	chr9	DTU	Caudate
clu_101699_+	9	chr13:31222991-31229185	B3GLCT	cryptic	6.37e-20	chr13	DTU	Caudate
clu_155264_+	10	chr14:94110797-94115790	IFI27	cryptic	8.3e-20	chr14	DTU	Caudate
clu_80634_-	6	chr14:20329373-20343278	CCNB1IP1	cryptic	9.44e-20	chr14	DTU	Caudate
clu_61216_+	13	chr1:120823360-120840350	NBPF26	cryptic	1.77e-19	chr1	DTU	Caudate
clu_166657_-	16	chr7:30568989-30585330	AC005154.6	cryptic	2.76e-19	chr7	DTU	Caudate
clu_153793_+	6	chr14:23990359-24004337	DHRS4L2	cryptic	2.79e-19	chr14	DTU	Caudate
clu_19381_-	3	chr3:41912899-41918457	ULK4	cryptic	3.23e-19	chr3	DTU	Caudate
clu_79422_-	10	chr20:28559671-28586299	FRG1CP	cryptic	3.82e-19	chr20	DTU	Caudate
clu_126190_-	27	chr12:53014943-53054439	RP11-983P16.4	cryptic	3.89e-19	chr12	DTU	Caudate
clu_71217_+	8	chr22:22306903-22309736	LL22NC03-80A10.6	cryptic	1.39e-18	chr22	DTU	Caudate
clu_25383_-	6	chr5:682333-774478	.	annotated	2.77e-18	chr5	DTU	Caudate
clu_57519_-	19	chr2:241090044-241102253	MTERF4	cryptic	2.79e-18	chr2	DTU	Caudate
clu_25826_-	4	chr5:33998782-34005756	AMACR	annotated	2.79e-18	chr5	DTU	Caudate
clu_120454_+	3	chr4:98293515-98343139	RAP1GDS1	annotated	3.35e-18	chr4	DTU	Caudate
clu_71451_+	16	chr22:27331938-27379186	CTA-929C8.8	cryptic	3.62e-18	chr22	DTU	Caudate
clu_64772_+	7	chrX:10067490-10090771	WWC3	cryptic	4.65e-18	chrX	DTU	Caudate
clu_50300_+	3	chr12:79285971-79292017	SYT1	cryptic	7.31e-18	chr12	DTU	Caudate
clu_71810_+	11	chr22:37023405-37029264	MPST	cryptic	9.91e-18	chr22	DTU	Caudate
clu_35347_-	21	chr16:80976179-81006734	CMC2	cryptic	1.05e-17	chr16	DTU	Caudate
clu_147904_+	3	chr2:97198491-97200334	ANKRD36	cryptic	1.48e-17	chr2	DTU	Caudate
clu_27355_-	7	chr5:142614161-142697913	FGF1	annotated	1.52e-17	chr5	DTU	Caudate
clu_65921_+	4	chrX:103310981-103330984	TCEAL7	cryptic	1.72e-17	chrX	DTU	Caudate
clu_158357_+	3	chr11:71448885-71455110	NADSYN1	cryptic	2.15e-17	chr11	DTU	Caudate
clu_152222_-	11	chr6:85666147-85678136	SNHG5	cryptic	2.68e-17	chr6	DTU	Caudate
clu_26784_-	8	chr5:110332925-110568447	TMEM232	cryptic	4.1e-17	chr5	DTU	Caudate
clu_16827_-	10	chr8:115620060-115669345	TRPS1	cryptic	4.84e-17	chr8	DTU	Caudate
clu_97931_-	6	chr17:82035245-82036191	DCXR	cryptic	5.19e-17	chr17	DTU	Caudate
clu_174896_+	7	chr16:53810217-53873786	FTO	cryptic	1.32e-16	chr16	DTU	Caudate
clu_186734_+	7	chr7:100338889-100349799	STAG3L5P-PVRIG2P-PILRB	cryptic	1.33e-16	chr7	DTU	Caudate
clu_24398_-	11	chr10:96349826-96358894	OPALIN	cryptic	2.34e-16	chr10	DTU	Caudate
clu_175111_+	3	chr16:58509352-58511422	NDRG4	annotated	2.94e-16	chr16	DTU	Caudate
clu_60926_+	4	chr1:109659110-109674747	GSTM4	annotated	4.26e-16	chr1	DTU	Caudate
clu_137716_-	21	chr1:172370311-172456389	PIGC	cryptic	4.58e-16	chr1	DTU	Caudate
clu_10795_-	10	chr15:43361941-43369596	ZSCAN29	cryptic	5e-16	chr15	DTU	Caudate
clu_88346_-	7	chr13:75530266-75549323	COMMD6	annotated	5.25e-16	chr13	DTU	Caudate
clu_141994_+	9	chr15:22561454-22562949	HERC2P2	cryptic	6.23e-16	chr15	DTU	Caudate
clu_91390_+	10	chr3:139577850-139583129	RP11-319G6.1	cryptic	7.38e-16	chr3	DTU	Caudate
clu_22429_-	5	chr3:197624187-197627780	AC024560.3	annotated	8.84e-16	chr3	DTU	Caudate
clu_147282_+	3	chr2:74455174-74455406	INO80B	cryptic	9.63e-16	chr2	DTU	Caudate
clu_23492_-	4	chr10:48051778-48052504	BMS1P7	cryptic	1.19e-15	chr10	DTU	Caudate
clu_61193_+	10	chr1:120256754-120348359	CH17-472G23.1	cryptic	1.24e-15	chr1	DTU	Caudate
clu_125266_-	10	chr12:10418449-10434486	KLRC2	cryptic	1.4e-15	chr12	DTU	Caudate
clu_56641_-	4	chr2:200877037-200881421	PPIL3	cryptic	1.4e-15	chr2	DTU	Caudate
clu_98563_?	48	chr5:49610447-49646431	.	annotated	1.44e-15	chr5	DTU	Caudate
clu_92181_+	15	chr3:188154021-188484592	LPP	cryptic	1.69e-15	chr3	DTU	Caudate
clu_173504_+	5	chr16:4958445-4959273	SEC14L5	cryptic	1.92e-15	chr16	DTU	Caudate
clu_21850_-	5	chr3:171101633-171110714	TNIK	cryptic	2.98e-15	chr3	DTU	Caudate
clu_95261_-	12	chr17:18519674-18533347	CTD-2303H24.2	cryptic	3.52e-15	chr17	DTU	Caudate
clu_117308_+	3	chr6:54189914-54202105	MLIP	cryptic	5.7e-15	chr6	DTU	Caudate
clu_55734_-	4	chr2:132646280-132668400	LYPD1	cryptic	8.07e-15	chr2	DTU	Caudate
clu_62246_+	3	chr1:155131634-155133730	EFNA1	annotated	1.15e-14	chr1	DTU	Caudate
clu_146023_+	3	chr2:24164335-24169356	FAM228B	annotated	1.19e-14	chr2	DTU	Caudate
clu_176280_+	15	chr16:90159497-90177717	FAM157C	cryptic	1.61e-14	chr16	DTU	Caudate
clu_27063_-	4	chr5:132765529-132777758	SEPT8	annotated	1.76e-14	chr5	DTU	Caudate
clu_169673_-	9	chr4:2095933-2170679	POLN	cryptic	1.85e-14	chr4	DTU	Caudate
clu_23616_-	3	chr10:59324106-59352270	FAM13C	annotated	3.9e-14	chr10	DTU	Caudate
clu_3820_-	4	chr22:41586193-41589719	PMM1	cryptic	4.01e-14	chr22	DTU	Caudate
clu_48618_+	4	chr12:6867681-6868864	TPI1	annotated	4.12e-14	chr12	DTU	Caudate
clu_76887_+	6	chr5:83258677-83370267	XRCC4	cryptic	4.27e-14	chr5	DTU	Caudate
clu_121457_+	5	chr4:189957502-189960862	FRG1	cryptic	4.56e-14	chr4	DTU	Caudate
clu_171420_-	10	chr4:133096883-133138960	RP11-9G1.3	cryptic	8.67e-14	chr4	DTU	Caudate
clu_149278_+	4	chr2:186625587-186636082	ITGAV	cryptic	9.49e-14	chr2	DTU	Caudate
clu_116641_+	3	chr6:34757551-34762595	SNRPC	annotated	1.02e-13	chr6	DTU	Caudate
clu_157467_+	4	chr11:61950427-61955107	BEST1	cryptic	1.43e-13	chr11	DTU	Caudate
clu_133833_-	16	chr1:16632371-16645067	CROCCP2	cryptic	1.83e-13	chr1	DTU	Caudate
clu_11796_-	2	chr15:74837435-74837757	ULK3	annotated	1.91e-13	chr15	DTU	Caudate
clu_88234_-	5	chr13:52136902-52143916	NEK3	cryptic	2.34e-13	chr13	DTU	Caudate
clu_34761_-	5	chr16:66826583-66830847	NAE1	annotated	2.87e-13	chr16	DTU	Caudate
clu_147905_+	5	chr2:97204096-97209681	ANKRD36	cryptic	4.29e-13	chr2	DTU	Caudate
clu_175809_+	3	chr16:83978552-83981030	NECAB2	annotated	4.51e-13	chr16	DTU	Caudate
clu_61877_+	5	chr1:150276632-150280835	C1orf54	cryptic	4.84e-13	chr1	DTU	Caudate
clu_165576_+	17	chr17:78232213-78239024	TMEM235	cryptic	6.83e-13	chr17	DTU	Caudate
clu_53105_-	8	chr2:9406113-9406562	.	annotated	6.98e-13	chr2	DTU	Caudate
clu_23508_-	37	chr10:48060020-48163328	FRMPD2	cryptic	7.56e-13	chr10	DTU	Caudate
clu_48807_+	26	chr12:9448878-9606410	RP11-726G1.1	cryptic	9.53e-13	chr12	DTU	Caudate
clu_25312_-	3	chr5:748559-751133	ZDHHC11B	cryptic	1.03e-12	chr5	DTU	Caudate
clu_73845_?	17	chr19:20056594-20795299	ZNF626	cryptic	1.11e-12	chr19	DTU	Caudate
clu_139869_+	5	chr10:35337207-35516523	CCNY	cryptic	1.17e-12	chr10	DTU	Caudate
clu_129324_+	10	chr19:11987823-12035554	CTD-2006C1.2	cryptic	3.4e-12	chr19	DTU	Caudate
clu_168259_-	5	chr7:103103554-103128483	NAPEPLD	cryptic	3.59e-12	chr7	DTU	Caudate
clu_47016_-	3	chr9:108906485-108908305	IKBKAP	cryptic	3.69e-12	chr9	DTU	Caudate
clu_69748_-	4	chr19:44497372-44500275	ZNF180	annotated	4.83e-12	chr19	DTU	Caudate
clu_147903_+	3	chr2:97196788-97204068	ANKRD36	cryptic	4.88e-12	chr2	DTU	Caudate
clu_64304_+	4	chr1:234357090-234374230	COA6	cryptic	5.19e-12	chr1	DTU	Caudate
clu_67775_-	2	chr19:9660874-9675015	ZNF562	annotated	5.9e-12	chr19	DTU	Caudate
clu_75589_+	22	chr5:14347039-14347397	.	annotated	6.39e-12	chr5	DTU	Caudate
clu_66209_+	10	chrX:121092318-121164059	.	annotated	6.39e-12	chrX	DTU	Caudate
clu_155808_+	2	chr14:105382046-105382477	PACS2	annotated	6.59e-12	chr14	DTU	Caudate
clu_123268_+	13	chr8:32016340-32029379	NRG1-IT1	cryptic	6.83e-12	chr8	DTU	Caudate
clu_18944_-	10	chr3:11721933-11809517	TAMM41	cryptic	7.95e-12	chr3	DTU	Caudate
clu_17570_-	10	chr8:144946215-144999603	ZNF252P	cryptic	8.63e-12	chr8	DTU	Caudate
clu_150290_+	7	chr2:230886969-230895514	AC012507.3	cryptic	1.01e-11	chr2	DTU	Caudate
clu_1244_-	10	chrX:103530833-103537907	.	annotated	1.08e-11	chrX	DTU	Caudate
clu_87569_-	9	chr13:20432296-20489370	CRYL1	cryptic	1.17e-11	chr13	DTU	Caudate
clu_77818_+	2	chr5:142770915-142873400	ARHGAP26	cryptic	1.32e-11	chr5	DTU	Caudate
clu_64191_+	2	chr1:228376874-228377052	OBSCN	cryptic	1.36e-11	chr1	DTU	Caudate
clu_125477_-	15	chr12:25939506-25956639	RASSF8-AS1	cryptic	1.36e-11	chr12	DTU	Caudate
clu_168171_-	3	chr7:102587770-102592285	RASA4	annotated	1.49e-11	chr7	DTU	Caudate
clu_153627_+	6	chr14:20343687-20346863	PARP2	cryptic	1.53e-11	chr14	DTU	Caudate
clu_185490_+	14	chr7:44999857-45072726	CCM2	annotated	2.04e-11	chr7	DTU	Caudate
clu_54481_-	3	chr2:75690719-75694241	GCFC2	annotated	2.11e-11	chr2	DTU	Caudate
clu_91404_+	8	chr3:141231911-141260123	PXYLP1	cryptic	2.19e-11	chr3	DTU	Caudate
clu_61202_+	7	chr1:120439690-120447630	NBPF8	cryptic	2.34e-11	chr1	DTU	Caudate
clu_97042_-	8	chr17:64822393-64829161	PLEKHM1P1	cryptic	2.54e-11	chr17	DTU	Caudate
clu_89710_+	10	chr3:44003681-44111277	.	annotated	3.57e-11	chr3	DTU	Caudate
clu_71701_+	7	chr22:31944820-31956139	YWHAH	annotated	4.1e-11	chr22	DTU	Caudate
clu_116924_+	19	chr6:41134722-41139856	ADCY10P1	cryptic	4.64e-11	chr6	DTU	Caudate
clu_31536_+	8	chr20:21132159-21161871	KIZ	cryptic	4.7e-11	chr20	DTU	Caudate
clu_58313_+	6	chr1:11980484-11989165	MFN2	cryptic	5.66e-11	chr1	DTU	Caudate
clu_117865_+	5	chr6:108876350-108899694	ARMC2	cryptic	6.23e-11	chr6	DTU	Caudate
clu_140436_+	4	chr10:73168163-73174687	FAM149B1	cryptic	6.87e-11	chr10	DTU	Caudate
clu_69063_-	7	chr19:33210476-33211414	SLC7A10	cryptic	7.23e-11	chr19	DTU	Caudate
clu_26298_-	4	chr5:71060930-71061688	GTF2H2	cryptic	7.23e-11	chr5	DTU	Caudate
clu_79424_-	8	chr20:28600461-28602609	FRG1CP	cryptic	7.24e-11	chr20	DTU	Caudate
clu_148066_+	3	chr2:101006071-101018998	RPL31	annotated	7.79e-11	chr2	DTU	Caudate
clu_155527_+	2	chr14:101762970-101786018	PPP2R5C	annotated	8.83e-11	chr14	DTU	Caudate
clu_132481_+	3	chr19:54200888-54201160	RPS9	annotated	8.92e-11	chr19	DTU	Caudate
clu_26161_-	7	chr5:60787431-60844160	ELOVL7	cryptic	9.71e-11	chr5	DTU	Caudate
clu_61269_+	10	chr1:121717237-121872821	.	annotated	9.77e-11	chr1	DTU	Caudate
clu_145800_+	7	chr2:6941147-7014454	RNF144A	cryptic	9.77e-11	chr2	DTU	Caudate
clu_61289_+	39	chr1:121616280-121911813	.	annotated	1.06e-10	chr1	DTU	Caudate
clu_61217_+	4	chr1:120824053-120830496	.	annotated	1.1e-10	chr1	DTU	Caudate
clu_125268_-	2	chr12:10434530-10435312	KLRC2	annotated	1.1e-10	chr12	DTU	Caudate
clu_136730_-	9	chr1:146144804-146156480	NOTCH2NL	cryptic	1.19e-10	chr1	DTU	Caudate
clu_83261_+	7	chr9:38458468-38471888	RP11-403F21.4	cryptic	1.28e-10	chr9	DTU	Caudate
clu_137745_-	4	chr1:173864704-173865510	GAS5	annotated	1.53e-10	chr1	DTU	Caudate
clu_58636_+	3	chr1:21473585-21478144	NBPF3	cryptic	1.53e-10	chr1	DTU	Caudate
clu_55108_-	3	chr2:97558994-97560832	ANKRD36B	cryptic	1.56e-10	chr2	DTU	Caudate
clu_139238_-	40	chr1:248400044-248745142	LYPD8	cryptic	1.86e-10	chr1	DTU	Caudate
clu_88828_+	10	chr3:3800548-3800739	SUMF1	cryptic	1.86e-10	chr3	DTU	Caudate
clu_76489_+	13	chr5:69369933-69374628	RAD17	cryptic	2.3e-10	chr5	DTU	Caudate
clu_173064_+	8	chr16:1309271-1314020	UBE2I	annotated	2.98e-10	chr16	DTU	Caudate
clu_55463_-	21	chr2:113843353-113890893	.	annotated	3.3e-10	chr2	DTU	Caudate
clu_55106_-	3	chr2:97547731-97549419	ANKRD36B	cryptic	3.34e-10	chr2	DTU	Caudate
clu_102198_+	3	chr13:75621868-75713182	LMO7	annotated	3.43e-10	chr13	DTU	Caudate
clu_6235_-	9	chr11:67400919-67419408	PPP1CA	cryptic	3.51e-10	chr11	DTU	Caudate
clu_12350_-	31	chr15:99717822-99733345	LYSMD4	cryptic	3.56e-10	chr15	DTU	Caudate
clu_34525_-	6	chr16:53637854-53641285	RPGRIP1L	cryptic	4.42e-10	chr16	DTU	Caudate
clu_59420_+	2	chr1:39026398-39028723	NDUFS5	annotated	4.56e-10	chr1	DTU	Caudate
clu_165481_+	6	chr17:76869097-76902555	MGAT5B	cryptic	4.87e-10	chr17	DTU	Caudate
clu_111949_?	4	chr1:39026398-39034392	NDUFS5	cryptic	5.45e-10	chr1	DTU	Caudate
clu_32955_-	12	chr16:634797-636094	METTL26	annotated	5.59e-10	chr16	DTU	Caudate
clu_55124_-	3	chr2:97512052-97515732	ANKRD36B	cryptic	5.59e-10	chr2	DTU	Caudate
clu_142347_+	8	chr15:28838822-28856133	PDCD6IPP2	cryptic	6.78e-10	chr15	DTU	Caudate
clu_158360_+	10	chr11:71474526-71478395	NADSYN1	cryptic	7.43e-10	chr11	DTU	Caudate
clu_121456_+	3	chr4:189952287-189957398	FRG1	annotated	7.43e-10	chr4	DTU	Caudate
clu_137666_-	5	chr1:169237687-169298556	NME7	annotated	9.12e-10	chr1	DTU	Caudate
clu_169905_-	14	chr4:9214838-9271800	.	annotated	9.55e-10	chr4	DTU	Caudate
clu_36492_?	8	chr10:47542306-47544389	BMS1P2	cryptic	9.97e-10	chr10	DTU	Caudate
clu_174283_+	9	chr16:24910477-24917998	SLC5A11	cryptic	1.02e-09	chr16	DTU	Caudate
clu_76507_+	2	chr5:70421357-70421737	GTF2H2B	annotated	1.14e-09	chr5	DTU	Caudate
clu_141979_+	6	chr15:22516990-22537453	HERC2P2	cryptic	1.33e-09	chr15	DTU	Caudate
clu_156251_+	6	chr11:308438-314927	IFITM2	cryptic	1.55e-09	chr11	DTU	Caudate
clu_165307_+	10	chr17:75226157-75231340	NUP85	cryptic	1.55e-09	chr17	DTU	Caudate
clu_71144_+	3	chr22:20973520-20974063	AIFM3	annotated	1.63e-09	chr22	DTU	Caudate
clu_45075_+	3	chr21:44117963-44119387	PWP2	cryptic	1.64e-09	chr21	DTU	Caudate
clu_60929_+	5	chr1:109689325-109693206	GSTM1	annotated	1.75e-09	chr1	DTU	Caudate
clu_90470_+	8	chr3:66220858-66262051	SLC25A26	cryptic	1.75e-09	chr3	DTU	Caudate
clu_136781_-	5	chr1:148586469-148595543	NBPF14	annotated	1.81e-09	chr1	DTU	Caudate
clu_92424_+	11	chr3:198211810-198228194	FAM157A	cryptic	1.96e-09	chr3	DTU	Caudate
clu_142806_+	6	chr15:43185607-43189208	CCNDBP1	cryptic	2.04e-09	chr15	DTU	Caudate
clu_19191_-	2	chr3:27352919-27369225	NEK10	cryptic	2.27e-09	chr3	DTU	Caudate
clu_79837_-	12	chr20:38421098-38426419	SNHG17	cryptic	2.29e-09	chr20	DTU	Caudate
clu_123497_+	6	chr8:43093563-43103528	POMK	cryptic	2.35e-09	chr8	DTU	Caudate
clu_97172_-	4	chr17:69175513-69182153	ABCA10	annotated	2.61e-09	chr17	DTU	Caudate
clu_95051_-	3	chr17:10686842-10691872	SCO1	cryptic	2.63e-09	chr17	DTU	Caudate
clu_57069_-	15	chr2:223741990-223777691	AP1S3	cryptic	2.63e-09	chr2	DTU	Caudate
clu_89630_+	12	chr3:40525864-40530212	ZNF621	cryptic	2.63e-09	chr3	DTU	Caudate
clu_153791_+	11	chr14:23955212-23967211	DHRS4	cryptic	2.77e-09	chr14	DTU	Caudate
clu_151681_-	5	chr6:42211917-42214280	MRPS10	cryptic	3.03e-09	chr6	DTU	Caudate
clu_185047_+	4	chr7:23691596-23700786	FAM221A	annotated	3.03e-09	chr7	DTU	Caudate
clu_92936_?	16	chr14:49812987-49862710	.	annotated	3.04e-09	chr14	DTU	Caudate
clu_81496_-	2	chr14:57209782-57209953	EXOC5	cryptic	3.07e-09	chr14	DTU	Caudate
clu_81835_-	10	chr14:74296449-74302875	ABCD4	cryptic	3.25e-09	chr14	DTU	Caudate
clu_11868_-	7	chr15:76292513-76311350	ETFA	annotated	3.42e-09	chr15	DTU	Caudate
clu_169596_-	4	chr4:1056503-1058321	RNF212	cryptic	3.55e-09	chr4	DTU	Caudate
clu_171062_-	3	chr4:101061161-101080532	PPP3CA	annotated	5.16e-09	chr4	DTU	Caudate
clu_136387_-	3	chr1:120620465-120641608	CH17-472G23.4	cryptic	5.24e-09	chr1	DTU	Caudate
