"","module"
"ENSG00000048707.13","yellow"
"ENSG00000239149.1","yellow"
"ENSG00000162496.8","tan"
"ENSG00000157330.9","turquoise"
"ENSG00000162493.16","tan"
"ENSG00000116731.22","brown"
"ENSG00000189337.16","brown"
"ENSG00000175147.11","yellow"
"ENSG00000142621.19","brown"
"ENSG00000228140.1","turquoise"
"ENSG00000142634.12","turquoise"
"ENSG00000132906.17","greenyellow"
"ENSG00000116138.12","turquoise"
"ENSG00000116771.5","grey"
"ENSG00000237301.1","blue"
"ENSG00000197312.11","green"
"ENSG00000116786.11","darkgrey"
"ENSG00000162461.7","blue"
"ENSG00000233954.6","tan"
"ENSG00000179743.4","grey"
"ENSG00000065526.10","yellow"
"ENSG00000116809.11","purple"
"ENSG00000185519.8","royalblue"
"ENSG00000132881.11","blue"
"ENSG00000037637.10","brown"
"ENSG00000055070.16","black"
"ENSG00000157191.19","grey"
"ENSG00000226029.1","pink"
"ENSG00000080947.14","blue"
"ENSG00000233421.4","grey"
"ENSG00000219481.10","turquoise"
"ENSG00000215908.9","blue"
"ENSG00000186301.8","purple"
"ENSG00000236698.1","red"
"ENSG00000058453.16","purple"
"ENSG00000207389.1","grey"
"ENSG00000186715.10","blue"
"ENSG00000238142.1","grey"
"ENSG00000207005.1","turquoise"
"ENSG00000159363.17","midnightblue"
"ENSG00000117118.9","saddlebrown"
"ENSG00000117115.12","green"
"ENSG00000179051.13","turquoise"
"ENSG00000074964.16","midnightblue"
"ENSG00000117154.11","brown"
"ENSG00000280222.1","brown"
"ENSG00000009709.11","brown"
"ENSG00000159423.16","brown"
"ENSG00000169991.10","black"
"ENSG00000272084.1","pink"
"ENSG00000127481.14","magenta"
"ENSG00000127463.13","magenta"
"ENSG00000053372.4","magenta"
"ENSG00000211454.13","black"
"ENSG00000162482.4","purple"
"ENSG00000053371.12","darkolivegreen"
"ENSG00000200403.1","grey"
"ENSG00000040487.12","pink"
"ENSG00000077549.17","turquoise"
"ENSG00000173436.13","turquoise"
"ENSG00000226396.1","blue"
"ENSG00000158747.13","black"
"ENSG00000158748.3","purple"
"ENSG00000169914.5","yellow"
"ENSG00000127472.10","tan"
"ENSG00000187980.6","blue"
"ENSG00000225986.1","blue"
"ENSG00000162543.5","turquoise"
"ENSG00000158816.15","brown"
"ENSG00000236963.6","greenyellow"
"ENSG00000162545.5","greenyellow"
"ENSG00000090432.6","darkolivegreen"
"ENSG00000183114.7","turquoise"
"ENSG00000158828.6","darkorange"
"ENSG00000117242.7","magenta"
"ENSG00000244038.9","magenta"
"ENSG00000117245.12","black"
"ENSG00000235432.1","turquoise"
"ENSG00000189410.11","black"
"ENSG00000127483.17","blue"
"ENSG00000075151.20","turquoise"
"ENSG00000221808.1","cyan"
"ENSG00000233072.1","green"
"ENSG00000236073.2","grey"
"ENSG00000117298.14","turquoise"
"ENSG00000227001.3","red"
"ENSG00000187952.9","turquoise"
"ENSG00000142794.18","blue"
"ENSG00000162551.13","red"
"ENSG00000076864.19","pink"
"ENSG00000090686.15","brown"
"ENSG00000142798.17","blue"
"ENSG00000218510.6","turquoise"
"ENSG00000070831.15","yellow"
"ENSG00000230068.2","pink"
"ENSG00000271840.1","blue"
"ENSG00000162552.14","brown"
"ENSG00000184677.16","salmon"
"ENSG00000237200.1","brown"
"ENSG00000070886.11","brown"
"ENSG00000173372.16","grey60"
"ENSG00000159189.11","grey60"
"ENSG00000173369.15","grey60"
"ENSG00000133216.16","midnightblue"
"ENSG00000004487.15","yellow"
"ENSG00000169641.13","turquoise"
"ENSG00000261326.2","blue"
"ENSG00000125944.18","lightgreen"
"ENSG00000125945.14","lightyellow"
"ENSG00000249087.6","brown"
"ENSG00000204219.9","brown"
"ENSG00000088280.18","brown"
"ENSG00000117318.8","tan"
"ENSG00000142676.12","yellow"
"ENSG00000011007.12","green"
"ENSG00000236810.5","blue"
"ENSG00000057757.9","royalblue"
"ENSG00000011009.10","lightcyan"
"ENSG00000117308.14","blue"
"ENSG00000117305.14","yellow"
"ENSG00000179163.11","yellow"
"ENSG00000189266.11","darkturquoise"
"ENSG00000188529.14","yellow"
"ENSG00000142661.18","turquoise"
"ENSG00000142677.3","turquoise"
"ENSG00000185436.11","turquoise"
"ENSG00000001460.17","brown"
"ENSG00000001461.16","brown"
"ENSG00000133226.16","lightyellow"
"ENSG00000169504.14","tan"
"ENSG00000117614.9","yellow"
"ENSG00000117616.17","greenyellow"
"ENSG00000261349.1","blue"
"ENSG00000183726.10","red"
"ENSG00000188672.17","brown"
"ENSG00000204178.9","yellow"
"ENSG00000157978.11","green"
"ENSG00000117643.14","brown"
"ENSG00000162430.16","darkgrey"
"ENSG00000228172.5","skyblue"
"ENSG00000117640.17","lightcyan"
"ENSG00000127423.10","greenyellow"
"ENSG00000182749.5","midnightblue"
"ENSG00000117632.21","brown"
"ENSG00000158006.13","salmon"
"ENSG00000158008.9","pink"
"ENSG00000175087.9","turquoise"
"ENSG00000142684.8","yellow"
"ENSG00000142675.17","pink"
"ENSG00000236155.6","grey"
"ENSG00000130695.13","blue"
"ENSG00000142669.14","cyan"
"ENSG00000158062.20","black"
"ENSG00000117682.16","black"
"ENSG00000198830.10","brown"
"ENSG00000117676.13","grey60"
"ENSG00000117713.18","magenta"
"ENSG00000060642.10","blue"
"ENSG00000204160.11","brown"
"ENSG00000142751.14","pink"
"ENSG00000198746.12","lightyellow"
"ENSG00000090273.13","grey"
"ENSG00000253368.3","brown"
"ENSG00000090020.10","cyan"
"ENSG00000142784.15","darkmagenta"
"ENSG00000243659.1","blue"
"ENSG00000186501.14","lightcyan"
"ENSG00000241547.1","blue"
"ENSG00000142765.17","brown"
"ENSG00000142733.14","brown"
"ENSG00000158195.10","yellow"
"ENSG00000126705.13","black"
"ENSG00000235912.1","yellow"
"ENSG00000126709.14","brown"
"ENSG00000009780.15","turquoise"
"ENSG00000231344.1","purple"
"ENSG00000230833.1","grey"
"ENSG00000117758.13","yellow"
"ENSG00000269971.1","grey"
"ENSG00000270031.1","grey"
"ENSG00000117751.17","saddlebrown"
"ENSG00000252947.1","blue"
"ENSG00000130775.15","brown"
"ENSG00000117748.9","brown"
"ENSG00000158156.7","turquoise"
"ENSG00000158161.15","blue"
"ENSG00000238231.2","blue"
"ENSG00000240750.3","blue"
"ENSG00000228589.3","turquoise"
"ENSG00000169403.11","grey60"
"ENSG00000126698.10","yellow"
"ENSG00000130770.17","brown"
"ENSG00000270605.1","grey"
"ENSG00000130766.4","magenta"
"ENSG00000130772.13","blue"
"ENSG00000204138.12","blue"
"ENSG00000229820.2","purple"
"ENSG00000180198.15","blue"
"ENSG00000242125.3","blue"
"ENSG00000200087.1","turquoise"
"ENSG00000180098.9","brown"
"ENSG00000197989.13","turquoise"
"ENSG00000120656.11","salmon"
"ENSG00000162419.12","yellow"
"ENSG00000198492.15","yellow"
"ENSG00000116329.10","greenyellow"
"ENSG00000159023.19","brown"
"ENSG00000116350.16","yellow"
"ENSG00000116353.15","black"
"ENSG00000060656.19","green"
"ENSG00000162511.7","grey60"
"ENSG00000162512.15","magenta"
"ENSG00000134644.15","turquoise"
"ENSG00000084628.9","magenta"
"ENSG00000060688.12","yellow"
"ENSG00000229447.2","grey"
"ENSG00000121766.15","brown"
"ENSG00000229044.1","turquoise"
"ENSG00000121769.7","black"
"ENSG00000168528.11","magenta"
"ENSG00000142910.15","grey"
"ENSG00000162517.12","lightcyan"
"ENSG00000084636.17","white"
"ENSG00000121753.12","black"
"ENSG00000266580.1","pink"
"ENSG00000134668.12","brown"
"ENSG00000269967.1","greenyellow"
"ENSG00000184007.18","lightyellow"
"ENSG00000121774.17","yellow"
"ENSG00000121775.17","black"
"ENSG00000025800.13","lightcyan"
"ENSG00000084652.15","midnightblue"
"ENSG00000160050.14","blue"
"ENSG00000224066.1","purple"
"ENSG00000160051.11","blue"
"ENSG00000160055.19","blue"
"ENSG00000084623.11","green"
"ENSG00000220785.7","grey"
"ENSG00000182866.16","turquoise"
"ENSG00000116478.11","turquoise"
"ENSG00000175130.6","green"
"ENSG00000162526.6","grey"
"ENSG00000225828.1","brown"
"ENSG00000160058.18","brown"
"ENSG00000273274.1","brown"
"ENSG00000160062.14","brown"
"ENSG00000176261.15","blue"
"ENSG00000162521.18","saddlebrown"
"ENSG00000162520.14","brown"
"ENSG00000162522.10","pink"
"ENSG00000134684.10","lightcyan"
"ENSG00000116497.17","pink"
"ENSG00000160097.15","turquoise"
"ENSG00000121905.9","turquoise"
"ENSG00000121900.18","blue"
"ENSG00000116514.16","cyan"
"ENSG00000004455.16","brown"
"ENSG00000276645.1","brown"
"ENSG00000142920.16","pink"
"ENSG00000116525.13","turquoise"
"ENSG00000279179.1","blue"
"ENSG00000160094.14","midnightblue"
"ENSG00000270115.1","blue"
"ENSG00000134686.17","lightcyan"
"ENSG00000222112.1","turquoise"
"ENSG00000121903.14","salmon"
"ENSG00000121904.17","black"
"ENSG00000163866.8","brown"
"ENSG00000189280.3","turquoise"
"ENSG00000255811.1","blue"
"ENSG00000116544.11","black"
"ENSG00000241014.1","yellow"
"ENSG00000163867.16","turquoise"
"ENSG00000197056.9","red"
"ENSG00000116560.10","brown"
"ENSG00000146463.11","salmon"
"ENSG00000229994.1","blue"
"ENSG00000142687.17","magenta"
"ENSG00000020129.15","lightcyan"
"ENSG00000239636.1","blue"
"ENSG00000116819.6","yellow"
"ENSG00000126067.11","magenta"
"ENSG00000142686.7","turquoise"
"ENSG00000092853.13","salmon"
"ENSG00000134698.10","yellow"
"ENSG00000092847.11","cyan"
"ENSG00000126070.19","salmon"
"ENSG00000092850.11","blue"
"ENSG00000116863.10","brown"
"ENSG00000171812.11","grey60"
"ENSG00000054116.11","brown"
"ENSG00000116871.15","black"
"ENSG00000054118.13","darkred"
"ENSG00000214193.9","blue"
"ENSG00000116883.8","pink"
"ENSG00000196182.10","pink"
"ENSG00000181817.5","grey"
"ENSG00000116885.18","turquoise"
"ENSG00000201448.1","grey"
"ENSG00000116898.11","blue"
"ENSG00000119535.17","grey60"
"ENSG00000163873.9","brown"
"ENSG00000233621.1","greenyellow"
"ENSG00000163874.9","magenta"
"ENSG00000163875.15","brown"
"ENSG00000263675.1","brown"
"ENSG00000163877.9","magenta"
"ENSG00000163879.10","turquoise"
"ENSG00000134697.12","turquoise"
"ENSG00000116922.14","grey"
"ENSG00000183317.16","brown"
"ENSG00000185090.14","brown"
"ENSG00000196449.3","magenta"
"ENSG00000197982.13","darkgreen"
"ENSG00000188786.9","turquoise"
"ENSG00000204084.12","brown"
"ENSG00000183431.11","darkred"
"ENSG00000183386.9","brown"
"ENSG00000183520.11","yellow"
"ENSG00000185668.7","turquoise"
"ENSG00000224592.5","turquoise"
"ENSG00000116954.7","red"
"ENSG00000228436.2","blue"
"ENSG00000214114.8","grey"
"ENSG00000174574.15","royalblue"
"ENSG00000168653.10","grey"
"ENSG00000127603.23","brown"
"ENSG00000270040.1","pink"
"ENSG00000183682.7","black"
"ENSG00000237624.1","pink"
"ENSG00000182109.7","blue"
"ENSG00000243970.1","blue"
"ENSG00000090621.13","magenta"
"ENSG00000201457.1","yellow"
"ENSG00000163909.7","yellow"
"ENSG00000116981.3","purple"
"ENSG00000116983.12","brown"
"ENSG00000084072.16","blue"
"ENSG00000116985.11","black"
"ENSG00000198754.5","blue"
"ENSG00000043514.15","yellow"
"ENSG00000202222.1","yellow"
"ENSG00000116990.10","turquoise"
"ENSG00000168389.17","brown"
"ENSG00000228477.1","yellow"
"ENSG00000131236.16","turquoise"
"ENSG00000131238.16","green"
"ENSG00000117000.8","yellow"
"ENSG00000259943.1","yellow"
"ENSG00000084073.8","turquoise"
"ENSG00000049089.13","turquoise"
"ENSG00000084070.11","magenta"
"ENSG00000187801.14","brown"
"ENSG00000260920.2","blue"
"ENSG00000279667.1","grey"
"ENSG00000187815.9","turquoise"
"ENSG00000238287.1","blue"
"ENSG00000164002.11","turquoise"
"ENSG00000117010.15","turquoise"
"ENSG00000117016.9","brown"
"ENSG00000272145.1","brown"
"ENSG00000066136.20","blue"
"ENSG00000117013.14","blue"
"ENSG00000171793.13","blue"
"ENSG00000281207.1","black"
"ENSG00000171790.15","blue"
"ENSG00000010803.16","magenta"
"ENSG00000204060.6","paleturquoise"
"ENSG00000127124.14","greenyellow"
"ENSG00000198815.8","yellow"
"ENSG00000177181.14","turquoise"
"ENSG00000066185.12","brown"
"ENSG00000127125.8","grey"
"ENSG00000186409.14","blue"
"ENSG00000230116.1","blue"
"ENSG00000236876.3","yellow"
"ENSG00000236180.2","blue"
"ENSG00000171960.10","yellow"
"ENSG00000234917.2","grey"
"ENSG00000065978.18","darkred"
"ENSG00000117385.15","magenta"
"ENSG00000164008.14","blue"
"ENSG00000274386.5","yellow"
"ENSG00000177868.11","turquoise"
"ENSG00000164010.13","turquoise"
"ENSG00000164011.17","blue"
"ENSG00000117394.19","brown"
"ENSG00000227533.5","brown"
"ENSG00000117395.11","turquoise"
"ENSG00000243710.7","turquoise"
"ENSG00000066056.13","brown"
"ENSG00000066322.13","blue"
"ENSG00000159479.16","midnightblue"
"ENSG00000198198.14","black"
"ENSG00000178922.16","brown"
"ENSG00000229348.1","grey"
"ENSG00000142949.16","purple"
"ENSG00000066135.12","turquoise"
"ENSG00000236200.5","greenyellow"
"ENSG00000126091.19","black"
"ENSG00000233674.2","turquoise"
"ENSG00000117407.16","purple"
"ENSG00000237950.1","blue"
"ENSG00000117408.10","black"
"ENSG00000132768.13","magenta"
"ENSG00000117410.13","lightcyan"
"ENSG00000117411.16","pink"
"ENSG00000159214.12","blue"
"ENSG00000196517.11","pink"
"ENSG00000178028.13","blue"
"ENSG00000117419.14","lightcyan"
"ENSG00000233602.1","blue"
"ENSG00000187147.17","turquoise"
"ENSG00000126106.13","pink"
"ENSG00000198520.10","blue"
"ENSG00000142945.12","grey"
"ENSG00000142937.11","yellow"
"ENSG00000142959.4","turquoise"
"ENSG00000173846.12","yellow"
"ENSG00000222009.8","black"
"ENSG00000117425.13","purple"
"ENSG00000226499.1","blue"
"ENSG00000070785.16","greenyellow"
"ENSG00000126107.14","black"
"ENSG00000126088.13","magenta"
"ENSG00000162415.6","turquoise"
"ENSG00000234315.1","blue"
"ENSG00000132781.17","pink"
"ENSG00000132773.11","magenta"
"ENSG00000070759.16","brown"
"ENSG00000280670.2","grey"
"ENSG00000132763.14","blue"
"ENSG00000117450.13","tan"
"ENSG00000117448.13","black"
"ENSG00000132780.16","blue"
"ENSG00000159588.14","blue"
"ENSG00000159592.10","darkturquoise"
"ENSG00000225447.1","blue"
"ENSG00000234329.1","blue"
"ENSG00000159596.6","blue"
"ENSG00000197429.10","green"
"ENSG00000230896.1","brown"
"ENSG00000086015.20","cyan"
"ENSG00000117461.14","yellow"
"ENSG00000085998.13","pink"
"ENSG00000171357.5","pink"
"ENSG00000085999.11","blue"
"ENSG00000132128.16","magenta"
"ENSG00000173660.11","magenta"
"ENSG00000117481.10","blue"
"ENSG00000117480.15","black"
"ENSG00000232022.7","blue"
"ENSG00000162456.9","greenyellow"
"ENSG00000079277.19","turquoise"
"ENSG00000142961.14","turquoise"
"ENSG00000123472.12","red"
"ENSG00000233647.2","brown"
"ENSG00000159658.10","lightgreen"
"ENSG00000186377.7","brown"
"ENSG00000186160.4","blue"
"ENSG00000225506.2","grey"
"ENSG00000162365.11","blue"
"ENSG00000225514.1","brown"
"ENSG00000162367.11","grey60"
"ENSG00000123473.15","purple"
"ENSG00000162368.13","steelblue"
"ENSG00000132122.11","turquoise"
"ENSG00000224986.2","turquoise"
"ENSG00000235105.1","green"
"ENSG00000232514.1","blue"
"ENSG00000186094.16","turquoise"
"ENSG00000162373.12","lightyellow"
"ENSG00000225623.1","turquoise"
"ENSG00000237478.2","turquoise"
"ENSG00000162374.16","turquoise"
"ENSG00000185104.19","yellow"
"ENSG00000123080.10","grey"
"ENSG00000203356.2","brown"
"ENSG00000123091.4","green"
"ENSG00000085831.15","yellow"
"ENSG00000085832.16","turquoise"
"ENSG00000117859.18","turquoise"
"ENSG00000078618.20","turquoise"
"ENSG00000169213.6","turquoise"
"ENSG00000117862.11","yellow"
"ENSG00000198841.3","turquoise"
"ENSG00000134717.17","green"
"ENSG00000157077.14","green"
"ENSG00000241745.3","pink"
"ENSG00000224255.2","blue"
"ENSG00000213735.2","grey"
"ENSG00000154222.14","purple"
"ENSG00000272100.1","blue"
"ENSG00000085840.12","turquoise"
"ENSG00000134748.12","brown"
"ENSG00000134744.13","brown"
"ENSG00000116157.5","blue"
"ENSG00000162377.5","grey"
"ENSG00000162378.12","steelblue"
"ENSG00000121310.16","grey"
"ENSG00000231866.2","black"
"ENSG00000116171.16","green"
"ENSG00000264834.1","brown"
"ENSG00000174348.13","turquoise"
"ENSG00000157184.6","green"
"ENSG00000236723.2","blue"
"ENSG00000162384.13","blue"
"ENSG00000162385.10","blue"
"ENSG00000226754.1","blue"
"ENSG00000157193.15","brown"
"ENSG00000225675.2","greenyellow"
"ENSG00000174332.5","turquoise"
"ENSG00000058804.11","red"
"ENSG00000058799.13","turquoise"
"ENSG00000081870.11","brown"
"ENSG00000116212.14","grey"
"ENSG00000116209.11","red"
"ENSG00000280378.1","blue"
"ENSG00000116205.11","blue"
"ENSG00000215883.10","blue"
"ENSG00000116221.15","lightcyan"
"ENSG00000157216.15","pink"
"ENSG00000162390.17","brown"
"ENSG00000184313.19","brown"
"ENSG00000243725.6","blue"
"ENSG00000162396.5","blue"
"ENSG00000006555.10","brown"
"ENSG00000116133.11","black"
"ENSG00000233203.6","grey"
"ENSG00000143001.4","blue"
"ENSG00000162399.6","blue"
"ENSG00000162402.13","lightgreen"
"ENSG00000162407.8","tan"
"ENSG00000162409.10","brown"
"ENSG00000187889.12","brown"
"ENSG00000173406.15","turquoise"
"ENSG00000236888.1","pink"
"ENSG00000229887.4","pink"
"ENSG00000223416.3","pink"
"ENSG00000233216.1","greenyellow"
"ENSG00000162600.11","red"
"ENSG00000185839.3","greenyellow"
"ENSG00000162601.9","yellow"
"ENSG00000283445.1","brown"
"ENSG00000177606.6","brown"
"ENSG00000234807.5","greenyellow"
"ENSG00000237352.3","brown"
"ENSG00000228121.1","brown"
"ENSG00000270457.1","yellow"
"ENSG00000172456.17","greenyellow"
"ENSG00000134709.10","lightgreen"
"ENSG00000134716.9","tan"
"ENSG00000226476.3","black"
"ENSG00000231252.2","tan"
"ENSG00000162599.15","green"
"ENSG00000270742.1","greenyellow"
"ENSG00000162604.12","darkorange"
"ENSG00000271200.1","brown"
"ENSG00000132849.19","brown"
"ENSG00000162607.12","lightgreen"
"ENSG00000116641.17","tan"
"ENSG00000213703.2","purple"
"ENSG00000235545.1","grey"
"ENSG00000125703.14","salmon"
"ENSG00000088035.15","green"
"ENSG00000142856.16","grey"
"ENSG00000203965.12","darkturquoise"
"ENSG00000116652.6","skyblue"
"ENSG00000079739.15","green"
"ENSG00000185483.11","brown"
"ENSG00000158966.13","brown"
"ENSG00000162437.14","brown"
"ENSG00000162434.11","brown"
"ENSG00000226891.7","skyblue"
"ENSG00000185031.6","skyblue"
"ENSG00000272506.1","green"
"ENSG00000212257.1","yellow"
"ENSG00000265996.1","black"
"ENSG00000231485.1","blue"
"ENSG00000162433.14","brown"
"ENSG00000231622.1","blue"
"ENSG00000116675.15","yellow"
"ENSG00000229294.1","grey"
"ENSG00000213625.8","saddlebrown"
"ENSG00000116678.18","turquoise"
"ENSG00000184588.17","turquoise"
"ENSG00000118473.21","royalblue"
"ENSG00000264720.3","yellow"
"ENSG00000152760.9","green"
"ENSG00000152763.16","salmon"
"ENSG00000198160.14","red"
"ENSG00000116704.7","blue"
"ENSG00000081985.10","turquoise"
"ENSG00000142864.14","red"
"ENSG00000116717.11","yellow"
"ENSG00000172380.5","tan"
"ENSG00000116729.13","tan"
"ENSG00000024526.16","brown"
"ENSG00000033122.18","turquoise"
"ENSG00000240692.3","turquoise"
"ENSG00000229359.2","green"
"ENSG00000066557.5","green"
"ENSG00000116754.13","yellow"
"ENSG00000118454.12","green"
"ENSG00000197568.13","blue"
"ENSG00000116761.11","violet"
"ENSG00000050628.20","brown"
"ENSG00000132485.13","yellow"
"ENSG00000207721.1","yellow"
"ENSG00000229956.10","green"
"ENSG00000172260.14","red"
"ENSG00000228853.1","green"
"ENSG00000227016.3","red"
"ENSG00000162620.15","brown"
"ENSG00000254685.6","darkturquoise"
"ENSG00000259030.6","green"
"ENSG00000116783.14","green"
"ENSG00000233894.1","grey"
"ENSG00000162621.6","brown"
"ENSG00000178965.13","turquoise"
"ENSG00000116791.13","brown"
"ENSG00000162623.15","blue"
"ENSG00000137968.16","turquoise"
"ENSG00000252338.1","turquoise"
"ENSG00000117054.13","turquoise"
"ENSG00000137955.15","turquoise"
"ENSG00000057468.6","blue"
"ENSG00000225605.2","blue"
"ENSG00000184005.10","red"
"ENSG00000226415.1","magenta"
"ENSG00000117069.14","red"
"ENSG00000276081.1","grey"
"ENSG00000230498.1","red"
"ENSG00000142892.14","yellow"
"ENSG00000226084.5","tan"
"ENSG00000154027.18","brown"
"ENSG00000251767.1","brown"
"ENSG00000036549.12","darkturquoise"
"ENSG00000077254.14","green"
"ENSG00000180488.14","yellow"
"ENSG00000219201.4","turquoise"
"ENSG00000235613.2","grey"
"ENSG00000232015.2","green"
"ENSG00000162614.18","grey"
"ENSG00000162613.16","brown"
"ENSG00000162616.8","greenyellow"
"ENSG00000137960.5","greenyellow"
"ENSG00000213560.4","grey"
"ENSG00000122420.9","red"
"ENSG00000137959.15","tan"
"ENSG00000137965.10","tan"
"ENSG00000162618.12","grey"
"ENSG00000117114.19","brown"
"ENSG00000224494.1","blue"
"ENSG00000227288.3","blue"
"ENSG00000227960.1","blue"
"ENSG00000215875.4","blue"
"ENSG00000233008.5","brown"
"ENSG00000137941.16","red"
"ENSG00000233061.1","yellow"
"ENSG00000271576.1","green"
"ENSG00000142875.19","royalblue"
"ENSG00000213540.3","yellow"
"ENSG00000226970.2","brown"
"ENSG00000203943.8","brown"
"ENSG00000137976.7","blue"
"ENSG00000117133.10","lightgreen"
"ENSG00000174021.10","grey"
"ENSG00000122432.16","grey"
"ENSG00000117151.12","yellow"
"ENSG00000117155.16","red"
"ENSG00000171517.5","green"
"ENSG00000153898.12","yellow"
"ENSG00000162643.12","turquoise"
"ENSG00000055732.12","turquoise"
"ENSG00000280099.1","salmon"
"ENSG00000097096.8","salmon"
