gene_id,ensemblID,gene_name,seqname,gene_type,Caudate,DLPFC,Hippocampus,Dentate Gyrus
ENSG00000011021.21,ENSG00000011021,CLCN6,chr1,protein_coding,0,1,0,0
ENSG00000199347.1,ENSG00000199347,RNU5E-1,chr1,snRNA,0,0,1,0
ENSG00000116688.16,ENSG00000116688,MFN2,chr1,protein_coding,1,1,0,0
ENSG00000157330.9,ENSG00000157330,C1orf158,chr1,protein_coding,0,0,1,0
ENSG00000162494.5,ENSG00000162494,LRRC38,chr1,protein_coding,0,1,0,0
ENSG00000116731.22,ENSG00000116731,PRDM2,chr1,protein_coding,0,1,0,0
ENSG00000228140.1,ENSG00000228140,RP3-467K16.4,chr1,lincRNA,0,1,0,0
ENSG00000142634.12,ENSG00000142634,EFHD2,chr1,protein_coding,1,0,0,0
ENSG00000132906.17,ENSG00000132906,CASP9,chr1,protein_coding,1,0,0,0
ENSG00000116138.12,ENSG00000116138,DNAJC16,chr1,protein_coding,0,0,1,0
ENSG00000162461.7,ENSG00000162461,SLC25A34,chr1,protein_coding,1,1,1,0
ENSG00000233421.4,ENSG00000233421,RP5-875O13.1,chr1,lincRNA,1,0,0,0
ENSG00000219481.10,ENSG00000219481,NBPF1,chr1,protein_coding,1,1,1,1
ENSG00000215908.9,ENSG00000215908,CROCCP2,chr1,transcribed_unprocessed_pseudogene,1,1,1,1
ENSG00000058453.16,ENSG00000058453,CROCC,chr1,protein_coding,1,1,0,0
ENSG00000207389.1,ENSG00000207389,RNU1-4,chr1,snRNA,0,1,0,0
ENSG00000186715.10,ENSG00000186715,MST1L,chr1,transcribed_unprocessed_pseudogene,1,1,1,0
ENSG00000228549.3,ENSG00000228549,RP11-108M9.3,chr1,lincRNA,1,1,1,0
ENSG00000117154.11,ENSG00000117154,IGSF21,chr1,protein_coding,0,1,0,0
ENSG00000009709.11,ENSG00000009709,PAX7,chr1,protein_coding,0,1,1,0
ENSG00000053372.4,ENSG00000053372,MRTO4,chr1,protein_coding,1,0,0,0
ENSG00000162482.4,ENSG00000162482,AKR7A3,chr1,protein_coding,1,0,1,0
ENSG00000053371.12,ENSG00000053371,AKR7A2,chr1,protein_coding,0,1,1,0
ENSG00000162542.13,ENSG00000162542,TMCO4,chr1,protein_coding,0,1,1,0
ENSG00000236963.6,ENSG00000236963,LINC01141,chr1,lincRNA,0,0,0,1
ENSG00000075151.20,ENSG00000075151,EIF4G3,chr1,protein_coding,1,1,0,0
ENSG00000227001.3,ENSG00000227001,NBPF2P,chr1,unprocessed_pseudogene,1,1,1,0
ENSG00000142794.18,ENSG00000142794,NBPF3,chr1,protein_coding,1,1,1,0
ENSG00000162551.13,ENSG00000162551,ALPL,chr1,protein_coding,1,0,0,0
ENSG00000142798.17,ENSG00000142798,HSPG2,chr1,protein_coding,1,0,0,0
ENSG00000218510.6,ENSG00000218510,LINC00339,chr1,lincRNA,0,1,1,1
ENSG00000070886.11,ENSG00000070886,EPHA8,chr1,protein_coding,1,0,0,0
ENSG00000004487.15,ENSG00000004487,KDM1A,chr1,protein_coding,0,1,0,0
ENSG00000179546.4,ENSG00000179546,HTR1D,chr1,protein_coding,0,1,0,0
ENSG00000204219.9,ENSG00000204219,TCEA3,chr1,protein_coding,1,1,1,0
ENSG00000142676.12,ENSG00000142676,RPL11,chr1,protein_coding,0,1,0,0
ENSG00000185436.11,ENSG00000185436,IFNLR1,chr1,protein_coding,0,1,0,0
ENSG00000001460.17,ENSG00000001460,STPG1,chr1,protein_coding,0,1,1,0
ENSG00000001461.16,ENSG00000001461,NIPAL3,chr1,protein_coding,0,1,1,0
ENSG00000261349.1,ENSG00000261349,RP3-465N24.5,chr1,unprocessed_pseudogene,0,1,1,0
ENSG00000183726.10,ENSG00000183726,TMEM50A,chr1,protein_coding,1,1,1,0
ENSG00000188672.17,ENSG00000188672,RHCE,chr1,protein_coding,1,0,1,0
ENSG00000117640.17,ENSG00000117640,MTFR1L,chr1,protein_coding,1,0,0,0
ENSG00000158062.20,ENSG00000158062,UBXN11,chr1,protein_coding,1,0,1,0
ENSG00000117682.16,ENSG00000117682,DHDDS,chr1,protein_coding,1,0,0,0
ENSG00000253368.3,ENSG00000253368,TRNP1,chr1,protein_coding,0,1,0,0
ENSG00000126709.14,ENSG00000126709,IFI6,chr1,protein_coding,1,1,0,0
ENSG00000117758.13,ENSG00000117758,STX12,chr1,protein_coding,0,0,1,0
ENSG00000117748.9,ENSG00000117748,RPA2,chr1,protein_coding,1,0,0,0
ENSG00000130770.17,ENSG00000130770,ATPIF1,chr1,protein_coding,1,1,1,0
ENSG00000270605.1,ENSG00000270605,RP5-1092A3.4,chr1,antisense,1,1,1,1
ENSG00000204138.12,ENSG00000204138,PHACTR4,chr1,protein_coding,1,1,0,1
ENSG00000242125.3,ENSG00000242125,SNHG3,chr1,sense_intronic,1,0,0,0
ENSG00000200087.1,ENSG00000200087,SNORA73B,chr1,snoRNA,1,1,1,0
ENSG00000186056.9,ENSG00000186056,MATN1-AS1,chr1,antisense,0,0,1,0
ENSG00000084628.9,ENSG00000084628,NKAIN1,chr1,protein_coding,1,1,1,0
ENSG00000060688.12,ENSG00000060688,SNRNP40,chr1,protein_coding,1,1,0,0
ENSG00000121766.15,ENSG00000121766,ZCCHC17,chr1,protein_coding,0,0,1,0
ENSG00000025800.13,ENSG00000025800,KPNA6,chr1,protein_coding,0,1,0,0
ENSG00000224066.1,ENSG00000224066,RP4-622L5.7,chr1,antisense,1,0,0,0
ENSG00000220785.7,ENSG00000220785,MTMR9LP,chr1,transcribed_unprocessed_pseudogene,1,0,0,0
ENSG00000175130.6,ENSG00000175130,MARCKSL1,chr1,protein_coding,0,0,0,1
ENSG00000134684.10,ENSG00000134684,YARS,chr1,protein_coding,0,1,0,0
ENSG00000116497.17,ENSG00000116497,S100PBP,chr1,protein_coding,0,0,1,0
ENSG00000142920.16,ENSG00000142920,AZIN2,chr1,protein_coding,1,0,0,0
ENSG00000116525.13,ENSG00000116525,TRIM62,chr1,protein_coding,0,0,1,0
ENSG00000241014.1,ENSG00000241014,RP11-244H3.1,chr1,processed_transcript,1,0,1,1
ENSG00000163867.16,ENSG00000163867,ZMYM6,chr1,protein_coding,1,0,0,0
ENSG00000146463.11,ENSG00000146463,ZMYM4,chr1,protein_coding,1,1,1,0
ENSG00000142687.17,ENSG00000142687,KIAA0319L,chr1,protein_coding,1,0,0,0
ENSG00000020129.15,ENSG00000020129,NCDN,chr1,protein_coding,0,1,0,0
ENSG00000116819.6,ENSG00000116819,TFAP2E,chr1,protein_coding,1,1,1,0
ENSG00000116883.8,ENSG00000116883,RP11-268J15.5,chr1,antisense,0,0,1,0
ENSG00000119535.17,ENSG00000119535,CSF3R,chr1,protein_coding,1,1,1,0
ENSG00000163879.10,ENSG00000163879,DNALI1,chr1,protein_coding,0,1,0,0
ENSG00000197982.13,ENSG00000197982,C1orf122,chr1,protein_coding,0,0,0,1
ENSG00000183386.9,ENSG00000183386,FHL3,chr1,protein_coding,0,0,1,0
ENSG00000116954.7,ENSG00000116954,RRAGC,chr1,protein_coding,1,0,0,0
ENSG00000127603.23,ENSG00000127603,MACF1,chr1,protein_coding,0,1,0,0
ENSG00000183682.7,ENSG00000183682,BMP8A,chr1,protein_coding,0,0,0,1
ENSG00000116981.3,ENSG00000116981,NT5C1A,chr1,protein_coding,0,1,0,0
ENSG00000084072.16,ENSG00000084072,PPIE,chr1,protein_coding,0,1,0,0
ENSG00000198754.5,ENSG00000198754,OXCT2,chr1,protein_coding,0,1,1,0
ENSG00000043514.15,ENSG00000043514,TRIT1,chr1,protein_coding,1,0,0,0
ENSG00000164002.11,ENSG00000164002,EXO5,chr1,protein_coding,1,1,1,0
ENSG00000117010.15,ENSG00000117010,ZNF684,chr1,protein_coding,0,0,1,0
ENSG00000010803.16,ENSG00000010803,SCMH1,chr1,protein_coding,1,0,0,0
ENSG00000234917.2,ENSG00000234917,RP5-994D16.3,chr1,lincRNA,0,1,0,0
ENSG00000177868.11,ENSG00000177868,SVBP,chr1,protein_coding,0,1,0,0
ENSG00000066056.13,ENSG00000066056,TIE1,chr1,protein_coding,0,1,0,1
ENSG00000066322.13,ENSG00000066322,ELOVL1,chr1,protein_coding,0,0,1,0
ENSG00000159479.16,ENSG00000159479,MED8,chr1,protein_coding,0,1,0,0
ENSG00000142949.16,ENSG00000142949,PTPRF,chr1,protein_coding,0,0,0,1
ENSG00000237950.1,ENSG00000237950,RP11-7O11.3,chr1,antisense,1,0,0,1
ENSG00000117408.10,ENSG00000117408,IPO13,chr1,protein_coding,0,0,0,1
ENSG00000117410.13,ENSG00000117410,ATP6V0B,chr1,protein_coding,1,1,1,0
ENSG00000117411.16,ENSG00000117411,B4GALT2,chr1,protein_coding,0,1,0,0
ENSG00000196517.11,ENSG00000196517,SLC6A9,chr1,protein_coding,1,0,0,0
ENSG00000230615.6,ENSG00000230615,RP5-1198O20.4,chr1,lincRNA,0,1,0,0
ENSG00000198520.10,ENSG00000198520,C1orf228,chr1,protein_coding,1,0,0,0
ENSG00000200169.1,ENSG00000200169,RNU5D-1,chr1,snRNA,1,1,1,0
ENSG00000126088.13,ENSG00000126088,UROD,chr1,protein_coding,0,0,1,0
ENSG00000280670.2,ENSG00000280670,CCDC163P,chr1,protein_coding,0,0,1,0
ENSG00000085999.11,ENSG00000085999,RAD54L,chr1,protein_coding,0,0,1,0
ENSG00000232022.7,ENSG00000232022,FAAHP1,chr1,transcribed_unprocessed_pseudogene,1,0,1,0
ENSG00000079277.19,ENSG00000079277,MKNK1,chr1,protein_coding,0,1,1,0
ENSG00000159658.10,ENSG00000159658,EFCAB14,chr1,protein_coding,0,0,1,0
ENSG00000162367.11,ENSG00000162367,TAL1,chr1,protein_coding,0,1,1,0
ENSG00000242267.6,ENSG00000242267,SKINT1L,chr1,unitary_pseudogene,1,0,0,0
ENSG00000186094.16,ENSG00000186094,AGBL4,chr1,protein_coding,0,0,1,0
ENSG00000185104.19,ENSG00000185104,FAF1,chr1,protein_coding,0,0,1,0
ENSG00000203356.2,ENSG00000203356,LINC01562,chr1,lincRNA,0,1,0,0
ENSG00000123091.4,ENSG00000123091,RNF11,chr1,protein_coding,1,0,0,0
ENSG00000085831.15,ENSG00000085831,TTC39A,chr1,protein_coding,0,1,0,0
ENSG00000078618.20,ENSG00000078618,NRDC,chr1,protein_coding,0,1,0,0
ENSG00000169213.6,ENSG00000169213,RAB3B,chr1,protein_coding,1,0,0,0
ENSG00000117862.11,ENSG00000117862,TXNDC12,chr1,protein_coding,0,1,0,0
ENSG00000134717.17,ENSG00000134717,BTF3L4,chr1,protein_coding,0,0,1,0
ENSG00000085840.12,ENSG00000085840,ORC1,chr1,protein_coding,0,1,0,0
ENSG00000134748.12,ENSG00000134748,PRPF38A,chr1,protein_coding,1,1,1,0
ENSG00000134744.13,ENSG00000134744,ZCCHC11,chr1,protein_coding,1,1,1,0
ENSG00000162377.5,ENSG00000162377,COA7,chr1,protein_coding,0,1,0,0
ENSG00000228929.1,ENSG00000228929,RPS13P2,chr1,processed_pseudogene,0,0,1,0
ENSG00000121310.16,ENSG00000121310,ECHDC2,chr1,protein_coding,1,1,0,1
ENSG00000231866.2,ENSG00000231866,RP4-631H13.4,chr1,processed_pseudogene,0,0,0,1
ENSG00000116171.16,ENSG00000116171,SCP2,chr1,protein_coding,1,0,0,0
ENSG00000174348.13,ENSG00000174348,PODN,chr1,protein_coding,0,0,0,1
ENSG00000236723.2,ENSG00000236723,RP5-1024G6.2,chr1,antisense,0,0,1,0
ENSG00000162384.13,ENSG00000162384,C1orf123,chr1,protein_coding,0,0,0,1
ENSG00000081870.11,ENSG00000081870,HSPB11,chr1,protein_coding,1,1,0,0
ENSG00000243725.6,ENSG00000243725,TTC4,chr1,protein_coding,0,0,1,0
ENSG00000187889.12,ENSG00000187889,C1orf168,chr1,protein_coding,0,0,1,0
ENSG00000162600.11,ENSG00000162600,OMA1,chr1,protein_coding,1,1,1,1
ENSG00000232453.6,ENSG00000232453,RP4-794H19.1,chr1,lincRNA,0,0,1,0
ENSG00000172456.17,ENSG00000172456,FGGY,chr1,protein_coding,1,0,1,0
ENSG00000231252.2,ENSG00000231252,RP11-436K8.1,chr1,lincRNA,0,0,0,1
ENSG00000237928.5,ENSG00000237928,NFIA-AS2,chr1,antisense,0,0,1,0
ENSG00000125703.14,ENSG00000125703,ATG4C,chr1,protein_coding,0,0,1,0
ENSG00000142856.16,ENSG00000142856,ITGB3BP,chr1,protein_coding,1,1,1,0
ENSG00000203965.12,ENSG00000203965,EFCAB7,chr1,protein_coding,1,0,0,0
ENSG00000079739.15,ENSG00000079739,PGM1,chr1,protein_coding,0,0,1,0
ENSG00000158966.13,ENSG00000158966,CACHD1,chr1,protein_coding,0,1,1,0
ENSG00000162434.11,ENSG00000162434,JAK1,chr1,protein_coding,0,1,0,0
ENSG00000184588.17,ENSG00000184588,PDE4B,chr1,protein_coding,0,0,1,0
ENSG00000152763.16,ENSG00000152763,WDR78,chr1,protein_coding,0,0,1,0
ENSG00000116704.7,ENSG00000116704,SLC35D1,chr1,protein_coding,1,0,0,0
ENSG00000162595.5,ENSG00000162595,DIRAS3,chr1,protein_coding,1,0,0,0
ENSG00000116729.13,ENSG00000116729,WLS,chr1,protein_coding,0,0,0,1
ENSG00000118454.12,ENSG00000118454,ANKRD13C,chr1,protein_coding,0,0,1,0
ENSG00000197568.13,ENSG00000197568,HHLA3,chr1,protein_coding,1,0,1,0
ENSG00000162620.15,ENSG00000162620,LRRIQ3,chr1,protein_coding,1,1,1,0
ENSG00000254685.6,ENSG00000254685,FPGT,chr1,protein_coding,1,1,1,0
ENSG00000272864.1,ENSG00000272864,RP11-17E13.2,chr1,lincRNA,1,1,1,0
ENSG00000162623.15,ENSG00000162623,TYW3,chr1,protein_coding,1,0,1,0
ENSG00000226415.1,ENSG00000226415,TPI1P1,chr1,processed_pseudogene,0,1,0,1
ENSG00000077254.14,ENSG00000077254,USP33,chr1,protein_coding,0,0,1,0
ENSG00000180488.14,ENSG00000180488,FAM73A,chr1,protein_coding,0,0,1,0
ENSG00000219201.4,ENSG00000219201,RP11-181C21.4,chr1,processed_pseudogene,1,0,0,0
ENSG00000235927.4,ENSG00000235927,NEXN-AS1,chr1,antisense,1,0,0,0
ENSG00000162613.16,ENSG00000162613,FUBP1,chr1,protein_coding,0,0,1,0
ENSG00000137965.10,ENSG00000137965,IFI44,chr1,protein_coding,1,0,0,0
ENSG00000227288.3,ENSG00000227288,RP5-837I24.1,chr1,processed_pseudogene,0,0,1,0
ENSG00000174021.10,ENSG00000174021,GNG5,chr1,protein_coding,1,0,0,0
ENSG00000117151.12,ENSG00000117151,CTBS,chr1,protein_coding,1,0,0,0
ENSG00000117155.16,ENSG00000117155,SSX2IP,chr1,protein_coding,1,0,0,0
ENSG00000171517.5,ENSG00000171517,LPAR3,chr1,protein_coding,0,1,0,0
ENSG00000162643.12,ENSG00000162643,WDR63,chr1,protein_coding,0,0,1,0
ENSG00000162642.13,ENSG00000162642,C1orf52,chr1,protein_coding,1,0,1,0
ENSG00000261737.1,ENSG00000261737,RP4-612B15.3,chr1,antisense,1,1,0,0
ENSG00000183291.15,ENSG00000183291,SEP15,chr1,protein_coding,1,1,1,0
ENSG00000143013.12,ENSG00000143013,LMO4,chr1,protein_coding,1,0,0,0
ENSG00000065243.19,ENSG00000065243,PKN2,chr1,protein_coding,0,1,0,0
ENSG00000213516.9,ENSG00000213516,RBMXL1,chr1,protein_coding,0,1,0,1
ENSG00000231999.6,ENSG00000231999,FLJ27354,chr1,antisense,0,0,1,0
ENSG00000171492.14,ENSG00000171492,LRRC8D,chr1,protein_coding,0,0,1,0
ENSG00000162664.16,ENSG00000162664,ZNF326,chr1,protein_coding,0,0,1,0
ENSG00000097046.12,ENSG00000097046,CDC7,chr1,protein_coding,1,1,0,0
ENSG00000122483.17,ENSG00000122483,CCDC18,chr1,protein_coding,0,0,1,0
ENSG00000223745.7,ENSG00000223745,CCDC18-AS1,chr1,processed_transcript,1,1,1,0
ENSG00000137936.16,ENSG00000137936,BCAR3,chr1,protein_coding,0,1,1,0
ENSG00000260464.1,ENSG00000260464,RP4-561L24.3,chr1,lincRNA,0,0,1,0
ENSG00000023909.9,ENSG00000023909,GCLM,chr1,protein_coding,0,0,0,1
ENSG00000117528.11,ENSG00000117528,ABCD3,chr1,protein_coding,0,0,1,0
ENSG00000235501.5,ENSG00000235501,RP4-639F20.1,chr1,antisense,1,0,0,0
ENSG00000228971.2,ENSG00000228971,RP11-286B14.1,chr1,lincRNA,0,1,0,0
ENSG00000117569.18,ENSG00000117569,PTBP2,chr1,protein_coding,0,0,1,0
ENSG00000188641.12,ENSG00000188641,DPYD,chr1,protein_coding,1,0,0,0
ENSG00000162627.16,ENSG00000162627,SNX7,chr1,protein_coding,1,0,0,0
ENSG00000156869.12,ENSG00000156869,FRRS1,chr1,protein_coding,0,0,1,0
ENSG00000117620.13,ENSG00000117620,SLC35A3,chr1,protein_coding,0,1,0,0
ENSG00000156875.13,ENSG00000156875,MFSD14A,chr1,protein_coding,0,0,1,0
ENSG00000156876.9,ENSG00000156876,SASS6,chr1,protein_coding,0,0,1,0
ENSG00000224616.1,ENSG00000224616,RTCA-AS1,chr1,antisense,0,1,0,0
ENSG00000079335.18,ENSG00000079335,CDC14A,chr1,protein_coding,1,0,1,0
ENSG00000273204.1,ENSG00000273204,RP4-549L20.3,chr1,antisense,1,0,0,0
ENSG00000225938.1,ENSG00000225938,RP4-575N6.4,chr1,antisense,0,0,1,0
ENSG00000060718.19,ENSG00000060718,COL11A1,chr1,protein_coding,1,0,1,1
ENSG00000234257.1,ENSG00000234257,SOD2P1,chr1,processed_pseudogene,0,0,0,1
ENSG00000240038.6,ENSG00000240038,AMY2B,chr1,protein_coding,1,1,0,0
ENSG00000198890.7,ENSG00000198890,PRMT6,chr1,protein_coding,1,1,1,1
ENSG00000134215.15,ENSG00000134215,VAV3,chr1,protein_coding,0,1,0,0
ENSG00000226822.2,ENSG00000226822,RP11-356N1.2,chr1,lincRNA,1,0,0,0
ENSG00000085491.15,ENSG00000085491,SLC25A24,chr1,protein_coding,0,1,0,0
ENSG00000134186.11,ENSG00000134186,PRPF38B,chr1,protein_coding,0,0,1,0
ENSG00000143107.8,ENSG00000143107,FNDC7,chr1,protein_coding,1,0,0,0
ENSG00000116266.10,ENSG00000116266,STXBP3,chr1,protein_coding,0,0,0,1
ENSG00000121957.12,ENSG00000121957,GPSM2,chr1,protein_coding,1,1,1,0
ENSG00000121940.15,ENSG00000121940,CLCC1,chr1,protein_coding,0,0,1,0
ENSG00000085433.15,ENSG00000085433,WDR47,chr1,protein_coding,1,0,0,0
ENSG00000197780.9,ENSG00000197780,TAF13,chr1,protein_coding,0,1,0,0
ENSG00000273382.1,ENSG00000273382,RP5-1065J22.8,chr1,antisense,1,0,0,0
ENSG00000179902.12,ENSG00000179902,C1orf194,chr1,protein_coding,0,1,0,1
ENSG00000116299.16,ENSG00000116299,KIAA1324,chr1,protein_coding,1,1,0,0
ENSG00000181754.6,ENSG00000181754,AMIGO1,chr1,protein_coding,1,1,1,0
ENSG00000065135.9,ENSG00000065135,GNAI3,chr1,protein_coding,0,0,1,0
ENSG00000168765.15,ENSG00000168765,GSTM4,chr1,protein_coding,1,1,1,1
ENSG00000134184.12,ENSG00000134184,GSTM1,chr1,protein_coding,1,0,0,0
ENSG00000134202.10,ENSG00000134202,GSTM3,chr1,protein_coding,1,1,1,1
ENSG00000197106.6,ENSG00000197106,SLC6A17,chr1,protein_coding,0,1,0,0
ENSG00000116396.14,ENSG00000116396,KCNC4,chr1,protein_coding,1,1,0,0
ENSG00000168679.17,ENSG00000168679,SLC16A4,chr1,protein_coding,0,0,1,0
ENSG00000134248.13,ENSG00000134248,LAMTOR5,chr1,protein_coding,0,1,0,0
ENSG00000177301.13,ENSG00000177301,KCNA2,chr1,protein_coding,0,1,0,0
ENSG00000143119.12,ENSG00000143119,CD53,chr1,protein_coding,0,1,1,0
ENSG00000134255.13,ENSG00000134255,CEPT1,chr1,protein_coding,0,0,1,0
ENSG00000260948.1,ENSG00000260948,RP11-552M11.8,chr1,sense_overlapping,1,0,0,0
ENSG00000116459.10,ENSG00000116459,ATP5F1,chr1,protein_coding,0,0,1,0
ENSG00000282608.1,ENSG00000282608,ADORA3,chr1,protein_coding,0,1,1,0
ENSG00000227811.2,ENSG00000227811,FAM212B-AS1,chr1,antisense,0,1,1,0
ENSG00000171385.9,ENSG00000171385,KCND3,chr1,protein_coding,0,1,0,0
ENSG00000231437.3,ENSG00000231437,RP11-88H9.2,chr1,lincRNA,0,1,0,0
ENSG00000143079.14,ENSG00000143079,CTTNBP2NL,chr1,protein_coding,0,1,1,0
ENSG00000238198.1,ENSG00000238198,RP11-31F15.2,chr1,lincRNA,1,0,0,0
ENSG00000081026.18,ENSG00000081026,MAGI3,chr1,protein_coding,0,1,0,0
ENSG00000116793.15,ENSG00000116793,PHTF1,chr1,protein_coding,0,1,0,0
ENSG00000134242.15,ENSG00000134242,PTPN22,chr1,protein_coding,0,0,1,1
ENSG00000188761.11,ENSG00000188761,BCL2L15,chr1,protein_coding,0,0,1,0
ENSG00000009307.15,ENSG00000009307,CSDE1,chr1,protein_coding,1,0,0,0
ENSG00000052723.11,ENSG00000052723,SIKE1,chr1,protein_coding,1,0,0,0
ENSG00000173218.14,ENSG00000173218,VANGL1,chr1,protein_coding,0,0,0,1
ENSG00000177551.5,ENSG00000177551,NHLH2,chr1,protein_coding,0,0,0,1
ENSG00000163393.12,ENSG00000163393,SLC22A15,chr1,protein_coding,0,0,1,1
ENSG00000116830.11,ENSG00000116830,TTF2,chr1,protein_coding,1,1,1,0
ENSG00000183508.4,ENSG00000183508,FAM46C,chr1,protein_coding,0,0,0,1
ENSG00000231365.5,ENSG00000231365,RP11-418J17.1,chr1,antisense,0,1,0,0
ENSG00000143067.4,ENSG00000143067,ZNF697,chr1,protein_coding,0,1,0,0
ENSG00000265808.3,ENSG00000265808,SEC22B,chr1,protein_coding,0,1,0,0
ENSG00000274642.1,ENSG00000274642,CH17-472G23.1,chr1,unprocessed_pseudogene,1,1,1,1
ENSG00000270231.3,ENSG00000270231,NBPF8,chr1,unprocessed_pseudogene,1,1,1,0
ENSG00000273136.6,ENSG00000273136,NBPF26,chr1,protein_coding,1,1,1,0
ENSG00000275538.1,ENSG00000275538,RNVU1-19,chr1,snRNA,1,1,1,0
ENSG00000226067.6,ENSG00000226067,LINC00623,chr1,lincRNA,1,0,0,0
