module,gene_id,gene_name
blue,ENSG00000187942.11,LDLRAD2
grey,ENSG00000142798.17,HSPG2
grey,ENSG00000218510.6,LINC00339
turquoise,ENSG00000070831.15,CDC42
grey,ENSG00000230068.2,CDC42-IT1
grey,ENSG00000271840.1,RP1-224A6.9
grey,ENSG00000162552.14,WNT4
pink,ENSG00000184677.16,ZBTB40
grey,ENSG00000070886.11,EPHA8
grey60,ENSG00000173372.16,C1QA
grey60,ENSG00000159189.11,C1QC
grey60,ENSG00000173369.15,C1QB
turquoise,ENSG00000133216.16,EPHB2
grey,ENSG00000004487.15,KDM1A
brown,ENSG00000169641.13,LUZP1
brown,ENSG00000179546.4,HTR1D
grey,ENSG00000261326.2,LINC01355
black,ENSG00000125944.18,HNRNPR
grey,ENSG00000125945.14,ZNF436
grey,ENSG00000249087.6,ZNF436-AS1
grey,ENSG00000204219.9,TCEA3
grey,ENSG00000088280.18,ASAP3
blue,ENSG00000117318.8,ID3
skyblue,ENSG00000142676.12,RPL11
grey,ENSG00000011007.12,TCEB3
grey,ENSG00000236810.5,TCEB3-AS1
grey,ENSG00000057757.9,PITHD1
red,ENSG00000011009.10,LYPLA2
cyan,ENSG00000117308.14,GALE
grey,ENSG00000117305.14,HMGCL
grey,ENSG00000179163.11,FUCA1
yellow,ENSG00000189266.11,PNRC2
pink,ENSG00000188529.14,SRSF10
grey,ENSG00000185436.11,IFNLR1
lightyellow,ENSG00000158055.15,GRHL3
grey,ENSG00000001460.17,STPG1
turquoise,ENSG00000001461.16,NIPAL3
turquoise,ENSG00000117602.11,RCAN3
grey,ENSG00000184454.6,NCMAP
grey,ENSG00000133226.16,SRRM1
turquoise,ENSG00000169504.14,CLIC4
grey,ENSG00000020633.18,RUNX3
magenta,ENSG00000117614.9,SYF2
turquoise,ENSG00000117616.17,RSRP1
grey,ENSG00000261349.1,RP3-465N24.5
grey,ENSG00000224183.1,SDHDP6
turquoise,ENSG00000183726.10,TMEM50A
grey,ENSG00000188672.17,RHCE
pink,ENSG00000204178.9,TMEM57
turquoise,ENSG00000157978.11,LDLRAP1
blue,ENSG00000117643.14,MAN1C1
grey,ENSG00000162430.16,SEPN1
grey,ENSG00000228172.5,RP1-317E23.3
green,ENSG00000117640.17,MTFR1L
blue,ENSG00000182749.5,PAQR7
turquoise,ENSG00000117632.21,STMN1
turquoise,ENSG00000158006.13,PAFAH2
green,ENSG00000158008.9,EXTL1
salmon,ENSG00000175087.9,PDIK1L
grey,ENSG00000197245.5,FAM110D
grey,ENSG00000142684.8,ZNF593
grey,ENSG00000142675.17,CNKSR1
grey,ENSG00000236155.6,RP11-231P20.2
turquoise,ENSG00000130695.13,CEP85
grey,ENSG00000142669.14,SH3BGRL3
blue,ENSG00000158062.20,UBXN11
grey,ENSG00000169442.8,CD52
grey,ENSG00000117682.16,DHDDS
grey,ENSG00000225891.1,RP3-476K8.3
turquoise,ENSG00000198830.10,HMGN2
turquoise,ENSG00000117676.13,RPS6KA1
grey,ENSG00000260063.1,RP5-968P14.2
grey,ENSG00000117713.18,ARID1A
grey,ENSG00000060642.10,PIGV
red,ENSG00000204160.11,ZDHHC18
grey,ENSG00000175793.11,SFN
grey,ENSG00000142751.14,GPN2
turquoise,ENSG00000198746.12,GPATCH3
lightgreen,ENSG00000090273.13,NUDC
purple,ENSG00000253368.3,TRNP1
saddlebrown,ENSG00000090020.10,SLC9A1
grey,ENSG00000214973.3,CHCHD3P3
white,ENSG00000142784.15,WDTC1
grey,ENSG00000243659.1,RP11-4K3__A.3
cyan,ENSG00000186501.14,TMEM222
grey,ENSG00000241547.1,ACTG1P20
grey,ENSG00000142765.17,SYTL1
paleturquoise,ENSG00000142733.14,MAP3K6
darkolivegreen,ENSG00000181773.6,GPR3
turquoise,ENSG00000158195.10,WASF2
white,ENSG00000126705.13,AHDC1
paleturquoise,ENSG00000000938.12,FGR
grey,ENSG00000235912.1,RP1-159A19.3
violet,ENSG00000126709.14,IFI6
grey,ENSG00000009780.15,FAM76A
magenta,ENSG00000117758.13,STX12
grey,ENSG00000269971.1,RP3-426I6.5
grey,ENSG00000270031.1,RP3-426I6.6
turquoise,ENSG00000117751.17,PPP1R8
grey,ENSG00000252947.1,SCARNA1
turquoise,ENSG00000130775.15,THEMIS2
grey,ENSG00000117748.9,RPA2
grey,ENSG00000130768.14,SMPDL3B
grey,ENSG00000158156.7,XKR8
lightgreen,ENSG00000158161.15,EYA3
grey,ENSG00000228589.3,SPCS2P4
grey60,ENSG00000169403.11,PTAFR
magenta,ENSG00000126698.10,DNAJC8
brown,ENSG00000130770.17,ATPIF1
grey,ENSG00000270605.1,RP5-1092A3.4
lightgreen,ENSG00000130766.4,SESN2
grey,ENSG00000130772.13,MED18
grey,ENSG00000204138.12,PHACTR4
grey,ENSG00000180198.15,RCC1
grey,ENSG00000242125.3,SNHG3
grey,ENSG00000200087.1,SNORA73B
grey,ENSG00000279443.1,RP4-669K10.8
grey,ENSG00000180098.9,TRNAU1AP
grey,ENSG00000197989.13,SNHG12
black,ENSG00000120656.11,TAF12
grey,ENSG00000229388.1,RP11-442N24__B.1
grey,ENSG00000162419.12,GMEB1
grey,ENSG00000198492.15,YTHDF2
purple,ENSG00000116329.10,OPRD1
grey,ENSG00000233427.1,RP1-212P9.3
saddlebrown,ENSG00000159023.19,EPB41
brown,ENSG00000253304.1,TMEM200B
grey,ENSG00000116350.16,SRSF4
green,ENSG00000116353.15,MECR
grey,ENSG00000060656.19,PTPRU
turquoise,ENSG00000186056.9,MATN1-AS1
grey60,ENSG00000162511.7,LAPTM5
white,ENSG00000162512.15,SDC3
greenyellow,ENSG00000134644.15,PUM1
grey,ENSG00000084628.9,NKAIN1
turquoise,ENSG00000060688.12,SNRNP40
grey,ENSG00000229447.2,RP11-490K7.4
grey,ENSG00000121766.15,ZCCHC17
grey,ENSG00000121769.7,FABP3
grey,ENSG00000168528.11,SERINC2
grey,ENSG00000142910.15,TINAGL1
darkmagenta,ENSG00000162517.12,PEF1
grey,ENSG00000084636.17,COL16A1
green,ENSG00000121753.12,ADGRB2
grey,ENSG00000134668.12,SPOCD1
grey,ENSG00000269967.1,RP11-84A19.4
turquoise,ENSG00000184007.18,PTP4A2
turquoise,ENSG00000121774.17,KHDRBS1
grey,ENSG00000121775.17,TMEM39B
grey,ENSG00000025800.13,KPNA6
cyan,ENSG00000084652.15,TXLNA
grey,ENSG00000160050.14,CCDC28B
grey,ENSG00000224066.1,RP4-622L5.7
grey,ENSG00000160051.11,IQCC
grey,ENSG00000160055.19,TMEM234
cyan,ENSG00000084623.11,EIF3I
grey,ENSG00000220785.7,MTMR9LP
turquoise,ENSG00000116478.11,HDAC1
turquoise,ENSG00000175130.6,MARCKSL1
grey,ENSG00000162526.6,TSSK3
grey,ENSG00000225828.1,FAM229A
cyan,ENSG00000160058.18,BSDC1
grey,ENSG00000273274.1,ZBTB8B
grey,ENSG00000160062.14,ZBTB8A
grey,ENSG00000176261.15,ZBTB8OS
orange,ENSG00000162521.18,RBBP4
blue,ENSG00000162520.14,SYNC
white,ENSG00000162522.10,KIAA1522
saddlebrown,ENSG00000134684.10,YARS
grey,ENSG00000116497.17,S100PBP
red,ENSG00000160097.15,FNDC5
purple,ENSG00000121905.9,HPCA
grey,ENSG00000121900.18,TMEM54
grey,ENSG00000116514.16,RNF19B
turquoise,ENSG00000004455.16,AK2
turquoise,ENSG00000142920.16,AZIN2
grey,ENSG00000278997.1,RP11-131M11.2
turquoise,ENSG00000116525.13,TRIM62
grey,ENSG00000279179.1,RP11-131M11.3
grey,ENSG00000160094.14,ZNF362
grey,ENSG00000270115.1,RP11-415J8.7
cyan,ENSG00000134686.17,PHC2
grey,ENSG00000222112.1,RN7SKP16
grey,ENSG00000121903.14,ZSCAN20
grey,ENSG00000121904.17,CSMD2
grey,ENSG00000142698.14,C1orf94
grey,ENSG00000163866.8,SMIM12
grey,ENSG00000255811.1,RP1-34M23.5
lightyellow,ENSG00000187513.8,GJA4
green,ENSG00000116544.11,DLGAP3
grey,ENSG00000241014.1,RP11-244H3.1
grey,ENSG00000163867.16,ZMYM6
black,ENSG00000197056.9,ZMYM1
black,ENSG00000116560.10,SFPQ
greenyellow,ENSG00000146463.11,ZMYM4
grey,ENSG00000229994.1,RPL5P4
grey,ENSG00000142687.17,KIAA0319L
brown,ENSG00000020129.15,NCDN
grey,ENSG00000239636.1,RP4-728D4.2
grey,ENSG00000116819.6,TFAP2E
turquoise,ENSG00000126067.11,PSMB2
brown,ENSG00000142686.7,C1orf216
grey,ENSG00000092853.13,CLSPN
grey,ENSG00000134698.10,AGO4
grey,ENSG00000092847.11,AGO1
turquoise,ENSG00000126070.19,AGO3
blue,ENSG00000092850.11,TEKT2
turquoise,ENSG00000116863.10,ADPRHL2
blue,ENSG00000171812.11,COL8A2
grey,ENSG00000054116.11,TRAPPC3
turquoise,ENSG00000116871.15,MAP7D1
turquoise,ENSG00000054118.13,THRAP3
grey,ENSG00000214193.9,SH3D21
grey,ENSG00000142694.6,EVA1B
grey,ENSG00000116883.8,RP11-268J15.5
lightgreen,ENSG00000196182.10,STK40
grey,ENSG00000181817.5,LSM10
blue,ENSG00000116885.18,OSCP1
grey,ENSG00000201448.1,SNORA63
grey,ENSG00000116898.11,MRPS15
grey60,ENSG00000119535.17,CSF3R
saddlebrown,ENSG00000163873.9,GRIK3
grey,ENSG00000233621.1,LINC01137
lightyellow,ENSG00000163874.9,ZC3H12A
brown,ENSG00000163875.15,MEAF6
grey,ENSG00000263675.1,MIR5581
grey,ENSG00000163877.9,SNIP1
blue,ENSG00000163879.10,DNALI1
turquoise,ENSG00000134697.12,GNL2
grey,ENSG00000116922.14,C1orf109
grey,ENSG00000134690.10,CDCA8
red,ENSG00000183317.16,EPHA10
red,ENSG00000185090.14,MANEAL
grey,ENSG00000196449.3,YRDC
turquoise,ENSG00000197982.13,C1orf122
grey,ENSG00000188786.9,MTF1
grey,ENSG00000204084.12,INPP5B
royalblue,ENSG00000183431.11,SF3A3
grey,ENSG00000183386.9,FHL3
royalblue,ENSG00000183520.11,UTP11
green,ENSG00000185668.7,POU3F1
brown,ENSG00000224592.5,RP5-884C9.2
grey,ENSG00000116954.7,RRAGC
grey,ENSG00000228436.2,RP5-864K19.4
blue,ENSG00000214114.8,MYCBP
turquoise,ENSG00000158315.10,RHBDL2
magenta,ENSG00000174574.15,AKIRIN1
brown,ENSG00000168653.10,NDUFS5
pink,ENSG00000127603.23,MACF1
grey,ENSG00000183682.7,BMP8A
grey,ENSG00000237624.1,OXCT2P1
grey,ENSG00000182109.7,RP11-69E11.4
grey,ENSG00000243970.1,PPIEL
grey,ENSG00000090621.13,PABPC4
yellow,ENSG00000163909.7,HEYL
grey,ENSG00000116981.3,NT5C1A
darkorange,ENSG00000116983.12,HPCAL4
grey,ENSG00000084072.16,PPIE
grey,ENSG00000116985.11,BMP8B
grey,ENSG00000198754.5,OXCT2
grey,ENSG00000043514.15,TRIT1
grey,ENSG00000202222.1,Y_RNA
brown,ENSG00000116990.10,MYCL
grey,ENSG00000168389.17,MFSD2A
grey,ENSG00000228477.1,RP3-342P20.2
grey,ENSG00000131236.16,CAP1
yellow,ENSG00000131238.16,PPT1
royalblue,ENSG00000117000.8,RLF
grey,ENSG00000259943.1,RP1-39G22.7
grey,ENSG00000084073.8,ZMPSTE24
turquoise,ENSG00000049089.13,COL9A2
brown,ENSG00000084070.11,SMAP2
brown,ENSG00000187801.14,ZFP69B
brown,ENSG00000260920.2,RP1-228H13.5
grey,ENSG00000279667.1,RP11-656D10.7
grey,ENSG00000187815.9,ZFP69
grey,ENSG00000238287.1,RP11-656D10.3
grey,ENSG00000164002.11,EXO5
grey,ENSG00000117010.15,ZNF684
purple,ENSG00000117016.9,RIMS3
grey,ENSG00000272145.1,NFYC-AS1
grey,ENSG00000066136.20,NFYC
grey,ENSG00000117013.14,KCNQ4
blue,ENSG00000179862.6,CITED4
grey,ENSG00000171793.13,CTPS1
grey,ENSG00000281207.1,SLFNL1-AS1
grey,ENSG00000171790.15,SLFNL1
grey,ENSG00000010803.16,SCMH1
grey,ENSG00000204060.6,FOXO6
grey,ENSG00000127124.14,HIVEP3
midnightblue,ENSG00000198815.8,FOXJ3
purple,ENSG00000177181.14,RIMKLA
blue,ENSG00000066185.12,ZMYND12
lightcyan,ENSG00000127125.8,PPCS
blue,ENSG00000186409.14,CCDC30
grey,ENSG00000230116.1,RP11-163G10.2
grey,ENSG00000236876.3,TMSB4XP1
grey,ENSG00000171960.10,PPIH
grey,ENSG00000234917.2,RP5-994D16.3
turquoise,ENSG00000065978.18,YBX1
grey,ENSG00000117385.15,P3H1
grey,ENSG00000164008.14,C1orf50
grey,ENSG00000274386.5,RP5-994D16.11
grey,ENSG00000177868.11,SVBP
blue,ENSG00000164010.13,ERMAP
grey,ENSG00000228192.7,RP11-342M1.3
grey,ENSG00000164011.17,ZNF691
grey,ENSG00000117394.19,SLC2A1
grey,ENSG00000227533.5,SLC2A1-AS1
blue,ENSG00000186973.10,FAM183A
grey,ENSG00000117395.11,EBNA1BP2
blue,ENSG00000243710.7,CFAP57
turquoise,ENSG00000179178.10,TMEM125
grey,ENSG00000066056.13,TIE1
grey,ENSG00000117400.15,MPL
grey,ENSG00000234694.1,RP1-92O14.3
turquoise,ENSG00000117399.13,CDC20
turquoise,ENSG00000066322.13,ELOVL1
grey,ENSG00000159479.16,MED8
tan,ENSG00000198198.14,SZT2
grey,ENSG00000178922.16,HYI
grey,ENSG00000229348.1,HYI-AS1
grey,ENSG00000142949.16,PTPRF
grey,ENSG00000066135.12,KDM4A
grey,ENSG00000236200.5,KDM4A-AS1
grey,ENSG00000126091.19,ST3GAL3
grey,ENSG00000233674.2,RP11-184I16.3
grey,ENSG00000117407.16,ARTN
grey,ENSG00000237950.1,RP11-7O11.3
turquoise,ENSG00000117408.10,IPO13
cyan,ENSG00000132768.13,DPH2
cyan,ENSG00000117410.13,ATP6V0B
grey,ENSG00000117411.16,B4GALT2
blue,ENSG00000159214.12,CCDC24
turquoise,ENSG00000196517.11,SLC6A9
grey,ENSG00000230615.6,RP5-1198O20.4
tan,ENSG00000178028.13,DMAP1
grey,ENSG00000117419.14,ERI3
grey,ENSG00000233602.1,ERI3-IT1
turquoise,ENSG00000187147.17,RNF220
grey,ENSG00000126106.13,TMEM53
blue,ENSG00000198520.10,C1orf228
blue,ENSG00000200169.1,RNU5D-1
grey,ENSG00000142945.12,KIF2C
skyblue,ENSG00000142937.11,RPS8
blue,ENSG00000142959.4,BEST4
lightyellow,ENSG00000173846.12,PLK3
blue,ENSG00000222009.8,BTBD19
grey,ENSG00000117425.13,PTCH2
grey,ENSG00000070785.16,EIF2B3
grey,ENSG00000126107.14,HECTD3
grey,ENSG00000126088.13,UROD
grey,ENSG00000162415.6,ZSWIM5
grey,ENSG00000281912.1,LINC01144
grey,ENSG00000186603.5,HPDL
turquoise,ENSG00000132781.17,MUTYH
grey,ENSG00000132773.11,TOE1
turquoise,ENSG00000070759.16,TESK2
blue,ENSG00000280670.2,CCDC163P
turquoise,ENSG00000132763.14,MMACHC
orange,ENSG00000117450.13,PRDX1
grey,ENSG00000117448.13,AKR1A1
turquoise,ENSG00000132780.16,NASP
blue,ENSG00000159588.14,CCDC17
royalblue,ENSG00000159592.10,GPBP1L1
grey,ENSG00000225447.1,RPS15AP10
grey,ENSG00000234329.1,RP11-767N6.2
grey,ENSG00000159596.6,TMEM69
