clusterID	N	coord	gene	annotation	FDR
clu_35347_-	21	chr16:80976179-81006734	CMC2	cryptic	1.05e-17
clu_147904_+	3	chr2:97198491-97200334	ANKRD36	cryptic	1.48e-17
clu_27355_-	7	chr5:142614161-142697913	FGF1	annotated	1.52e-17
clu_65921_+	4	chrX:103310981-103330984	TCEAL7	cryptic	1.72e-17
clu_158357_+	3	chr11:71448885-71455110	NADSYN1	cryptic	2.15e-17
clu_152222_-	11	chr6:85666147-85678136	SNHG5	cryptic	2.68e-17
clu_26784_-	8	chr5:110332925-110568447	TMEM232	cryptic	4.1e-17
clu_16827_-	10	chr8:115620060-115669345	TRPS1	cryptic	4.84e-17
clu_97931_-	6	chr17:82035245-82036191	DCXR	cryptic	5.19e-17
clu_174896_+	7	chr16:53810217-53873786	FTO	cryptic	1.32e-16
clu_186734_+	7	chr7:100338889-100349799	STAG3L5P-PVRIG2P-PILRB	cryptic	1.33e-16
clu_24398_-	11	chr10:96349826-96358894	OPALIN	cryptic	2.34e-16
clu_175111_+	3	chr16:58509352-58511422	NDRG4	annotated	2.94e-16
clu_60926_+	4	chr1:109659110-109674747	GSTM4	annotated	4.26e-16
clu_137716_-	21	chr1:172370311-172456389	PIGC	cryptic	4.58e-16
clu_10795_-	10	chr15:43361941-43369596	ZSCAN29	cryptic	5e-16
clu_88346_-	7	chr13:75530266-75549323	COMMD6	annotated	5.25e-16
clu_141994_+	9	chr15:22561454-22562949	HERC2P2	cryptic	6.23e-16
clu_91390_+	10	chr3:139577850-139583129	RP11-319G6.1	cryptic	7.38e-16
clu_22429_-	5	chr3:197624187-197627780	AC024560.3	annotated	8.84e-16
clu_147282_+	3	chr2:74455174-74455406	INO80B	cryptic	9.63e-16
clu_23492_-	4	chr10:48051778-48052504	BMS1P7	cryptic	1.19e-15
clu_61193_+	10	chr1:120256754-120348359	CH17-472G23.1	cryptic	1.24e-15
clu_125266_-	10	chr12:10418449-10434486	KLRC2	cryptic	1.4e-15
clu_56641_-	4	chr2:200877037-200881421	PPIL3	cryptic	1.4e-15
clu_98563_?	48	chr5:49610447-49646431	.	annotated	1.44e-15
clu_92181_+	15	chr3:188154021-188484592	LPP	cryptic	1.69e-15
clu_173504_+	5	chr16:4958445-4959273	SEC14L5	cryptic	1.92e-15
clu_21850_-	5	chr3:171101633-171110714	TNIK	cryptic	2.98e-15
clu_95261_-	12	chr17:18519674-18533347	CTD-2303H24.2	cryptic	3.52e-15
clu_117308_+	3	chr6:54189914-54202105	MLIP	cryptic	5.7e-15
clu_55734_-	4	chr2:132646280-132668400	LYPD1	cryptic	8.07e-15
clu_62246_+	3	chr1:155131634-155133730	EFNA1	annotated	1.15e-14
clu_146023_+	3	chr2:24164335-24169356	FAM228B	annotated	1.19e-14
clu_176280_+	15	chr16:90159497-90177717	FAM157C	cryptic	1.61e-14
clu_27063_-	4	chr5:132765529-132777758	SEPT8	annotated	1.76e-14
clu_169673_-	9	chr4:2095933-2170679	POLN	cryptic	1.85e-14
clu_23616_-	3	chr10:59324106-59352270	FAM13C	annotated	3.9e-14
clu_3820_-	4	chr22:41586193-41589719	PMM1	cryptic	4.01e-14
clu_48618_+	4	chr12:6867681-6868864	TPI1	annotated	4.12e-14
clu_76887_+	6	chr5:83258677-83370267	XRCC4	cryptic	4.27e-14
clu_121457_+	5	chr4:189957502-189960862	FRG1	cryptic	4.56e-14
clu_171420_-	10	chr4:133096883-133138960	RP11-9G1.3	cryptic	8.67e-14
clu_149278_+	4	chr2:186625587-186636082	ITGAV	cryptic	9.49e-14
clu_116641_+	3	chr6:34757551-34762595	SNRPC	annotated	1.02e-13
clu_157467_+	4	chr11:61950427-61955107	BEST1	cryptic	1.43e-13
clu_133833_-	16	chr1:16632371-16645067	CROCCP2	cryptic	1.83e-13
clu_11796_-	2	chr15:74837435-74837757	ULK3	annotated	1.91e-13
clu_88234_-	5	chr13:52136902-52143916	NEK3	cryptic	2.34e-13
clu_34761_-	5	chr16:66826583-66830847	NAE1	annotated	2.87e-13
clu_147905_+	5	chr2:97204096-97209681	ANKRD36	cryptic	4.29e-13
clu_175809_+	3	chr16:83978552-83981030	NECAB2	annotated	4.51e-13
clu_61877_+	5	chr1:150276632-150280835	C1orf54	cryptic	4.84e-13
clu_165576_+	17	chr17:78232213-78239024	TMEM235	cryptic	6.83e-13
clu_53105_-	8	chr2:9406113-9406562	.	annotated	6.98e-13
clu_23508_-	37	chr10:48060020-48163328	FRMPD2	cryptic	7.56e-13
clu_48807_+	26	chr12:9448878-9606410	RP11-726G1.1	cryptic	9.53e-13
clu_25312_-	3	chr5:748559-751133	ZDHHC11B	cryptic	1.03e-12
clu_73845_?	17	chr19:20056594-20795299	ZNF626	cryptic	1.11e-12
clu_139869_+	5	chr10:35337207-35516523	CCNY	cryptic	1.17e-12
clu_129324_+	10	chr19:11987823-12035554	CTD-2006C1.2	cryptic	3.4e-12
clu_168259_-	5	chr7:103103554-103128483	NAPEPLD	cryptic	3.59e-12
clu_47016_-	3	chr9:108906485-108908305	IKBKAP	cryptic	3.69e-12
clu_69748_-	4	chr19:44497372-44500275	ZNF180	annotated	4.83e-12
clu_147903_+	3	chr2:97196788-97204068	ANKRD36	cryptic	4.88e-12
clu_64304_+	4	chr1:234357090-234374230	COA6	cryptic	5.19e-12
clu_67775_-	2	chr19:9660874-9675015	ZNF562	annotated	5.9e-12
clu_75589_+	22	chr5:14347039-14347397	.	annotated	6.39e-12
clu_66209_+	10	chrX:121092318-121164059	.	annotated	6.39e-12
clu_155808_+	2	chr14:105382046-105382477	PACS2	annotated	6.59e-12
clu_123268_+	13	chr8:32016340-32029379	NRG1-IT1	cryptic	6.83e-12
clu_18944_-	10	chr3:11721933-11809517	TAMM41	cryptic	7.95e-12
clu_17570_-	10	chr8:144946215-144999603	ZNF252P	cryptic	8.63e-12
clu_150290_+	7	chr2:230886969-230895514	AC012507.3	cryptic	1.01e-11
clu_1244_-	10	chrX:103530833-103537907	.	annotated	1.08e-11
clu_87569_-	9	chr13:20432296-20489370	CRYL1	cryptic	1.17e-11
clu_77818_+	2	chr5:142770915-142873400	ARHGAP26	cryptic	1.32e-11
clu_64191_+	2	chr1:228376874-228377052	OBSCN	cryptic	1.36e-11
clu_125477_-	15	chr12:25939506-25956639	RASSF8-AS1	cryptic	1.36e-11
clu_168171_-	3	chr7:102587770-102592285	RASA4	annotated	1.49e-11
clu_153627_+	6	chr14:20343687-20346863	PARP2	cryptic	1.53e-11
clu_185490_+	14	chr7:44999857-45072726	CCM2	annotated	2.04e-11
clu_54481_-	3	chr2:75690719-75694241	GCFC2	annotated	2.11e-11
clu_91404_+	8	chr3:141231911-141260123	PXYLP1	cryptic	2.19e-11
clu_61202_+	7	chr1:120439690-120447630	NBPF8	cryptic	2.34e-11
clu_97042_-	8	chr17:64822393-64829161	PLEKHM1P1	cryptic	2.54e-11
clu_89710_+	10	chr3:44003681-44111277	.	annotated	3.57e-11
clu_71701_+	7	chr22:31944820-31956139	YWHAH	annotated	4.1e-11
clu_116924_+	19	chr6:41134722-41139856	ADCY10P1	cryptic	4.64e-11
clu_31536_+	8	chr20:21132159-21161871	KIZ	cryptic	4.7e-11
clu_58313_+	6	chr1:11980484-11989165	MFN2	cryptic	5.66e-11
clu_117865_+	5	chr6:108876350-108899694	ARMC2	cryptic	6.23e-11
clu_140436_+	4	chr10:73168163-73174687	FAM149B1	cryptic	6.87e-11
clu_69063_-	7	chr19:33210476-33211414	SLC7A10	cryptic	7.23e-11
clu_26298_-	4	chr5:71060930-71061688	GTF2H2	cryptic	7.23e-11
clu_79424_-	8	chr20:28600461-28602609	FRG1CP	cryptic	7.24e-11
clu_148066_+	3	chr2:101006071-101018998	RPL31	annotated	7.79e-11
clu_155527_+	2	chr14:101762970-101786018	PPP2R5C	annotated	8.83e-11
clu_132481_+	3	chr19:54200888-54201160	RPS9	annotated	8.92e-11
clu_26161_-	7	chr5:60787431-60844160	ELOVL7	cryptic	9.71e-11
clu_61269_+	10	chr1:121717237-121872821	.	annotated	9.77e-11
clu_145800_+	7	chr2:6941147-7014454	RNF144A	cryptic	9.77e-11
clu_61289_+	39	chr1:121616280-121911813	.	annotated	1.06e-10
clu_61217_+	4	chr1:120824053-120830496	.	annotated	1.1e-10
clu_125268_-	2	chr12:10434530-10435312	KLRC2	annotated	1.1e-10
clu_136730_-	9	chr1:146144804-146156480	NOTCH2NL	cryptic	1.19e-10
clu_83261_+	7	chr9:38458468-38471888	RP11-403F21.4	cryptic	1.28e-10
clu_137745_-	4	chr1:173864704-173865510	GAS5	annotated	1.53e-10
clu_58636_+	3	chr1:21473585-21478144	NBPF3	cryptic	1.53e-10
clu_55108_-	3	chr2:97558994-97560832	ANKRD36B	cryptic	1.56e-10
clu_139238_-	40	chr1:248400044-248745142	LYPD8	cryptic	1.86e-10
clu_88828_+	10	chr3:3800548-3800739	SUMF1	cryptic	1.86e-10
clu_76489_+	13	chr5:69369933-69374628	RAD17	cryptic	2.3e-10
clu_173064_+	8	chr16:1309271-1314020	UBE2I	annotated	2.98e-10
clu_55463_-	21	chr2:113843353-113890893	.	annotated	3.3e-10
clu_55106_-	3	chr2:97547731-97549419	ANKRD36B	cryptic	3.34e-10
clu_102198_+	3	chr13:75621868-75713182	LMO7	annotated	3.43e-10
clu_6235_-	9	chr11:67400919-67419408	PPP1CA	cryptic	3.51e-10
clu_12350_-	31	chr15:99717822-99733345	LYSMD4	cryptic	3.56e-10
clu_34525_-	6	chr16:53637854-53641285	RPGRIP1L	cryptic	4.42e-10
clu_59420_+	2	chr1:39026398-39028723	NDUFS5	annotated	4.56e-10
clu_165481_+	6	chr17:76869097-76902555	MGAT5B	cryptic	4.87e-10
clu_111949_?	4	chr1:39026398-39034392	NDUFS5	cryptic	5.45e-10
clu_32955_-	12	chr16:634797-636094	METTL26	annotated	5.59e-10
clu_55124_-	3	chr2:97512052-97515732	ANKRD36B	cryptic	5.59e-10
clu_142347_+	8	chr15:28838822-28856133	PDCD6IPP2	cryptic	6.78e-10
clu_158360_+	10	chr11:71474526-71478395	NADSYN1	cryptic	7.43e-10
clu_121456_+	3	chr4:189952287-189957398	FRG1	annotated	7.43e-10
clu_137666_-	5	chr1:169237687-169298556	NME7	annotated	9.12e-10
clu_169905_-	14	chr4:9214838-9271800	.	annotated	9.55e-10
clu_36492_?	8	chr10:47542306-47544389	BMS1P2	cryptic	9.97e-10
clu_174283_+	9	chr16:24910477-24917998	SLC5A11	cryptic	1.02e-09
clu_76507_+	2	chr5:70421357-70421737	GTF2H2B	annotated	1.14e-09
clu_141979_+	6	chr15:22516990-22537453	HERC2P2	cryptic	1.33e-09
clu_156251_+	6	chr11:308438-314927	IFITM2	cryptic	1.55e-09
clu_165307_+	10	chr17:75226157-75231340	NUP85	cryptic	1.55e-09
clu_71144_+	3	chr22:20973520-20974063	AIFM3	annotated	1.63e-09
clu_45075_+	3	chr21:44117963-44119387	PWP2	cryptic	1.64e-09
clu_60929_+	5	chr1:109689325-109693206	GSTM1	annotated	1.75e-09
clu_90470_+	8	chr3:66220858-66262051	SLC25A26	cryptic	1.75e-09
clu_136781_-	5	chr1:148586469-148595543	NBPF14	annotated	1.81e-09
clu_92424_+	11	chr3:198211810-198228194	FAM157A	cryptic	1.96e-09
clu_142806_+	6	chr15:43185607-43189208	CCNDBP1	cryptic	2.04e-09
clu_19191_-	2	chr3:27352919-27369225	NEK10	cryptic	2.27e-09
clu_79837_-	12	chr20:38421098-38426419	SNHG17	cryptic	2.29e-09
clu_123497_+	6	chr8:43093563-43103528	POMK	cryptic	2.35e-09
clu_97172_-	4	chr17:69175513-69182153	ABCA10	annotated	2.61e-09
clu_95051_-	3	chr17:10686842-10691872	SCO1	cryptic	2.63e-09
clu_57069_-	15	chr2:223741990-223777691	AP1S3	cryptic	2.63e-09
clu_89630_+	12	chr3:40525864-40530212	ZNF621	cryptic	2.63e-09
clu_153791_+	11	chr14:23955212-23967211	DHRS4	cryptic	2.77e-09
clu_151681_-	5	chr6:42211917-42214280	MRPS10	cryptic	3.03e-09
clu_185047_+	4	chr7:23691596-23700786	FAM221A	annotated	3.03e-09
clu_92936_?	16	chr14:49812987-49862710	.	annotated	3.04e-09
clu_81496_-	2	chr14:57209782-57209953	EXOC5	cryptic	3.07e-09
clu_81835_-	10	chr14:74296449-74302875	ABCD4	cryptic	3.25e-09
clu_11868_-	7	chr15:76292513-76311350	ETFA	annotated	3.42e-09
clu_169596_-	4	chr4:1056503-1058321	RNF212	cryptic	3.55e-09
clu_171062_-	3	chr4:101061161-101080532	PPP3CA	annotated	5.16e-09
clu_136387_-	3	chr1:120620465-120641608	CH17-472G23.4	cryptic	5.24e-09
clu_151973_-	3	chr6:61678947-61681009	RP1-240B8.3	cryptic	5.96e-09
clu_10223_-	4	chr15:20669637-20671113	NBEAP1	cryptic	6.12e-09
clu_66720_-	4	chr19:221205-229636	LINC01002	annotated	7.1e-09
clu_55388_-	5	chr2:111344237-111494885	MIR4435-2HG	annotated	7.33e-09
clu_25385_-	22	chr5:682366-774751	.	annotated	8.46e-09
clu_117006_+	6	chr6:42879951-42883454	RPL7L1	cryptic	8.65e-09
clu_155175_+	9	chr14:91199905-91215405	C14orf159	cryptic	8.9e-09
clu_96029_-	8	chr17:42111497-42112605	DHX58	cryptic	9.15e-09
clu_169035_-	25	chr7:149891301-150293312	ACTR3C	cryptic	9.67e-09
clu_22414_-	2	chr3:197613318-197615564	AC024560.3	annotated	1.07e-08
clu_79839_-	4	chr20:38431112-38435197	SNHG17	annotated	1.09e-08
clu_118116_+	10	chr6:124283142-124818387	NKAIN2	cryptic	1.09e-08
clu_10555_-	11	chr15:37218820-37420060	RP11-720L8.1	cryptic	1.1e-08
clu_47502_-	13	chr9:127896332-127912268	ST6GALNAC6	cryptic	1.1e-08
clu_142808_+	3	chr15:43192803-43194415	CCNDBP1	annotated	1.16e-08
clu_126326_-	5	chr12:54950390-54962431	TESPA1	cryptic	1.17e-08
clu_84741_+	5	chr9:128429036-128435653	CERCAM	cryptic	1.17e-08
clu_165396_+	4	chr17:75724782-75727195	ITGB4	cryptic	1.7e-08
clu_171207_-	2	chr4:109302075-109302474	COL25A1	cryptic	1.81e-08
clu_65329_+	5	chrX:48898014-48898492	PQBP1	cryptic	1.82e-08
clu_100810_-	12	chr18:23377671-23437781	TMEM241	cryptic	2.03e-08
clu_113814_?	15	chr1:148808737-148937747	PDE4DIP	cryptic	2.21e-08
clu_49474_+	2	chr12:50429090-50430498	LARP4	annotated	2.33e-08
clu_61767_+	7	chr1:148868622-148937747	PDE4DIP	cryptic	2.45e-08
clu_129545_+	3	chr19:16228208-16233493	AP1M1	annotated	2.48e-08
clu_64293_+	4	chr1:232950744-232956347	NTPCR	annotated	2.54e-08
clu_100712_-	14	chr18:11897356-11909092	MPPE1	cryptic	2.57e-08
clu_10611_-	7	chr15:40557372-40564976	C15orf57	annotated	2.67e-08
clu_172007_-	5	chr21:5142668-5144091	CH507-9B2.5	cryptic	2.74e-08
clu_133132_-	6	chr1:1722831-1734690	CDK11A	cryptic	2.9e-08
clu_138236_-	11	chr1:204274809-204367799	PLEKHA6	cryptic	3.01e-08
clu_64362_+	3	chr1:236542787-236543560	LGALS8	annotated	3.05e-08
clu_116348_+	4	chr6:26383181-26383792	BTN2A2	annotated	3.17e-08
clu_56614_-	32	chr2:199664037-199846075	FTCDNL1	cryptic	3.52e-08
clu_147368_+	16	chr2:84518051-84548288	DNAH6	cryptic	3.53e-08
clu_141995_+	3	chr15:22564532-22569149	HERC2P2	cryptic	3.73e-08
clu_142540_+	5	chr15:40030456-40034326	EIF2AK4	cryptic	3.73e-08
clu_51447_+	14	chr12:123687035-123692658	TCTN2	cryptic	4.21e-08
clu_162962_+	7	chr17:16439414-16440185	LRRC75A-AS1	annotated	4.38e-08
clu_46317_-	4	chr9:65288015-65289658	CBWD4P	cryptic	4.54e-08
clu_5055_-	8	chr11:33722463-33736382	CD59	cryptic	4.7e-08
clu_11324_-	12	chr15:61016035-61094356	RORA	cryptic	5.24e-08
clu_5734_-	21	chr11:62519992-62529803	.	annotated	5.89e-08
clu_134990_-	4	chr1:43451071-43451428	HYI	cryptic	6.04e-08
clu_24727_-	5	chr10:103392466-103396409	USMG5	annotated	6.59e-08
clu_131181_+	9	chr19:39256530-39356689	SAMD4B	cryptic	6.59e-08
clu_97966_-	6	chr17:82183932-82188219	CCDC57	cryptic	7.29e-08
clu_90317_+	4	chr3:56564125-56566594	CCDC66	cryptic	7.62e-08
clu_69512_-	3	chr19:40333929-40336110	C19orf47	annotated	7.83e-08
clu_165010_+	3	chr17:65177794-65189286	RGS9	annotated	7.85e-08
clu_78727_+	3	chr5:179699049-179705679	CANX	annotated	7.89e-08
clu_33383_-	14	chr16:4466402-4474573	NMRAL1	cryptic	8.56e-08
clu_22415_-	3	chr3:197621868-197623220	AC024560.3	annotated	8.7e-08
clu_142262_+	4	chr15:25232755-25234575	SNHG14	cryptic	9.13e-08
clu_152972_-	6	chr6:135300558-135318519	AHI1	cryptic	9.22e-08
clu_117641_+	4	chr6:87322632-87337009	SMIM8	annotated	9.63e-08
clu_1414_-	9	chrX:117945575-118116508	KLHL13	cryptic	1.03e-07
clu_47744_-	11	chr9:132202923-132214126	.	annotated	1.04e-07
clu_128029_-	20	chr12:124911743-124913568	.	annotated	1.08e-07
clu_166000_-	10	chr7:1127386-1155453	ZFAND2A	cryptic	1.08e-07
clu_142041_+	5	chr15:24920124-24962114	SNRPN	cryptic	1.12e-07
clu_127916_-	5	chr12:123267282-123272157	CDK2AP1	cryptic	1.2e-07
clu_70844_-	7	chr19:58090386-58118348	ZSCAN18	cryptic	1.2e-07
clu_31441_+	4	chr20:16041278-16049833	MACROD2	annotated	1.38e-07
clu_16096_-	2	chr8:51820718-51831444	PCMTD1	annotated	1.49e-07
clu_18411_+	4	chr18:57357470-57371409	ST8SIA3	cryptic	1.51e-07
clu_41890_?	9	chr2:97193053-97207811	ANKRD36	cryptic	1.7e-07
clu_31606_+	7	chr20:26059860-26081188	FAM182A	cryptic	1.72e-07
clu_90462_+	9	chr3:64685338-64799465	ADAMTS9-AS2	cryptic	1.72e-07
clu_135794_-	5	chr1:89009494-89014083	GBP3	cryptic	1.86e-07
clu_1242_-	9	chrX:103517525-103554145	RAB40A	cryptic	2.13e-07
clu_20636_-	12	chr3:98708316-98732426	ST3GAL6-AS1	cryptic	2.22e-07
clu_70441_-	2	chr19:52951584-52952751	ZNF816	cryptic	2.26e-07
clu_146507_+	3	chr2:38779118-38781517	GEMIN6	annotated	2.26e-07
clu_25520_-	11	chr5:1576309-1589247	SDHAP3	cryptic	2.32e-07
clu_26469_-	7	chr5:80485561-80487778	CTD-2015H6.3	cryptic	2.43e-07
clu_185708_+	2	chr7:65073514-65078624	CCT6P3	cryptic	2.46e-07
clu_36283_?	5	chr10:32462703-32472481	CCDC7	cryptic	2.51e-07
clu_62853_+	3	chr1:165631293-165649841	MGST3	annotated	2.56e-07
clu_172946_+	3	chr16:668699-670123	RHOT2	annotated	2.61e-07
clu_67499_-	6	chr19:6444301-6454323	SLC25A23	cryptic	2.62e-07
clu_44698_+	24	chr21:32772272-32893578	C21orf62-AS1	cryptic	2.84e-07
clu_61685_+	15	chr1:146984185-146994332	NBPF12	cryptic	2.89e-07
clu_64005_+	33	chr1:224434862-224680958	CNIH3	cryptic	2.9e-07
clu_3953_-	13	chr22:43886488-43891688	PNPLA5	cryptic	3.04e-07
clu_88782_+	3	chr3:342082-344589	CHL1	annotated	3.04e-07
clu_80353_-	14	chr20:61145595-61163179	.	annotated	3.09e-07
clu_141370_+	13	chr10:104274949-104299128	GSTO2	cryptic	3.56e-07
