gene_id	ensemblID	seqname	gene_name	Dir
ENSG00000136869.13	ENSG00000136869	chr9	TLR4	1.0
ENSG00000111843.13	ENSG00000111843	chr6	TMEM14C	-1.0
ENSG00000259295.6	ENSG00000259295	chr15	CSPG4P12	1.0
ENSG00000130827.6	ENSG00000130827	chrX	PLXNA3	1.0
ENSG00000185829.16	ENSG00000185829	chr17	ARL17A	1.0
ENSG00000259448.2	ENSG00000259448	chr15	RP11-16E12.1	-1.0
ENSG00000122085.16	ENSG00000122085	chr2	MTERF4	1.0
ENSG00000260565.6	ENSG00000260565	chr16	CTD-2270P14.1	1.0
ENSG00000280195.1	ENSG00000280195	chrX	XX-FW83563B9.5	-1.0
ENSG00000134202.10	ENSG00000134202	chr1	GSTM3	-1.0
ENSG00000112130.16	ENSG00000112130	chr6	RNF8	1.0
ENSG00000231205.11	ENSG00000231205	chr19	ZNF826P	1.0
ENSG00000274642.1	ENSG00000274642	chr1	CH17-472G23.1	1.0
ENSG00000249437.7	ENSG00000249437	chr5	NAIP	1.0
ENSG00000196436.8	ENSG00000196436	chr16	NPIPB15	-1.0
ENSG00000168491.9	ENSG00000168491	chr4	CCDC110	-1.0
ENSG00000144026.11	ENSG00000144026	chr2	ZNF514	1.0
ENSG00000157326.18	ENSG00000157326	chr14	DHRS4	1.0
ENSG00000203875.10	ENSG00000203875	chr6	SNHG5	1.0
ENSG00000279495.1	ENSG00000279495	chr14	RP11-521B24.4	1.0
ENSG00000133433.10	ENSG00000133433	chr22	GSTT2B	-1.0
ENSG00000165197.4	ENSG00000165197	chrX	VEGFD	-1.0
ENSG00000272894.5	ENSG00000272894	chr7	RP5-1159O4.1	1.0
ENSG00000171503.11	ENSG00000171503	chr4	ETFDH	1.0
ENSG00000273253.2	ENSG00000273253	chr22	RP3-402G11.26	1.0
ENSG00000047188.15	ENSG00000047188	chr5	YTHDC2	-1.0
ENSG00000176268.5	ENSG00000176268	chr13	CYCSP34	1.0
ENSG00000277203.1	ENSG00000277203	chrX	F8A1	1.0
ENSG00000206145.8	ENSG00000206145	chr22	P2RX6P	-1.0
ENSG00000246695.7	ENSG00000246695	chr12	RASSF8-AS1	1.0
ENSG00000219642.2	ENSG00000219642	chr6	BMPR1APS1	-1.0
ENSG00000070476.14	ENSG00000070476	chr3	ZXDC	1.0
ENSG00000129204.16	ENSG00000129204	chr17	USP6	1.0
ENSG00000261777.5	ENSG00000261777	chr16	RP11-529K1.2	-1.0
ENSG00000233121.1	ENSG00000233121	chr3	VN1R20P	1.0
ENSG00000254995.4	ENSG00000254995	chr20	STX16-NPEPL1	1.0
ENSG00000227745.1	ENSG00000227745	chr2	AC098826.5	1.0
ENSG00000163046.15	ENSG00000163046	chr2	ANKRD30BL	1.0
ENSG00000169738.7	ENSG00000169738	chr17	DCXR	-1.0
ENSG00000138642.14	ENSG00000138642	chr4	HERC6	-1.0
ENSG00000110077.14	ENSG00000110077	chr11	MS4A6A	1.0
ENSG00000162174.12	ENSG00000162174	chr11	ASRGL1	-1.0
ENSG00000112619.7	ENSG00000112619	chr6	PRPH2	1.0
ENSG00000220563.1	ENSG00000220563	chr6	PKMP3	1.0
ENSG00000275464.4	ENSG00000275464	chr21	CH507-9B2.5	1.0
ENSG00000115274.14	ENSG00000115274	chr2	INO80B	1.0
ENSG00000132676.15	ENSG00000132676	chr1	DAP3	-1.0
ENSG00000167112.9	ENSG00000167112	chr9	TRUB2	1.0
ENSG00000163536.12	ENSG00000163536	chr3	SERPINI1	-1.0
ENSG00000112599.8	ENSG00000112599	chr6	GUCA1B	1.0
ENSG00000272630.1	ENSG00000272630	chr10	RP11-344N10.5	-1.0
ENSG00000173769.4	ENSG00000173769	chr3	TOPAZ1	-1.0
ENSG00000272668.1	ENSG00000272668	chr1	RP11-190A12.8	1.0
ENSG00000235098.8	ENSG00000235098	chr1	ANKRD65	1.0
ENSG00000119698.11	ENSG00000119698	chr14	PPP4R4	1.0
ENSG00000228232.1	ENSG00000228232	chrX	GAPDHP1	-1.0
ENSG00000264057.1	ENSG00000264057	chr17	RP11-583F2.1	1.0
ENSG00000270605.1	ENSG00000270605	chr1	RP5-1092A3.4	1.0
ENSG00000184227.7	ENSG00000184227	chr14	ACOT1	-1.0
ENSG00000166887.15	ENSG00000166887	chr15	VPS39	-1.0
ENSG00000272732.1	ENSG00000272732	chr7	RP5-1159O4.2	1.0
ENSG00000162600.11	ENSG00000162600	chr1	OMA1	1.0
ENSG00000173681.16	ENSG00000173681	chrX	CXorf23	1.0
ENSG00000279457.3	ENSG00000279457	chr1	FO538757.1	1.0
ENSG00000160282.13	ENSG00000160282	chr21	FTCD	1.0
ENSG00000259583.2	ENSG00000259583	chr15	RP11-66B24.4	-1.0
ENSG00000152926.14	ENSG00000152926	chr7	ZNF117	1.0
ENSG00000137513.9	ENSG00000137513	chr11	NARS2	1.0
ENSG00000198890.7	ENSG00000198890	chr1	PRMT6	-1.0
ENSG00000101444.12	ENSG00000101444	chr20	AHCY	1.0
ENSG00000219481.10	ENSG00000219481	chr1	NBPF1	-1.0
ENSG00000166435.15	ENSG00000166435	chr11	XRRA1	1.0
ENSG00000008283.15	ENSG00000008283	chr17	CYB561	1.0
ENSG00000214189.8	ENSG00000214189	chr19	ZNF788	-1.0
ENSG00000204272.12	ENSG00000204272	chrX	LINC01420	-1.0
ENSG00000231245.2	ENSG00000231245	chr10	C1DP1	-1.0
ENSG00000248103.1	ENSG00000248103	chr5	CTC-338M12.9	1.0
ENSG00000255495.1	ENSG00000255495	chr8	AC145124.2	1.0
ENSG00000183309.11	ENSG00000183309	chr8	ZNF623	-1.0
ENSG00000261502.3	ENSG00000261502	chr16	RP11-96H17.1	1.0
ENSG00000234350.4	ENSG00000234350	chr2	AC007405.4	1.0
ENSG00000120322.3	ENSG00000120322	chr5	PCDHB8	1.0
ENSG00000259390.2	ENSG00000259390	chr15	RP11-27M9.1	1.0
ENSG00000213088.9	ENSG00000213088	chr1	ACKR1	1.0
ENSG00000103226.17	ENSG00000103226	chr16	NOMO3	1.0
ENSG00000185596.16	ENSG00000185596	chr15	WASH3P	1.0
ENSG00000213551.4	ENSG00000213551	chr10	DNAJC9	1.0
ENSG00000132967.9	ENSG00000132967	chr3	HMGB1P5	-1.0
ENSG00000026950.16	ENSG00000026950	chr6	BTN3A1	-1.0
ENSG00000214026.10	ENSG00000214026	chr11	MRPL23	-1.0
ENSG00000257261.5	ENSG00000257261	chr12	RP11-96H19.1	1.0
ENSG00000079931.14	ENSG00000079931	chr6	MOXD1	-1.0
ENSG00000274026.1	ENSG00000274026	chr9	FAM27E3	1.0
ENSG00000055483.19	ENSG00000055483	chr17	USP36	1.0
ENSG00000261499.2	ENSG00000261499	chr17	CH17-260O16.1	1.0
ENSG00000109771.15	ENSG00000109771	chr4	LRP2BP	1.0
ENSG00000111196.9	ENSG00000111196	chr12	MAGOHB	1.0
ENSG00000130208.9	ENSG00000130208	chr19	APOC1	1.0
ENSG00000149089.12	ENSG00000149089	chr11	APIP	1.0
ENSG00000259447.1	ENSG00000259447	chr15	RP11-462P6.1	1.0
ENSG00000172167.7	ENSG00000172167	chr8	MTBP	-1.0
ENSG00000128408.8	ENSG00000128408	chr22	RIBC2	1.0
ENSG00000280107.1	ENSG00000280107	chr6	AL022393.9	1.0
ENSG00000111671.9	ENSG00000111671	chr12	SPSB2	-1.0
ENSG00000215424.9	ENSG00000215424	chr21	MCM3AP-AS1	-1.0
ENSG00000125551.18	ENSG00000125551	chr2	PLGLB2	-1.0
ENSG00000275064.1	ENSG00000275064	chr1	CH17-262O2.1	-1.0
ENSG00000113249.12	ENSG00000113249	chr5	HAVCR1	1.0
ENSG00000196118.11	ENSG00000196118	chr16	CCDC189	1.0
ENSG00000135951.14	ENSG00000135951	chr2	TSGA10	1.0
ENSG00000139679.15	ENSG00000139679	chr13	LPAR6	1.0
ENSG00000170632.13	ENSG00000170632	chr7	ARMC10	-1.0
ENSG00000164306.10	ENSG00000164306	chr4	PRIMPOL	1.0
ENSG00000161010.14	ENSG00000161010	chr5	C5orf45	1.0
ENSG00000160221.16	ENSG00000160221	chr21	C21orf33	-1.0
ENSG00000197702.11	ENSG00000197702	chr11	PARVA	-1.0
ENSG00000172890.11	ENSG00000172890	chr11	NADSYN1	1.0
ENSG00000215481.8	ENSG00000215481	chr22	BCRP3	1.0
ENSG00000008394.12	ENSG00000008394	chr12	MGST1	-1.0
ENSG00000210196.2	ENSG00000210196	chrM	MT-TP	1.0
ENSG00000244005.12	ENSG00000244005	chr20	NFS1	-1.0
ENSG00000170248.13	ENSG00000170248	chr3	PDCD6IP	-1.0
ENSG00000131015.4	ENSG00000131015	chr6	ULBP2	1.0
ENSG00000250241.5	ENSG00000250241	chr4	RP11-9G1.3	-1.0
ENSG00000233927.4	ENSG00000233927	chr19	RPS28	1.0
ENSG00000233435.2	ENSG00000233435	chr10	AGGF1P2	1.0
ENSG00000215440.11	ENSG00000215440	chr20	NPEPL1	1.0
ENSG00000171469.10	ENSG00000171469	chr19	ZNF561	1.0
