module,gene_id,gene_name
greenyellow,ENSG00000130764.9,LRRC47
yellow,ENSG00000116198.12,CEP104
brown,ENSG00000169598.15,DFFB
grey,ENSG00000198912.10,C1orf174
royalblue,ENSG00000196581.10,AJAP1
greenyellow,ENSG00000131697.17,NPHP4
darkorange,ENSG00000069424.14,KCNAB2
black,ENSG00000116254.17,CHD5
green,ENSG00000116251.9,RPL22
black,ENSG00000226944.1,RP1-120G22.11
brown,ENSG00000158286.12,RNF207
turquoise,ENSG00000116237.15,ICMT
turquoise,ENSG00000158292.6,GPR153
plum1,ENSG00000097021.19,ACOT7
brown,ENSG00000215788.9,TNFRSF25
brown,ENSG00000171680.20,PLEKHG5
tan,ENSG00000162408.10,NOL9
brown,ENSG00000204859.12,ZBTB48
grey,ENSG00000162413.16,KLHL21
white,ENSG00000116273.5,PHF13
grey,ENSG00000041988.15,THAP3
greenyellow,ENSG00000007923.15,DNAJC11
turquoise,ENSG00000171735.18,CAMTA1
pink,ENSG00000237402.1,CAMTA1-IT1
grey,ENSG00000049245.12,VAMP3
brown,ENSG00000269925.1,RP3-467L1.6
red,ENSG00000049246.14,PER3
grey,ENSG00000116288.12,PARK7
green,ENSG00000116285.12,ERRFI1
tan,ENSG00000162426.14,SLC45A1
tan,ENSG00000142599.17,RERE
grey,ENSG00000221083.1,SNORA77
yellow,ENSG00000224315.2,RPL7P7
grey,ENSG00000222511.2,Y_RNA
brown,ENSG00000228423.2,RP4-633I8.4
blue,ENSG00000074800.13,ENO1
blue,ENSG00000236269.1,ENO1-IT1
lightcyan,ENSG00000142583.17,SLC2A5
blue,ENSG00000228526.5,MIR34A
pink,ENSG00000049239.12,H6PD
grey,ENSG00000171621.13,SPSB1
magenta,ENSG00000171612.6,SLC25A33
grey,ENSG00000231181.1,RP13-15M17.1
greenyellow,ENSG00000188807.12,TMEM201
blue,ENSG00000171608.15,PIK3CD
tan,ENSG00000171603.16,CLSTN1
green,ENSG00000178585.14,CTNNBIP1
purple,ENSG00000162441.11,LZIC
yellow,ENSG00000173614.13,NMNAT1
tan,ENSG00000130939.18,UBE4B
black,ENSG00000233623.2,PGAM1P11
tan,ENSG00000201746.1,RNU6-828P
royalblue,ENSG00000054523.17,KIF1B
grey,ENSG00000199562.1,RNU6-37P
tan,ENSG00000142657.20,PGD
grey,ENSG00000175279.21,APITD1
grey,ENSG00000241563.3,CORT
purple,ENSG00000160049.11,DFFA
greenyellow,ENSG00000142655.12,PEX14
skyblue,ENSG00000130940.14,CASZ1
tan,ENSG00000120948.15,TARDBP
green,ENSG00000271895.2,RP4-635E18.8
plum1,ENSG00000116649.9,SRM
blue,ENSG00000171824.13,EXOSC10
yellow,ENSG00000226849.1,RP4-635E18.7
tan,ENSG00000198793.12,MTOR
brown,ENSG00000120942.13,UBIAD1
black,ENSG00000204624.7,DISP3
blue,ENSG00000116661.9,FBXO2
greenyellow,ENSG00000132879.13,FBXO44
black,ENSG00000116663.10,FBXO6
blue,ENSG00000116670.14,MAD2L2
blue,ENSG00000162490.6,DRAXIN
grey,ENSG00000177674.15,AGTRAP
greenyellow,ENSG00000177000.10,MTHFR
greenyellow,ENSG00000011021.21,CLCN6
turquoise,ENSG00000116685.15,KIAA2013
yellow,ENSG00000083444.16,PLOD1
lightyellow,ENSG00000116688.16,MFN2
brown,ENSG00000116691.10,MIIP
lightcyan,ENSG00000028137.17,TNFRSF1B
green,ENSG00000048707.13,VPS13D
tan,ENSG00000239149.1,SNORA59A
magenta,ENSG00000162496.8,DHRS3
turquoise,ENSG00000157330.9,C1orf158
magenta,ENSG00000162493.16,PDPN
midnightblue,ENSG00000116731.22,PRDM2
blue,ENSG00000189337.16,KAZN
grey,ENSG00000175147.11,TMEM51-AS1
grey,ENSG00000142621.19,FHAD1
turquoise,ENSG00000228140.1,RP3-467K16.4
turquoise,ENSG00000142634.12,EFHD2
black,ENSG00000132906.17,CASP9
red,ENSG00000116138.12,DNAJC16
grey,ENSG00000116771.5,AGMAT
yellow,ENSG00000237301.1,RP4-680D5.2
green,ENSG00000197312.11,DDI2
greenyellow,ENSG00000116786.11,PLEKHM2
brown,ENSG00000162461.7,SLC25A34
magenta,ENSG00000233954.6,UQCRHL
grey,ENSG00000179743.4,FLJ37453
grey,ENSG00000065526.10,SPEN
pink,ENSG00000116809.11,ZBTB17
grey,ENSG00000185519.8,FAM131C
brown,ENSG00000132881.11,RSG1
grey,ENSG00000037637.10,FBXO42
tan,ENSG00000055070.16,SZRD1
grey,ENSG00000157191.19,NECAP2
brown,ENSG00000226029.1,RP4-798A10.2
brown,ENSG00000080947.14,CROCCP3
grey,ENSG00000233421.4,RP5-875O13.1
turquoise,ENSG00000219481.10,NBPF1
brown,ENSG00000215908.9,CROCCP2
darkturquoise,ENSG00000186301.8,MST1P2
red,ENSG00000236698.1,EIF1AXP1
brown,ENSG00000058453.16,CROCC
grey,ENSG00000207389.1,RNU1-4
grey,ENSG00000186715.10,MST1L
grey,ENSG00000238142.1,RP11-108M9.4
grey,ENSG00000207005.1,RNU1-2
greenyellow,ENSG00000159363.17,ATP13A2
paleturquoise,ENSG00000117118.9,SDHB
magenta,ENSG00000117115.12,PADI2
turquoise,ENSG00000179051.13,RCC2
pink,ENSG00000074964.16,ARHGEF10L
blue,ENSG00000117154.11,IGSF21
blue,ENSG00000280222.1,RP11-174G17.3
blue,ENSG00000009709.11,PAX7
blue,ENSG00000159423.16,ALDH4A1
greenyellow,ENSG00000169991.10,IFFO2
brown,ENSG00000272084.1,RP5-1126H10.2
tan,ENSG00000127481.14,UBR4
greenyellow,ENSG00000127463.13,EMC1
grey,ENSG00000053372.4,MRTO4
grey,ENSG00000211454.13,AKR7L
lightcyan,ENSG00000162482.4,AKR7A3
tan,ENSG00000053371.12,AKR7A2
grey,ENSG00000200403.1,RNU6-1099P
brown,ENSG00000040487.12,PQLC2
turquoise,ENSG00000077549.17,CAPZB
grey,ENSG00000173436.13,MINOS1
grey,ENSG00000226396.1,RP5-1056L3.3
greenyellow,ENSG00000158747.13,NBL1
grey,ENSG00000158748.3,HTR6
green,ENSG00000169914.5,OTUD3
magenta,ENSG00000127472.10,PLA2G5
grey,ENSG00000187980.6,PLA2G2C
grey,ENSG00000225986.1,UBXN10-AS1
turquoise,ENSG00000162543.5,UBXN10
grey,ENSG00000158816.15,VWA5B1
yellow,ENSG00000236963.6,LINC01141
darkolivegreen,ENSG00000162545.5,CAMK2N1
tan,ENSG00000090432.6,MUL1
turquoise,ENSG00000183114.7,FAM43B
greenyellow,ENSG00000158828.6,PINK1
grey,ENSG00000117242.7,PINK1-AS
midnightblue,ENSG00000244038.9,DDOST
grey,ENSG00000117245.12,KIF17
grey,ENSG00000235432.1,RP5-930J4.5
saddlebrown,ENSG00000189410.11,SH2D5
yellow,ENSG00000127483.17,HP1BP3
turquoise,ENSG00000075151.20,EIF4G3
tan,ENSG00000221808.1,MIR1256
green,ENSG00000233072.1,RPS15AP6
grey,ENSG00000236073.2,RP11-487E1.2
turquoise,ENSG00000117298.14,ECE1
grey,ENSG00000227001.3,NBPF2P
red,ENSG00000187952.9,HS6ST1P1
yellow,ENSG00000142794.18,NBPF3
grey,ENSG00000162551.13,ALPL
lightyellow,ENSG00000076864.19,RAP1GAP
blue,ENSG00000090686.15,USP48
brown,ENSG00000142798.17,HSPG2
grey60,ENSG00000218510.6,LINC00339
green,ENSG00000070831.15,CDC42
brown,ENSG00000230068.2,CDC42-IT1
grey,ENSG00000271840.1,RP1-224A6.9
blue,ENSG00000162552.14,WNT4
purple,ENSG00000184677.16,ZBTB40
grey,ENSG00000237200.1,ZBTB40-IT1
blue,ENSG00000070886.11,EPHA8
lightcyan,ENSG00000173372.16,C1QA
lightcyan,ENSG00000159189.11,C1QC
lightcyan,ENSG00000173369.15,C1QB
pink,ENSG00000133216.16,EPHB2
green,ENSG00000004487.15,KDM1A
grey,ENSG00000169641.13,LUZP1
yellow,ENSG00000261326.2,LINC01355
grey,ENSG00000125944.18,HNRNPR
white,ENSG00000125945.14,ZNF436
grey,ENSG00000249087.6,ZNF436-AS1
grey,ENSG00000204219.9,TCEA3
blue,ENSG00000088280.18,ASAP3
grey,ENSG00000117318.8,ID3
paleturquoise,ENSG00000142676.12,RPL11
green,ENSG00000011007.12,TCEB3
yellow,ENSG00000236810.5,TCEB3-AS1
green,ENSG00000057757.9,PITHD1
greenyellow,ENSG00000011009.10,LYPLA2
brown,ENSG00000117308.14,GALE
salmon,ENSG00000117305.14,HMGCL
salmon,ENSG00000179163.11,FUCA1
cyan,ENSG00000189266.11,PNRC2
blue,ENSG00000188529.14,SRSF10
skyblue,ENSG00000142661.18,MYOM3
skyblue,ENSG00000142677.3,IL22RA1
grey,ENSG00000185436.11,IFNLR1
blue,ENSG00000001460.17,STPG1
blue,ENSG00000001461.16,NIPAL3
royalblue,ENSG00000133226.16,SRRM1
magenta,ENSG00000169504.14,CLIC4
grey,ENSG00000117614.9,SYF2
darkolivegreen,ENSG00000117616.17,RSRP1
grey,ENSG00000261349.1,RP3-465N24.5
red,ENSG00000183726.10,TMEM50A
blue,ENSG00000188672.17,RHCE
green,ENSG00000204178.9,TMEM57
grey,ENSG00000157978.11,LDLRAP1
grey,ENSG00000117643.14,MAN1C1
greenyellow,ENSG00000162430.16,SEPN1
salmon,ENSG00000228172.5,RP1-317E23.3
greenyellow,ENSG00000117640.17,MTFR1L
blue,ENSG00000127423.10,AUNIP
greenyellow,ENSG00000182749.5,PAQR7
blue,ENSG00000117632.21,STMN1
purple,ENSG00000158006.13,PAFAH2
brown,ENSG00000158008.9,EXTL1
turquoise,ENSG00000175087.9,PDIK1L
grey,ENSG00000142684.8,ZNF593
brown,ENSG00000142675.17,CNKSR1
grey,ENSG00000236155.6,RP11-231P20.2
brown,ENSG00000130695.13,CEP85
tan,ENSG00000142669.14,SH3BGRL3
pink,ENSG00000158062.20,UBXN11
tan,ENSG00000117682.16,DHDDS
blue,ENSG00000198830.10,HMGN2
lightcyan,ENSG00000117676.13,RPS6KA1
tan,ENSG00000117713.18,ARID1A
yellow,ENSG00000060642.10,PIGV
blue,ENSG00000204160.11,ZDHHC18
blue,ENSG00000142751.14,GPN2
orange,ENSG00000198746.12,GPATCH3
grey,ENSG00000090273.13,NUDC
blue,ENSG00000253368.3,TRNP1
tan,ENSG00000090020.10,SLC9A1
lightyellow,ENSG00000142784.15,WDTC1
yellow,ENSG00000243659.1,RP11-4K3__A.3
greenyellow,ENSG00000186501.14,TMEM222
brown,ENSG00000241547.1,ACTG1P20
blue,ENSG00000142765.17,SYTL1
blue,ENSG00000142733.14,MAP3K6
midnightblue,ENSG00000158195.10,WASF2
brown,ENSG00000126705.13,AHDC1
grey,ENSG00000235912.1,RP1-159A19.3
blue,ENSG00000126709.14,IFI6
grey,ENSG00000009780.15,FAM76A
grey,ENSG00000231344.1,RP3-426I6.2
grey,ENSG00000230833.1,RPEP3
green,ENSG00000117758.13,STX12
grey,ENSG00000269971.1,RP3-426I6.5
grey,ENSG00000270031.1,RP3-426I6.6
green,ENSG00000117751.17,PPP1R8
yellow,ENSG00000252947.1,SCARNA1
blue,ENSG00000130775.15,THEMIS2
blue,ENSG00000117748.9,RPA2
grey,ENSG00000158156.7,XKR8
yellow,ENSG00000158161.15,EYA3
grey,ENSG00000238231.2,RP11-460I13.6
brown,ENSG00000240750.3,RN7SL559P
grey,ENSG00000228589.3,SPCS2P4
lightcyan,ENSG00000169403.11,PTAFR
paleturquoise,ENSG00000126698.10,DNAJC8
blue,ENSG00000130770.17,ATPIF1
grey,ENSG00000270605.1,RP5-1092A3.4
tan,ENSG00000130766.4,SESN2
grey,ENSG00000130772.13,MED18
grey,ENSG00000204138.12,PHACTR4
grey,ENSG00000229820.2,RP1-308E4.1
yellow,ENSG00000180198.15,RCC1
yellow,ENSG00000242125.3,SNHG3
grey,ENSG00000200087.1,SNORA73B
black,ENSG00000180098.9,TRNAU1AP
pink,ENSG00000197989.13,SNHG12
purple,ENSG00000120656.11,TAF12
orange,ENSG00000162419.12,GMEB1
green,ENSG00000198492.15,YTHDF2
black,ENSG00000116329.10,OPRD1
blue,ENSG00000159023.19,EPB41
green,ENSG00000116350.16,SRSF4
brown,ENSG00000116353.15,MECR
grey,ENSG00000060656.19,PTPRU
lightcyan,ENSG00000162511.7,LAPTM5
tan,ENSG00000162512.15,SDC3
royalblue,ENSG00000134644.15,PUM1
blue,ENSG00000084628.9,NKAIN1
orange,ENSG00000060688.12,SNRNP40
grey,ENSG00000229447.2,RP11-490K7.4
blue,ENSG00000121766.15,ZCCHC17
grey,ENSG00000229044.1,RP11-266K22.2
saddlebrown,ENSG00000121769.7,FABP3
lightyellow,ENSG00000168528.11,SERINC2
grey,ENSG00000142910.15,TINAGL1
tan,ENSG00000162517.12,PEF1
greenyellow,ENSG00000084636.17,COL16A1
brown,ENSG00000121753.12,ADGRB2
brown,ENSG00000266580.1,MIR4254
blue,ENSG00000134668.12,SPOCD1
grey,ENSG00000269967.1,RP11-84A19.4
royalblue,ENSG00000184007.18,PTP4A2
green,ENSG00000121774.17,KHDRBS1
black,ENSG00000121775.17,TMEM39B
tan,ENSG00000025800.13,KPNA6
brown,ENSG00000084652.15,TXLNA
yellow,ENSG00000160050.14,CCDC28B
brown,ENSG00000224066.1,RP4-622L5.7
yellow,ENSG00000160051.11,IQCC
brown,ENSG00000160055.19,TMEM234
grey,ENSG00000084623.11,EIF3I
grey,ENSG00000220785.7,MTMR9LP
turquoise,ENSG00000182866.16,LCK
turquoise,ENSG00000116478.11,HDAC1
red,ENSG00000175130.6,MARCKSL1
grey,ENSG00000162526.6,TSSK3
blue,ENSG00000225828.1,FAM229A
blue,ENSG00000160058.18,BSDC1
blue,ENSG00000273274.1,ZBTB8B
grey,ENSG00000160062.14,ZBTB8A
brown,ENSG00000176261.15,ZBTB8OS
green,ENSG00000162521.18,RBBP4
blue,ENSG00000162520.14,SYNC
darkturquoise,ENSG00000162522.10,KIAA1522
tan,ENSG00000134684.10,YARS
grey,ENSG00000116497.17,S100PBP
turquoise,ENSG00000160097.15,FNDC5
turquoise,ENSG00000121905.9,HPCA
brown,ENSG00000121900.18,TMEM54
tan,ENSG00000116514.16,RNF19B
grey,ENSG00000004455.16,AK2
grey,ENSG00000276645.1,Metazoa_SRP
lightyellow,ENSG00000142920.16,AZIN2
turquoise,ENSG00000116525.13,TRIM62
grey,ENSG00000279179.1,RP11-131M11.3
pink,ENSG00000160094.14,ZNF362
brown,ENSG00000270115.1,RP11-415J8.7
plum1,ENSG00000134686.17,PHC2
pink,ENSG00000222112.1,RN7SKP16
purple,ENSG00000121903.14,ZSCAN20
tan,ENSG00000121904.17,CSMD2
blue,ENSG00000163866.8,SMIM12
turquoise,ENSG00000189280.3,GJB5
brown,ENSG00000255811.1,RP1-34M23.5
brown,ENSG00000116544.11,DLGAP3
salmon,ENSG00000241014.1,RP11-244H3.1
grey60,ENSG00000163867.16,ZMYM6
turquoise,ENSG00000197056.9,ZMYM1
grey,ENSG00000116560.10,SFPQ
purple,ENSG00000146463.11,ZMYM4
yellow,ENSG00000229994.1,RPL5P4
greenyellow,ENSG00000142687.17,KIAA0319L
greenyellow,ENSG00000020129.15,NCDN
yellow,ENSG00000239636.1,RP4-728D4.2
orange,ENSG00000116819.6,TFAP2E
midnightblue,ENSG00000126067.11,PSMB2
plum1,ENSG00000142686.7,C1orf216
turquoise,ENSG00000092853.13,CLSPN
salmon,ENSG00000134698.10,AGO4
tan,ENSG00000092847.11,AGO1
purple,ENSG00000126070.19,AGO3
brown,ENSG00000092850.11,TEKT2
grey,ENSG00000116863.10,ADPRHL2
lightcyan,ENSG00000171812.11,COL8A2
blue,ENSG00000054116.11,TRAPPC3
greenyellow,ENSG00000116871.15,MAP7D1
green,ENSG00000054118.13,THRAP3
brown,ENSG00000214193.9,SH3D21
black,ENSG00000116883.8,RP11-268J15.5
brown,ENSG00000196182.10,STK40
darkgreen,ENSG00000181817.5,LSM10
grey,ENSG00000116885.18,OSCP1
grey,ENSG00000201448.1,SNORA63
grey,ENSG00000116898.11,MRPS15
lightcyan,ENSG00000119535.17,CSF3R
blue,ENSG00000163873.9,GRIK3
blue,ENSG00000233621.1,LINC01137
orange,ENSG00000163874.9,ZC3H12A
midnightblue,ENSG00000163875.15,MEAF6
grey,ENSG00000263675.1,MIR5581
midnightblue,ENSG00000163877.9,SNIP1
grey,ENSG00000163879.10,DNALI1
turquoise,ENSG00000134697.12,GNL2
grey,ENSG00000116922.14,C1orf109
blue,ENSG00000183317.16,EPHA10
blue,ENSG00000185090.14,MANEAL
tan,ENSG00000196449.3,YRDC
steelblue,ENSG00000197982.13,C1orf122
turquoise,ENSG00000188786.9,MTF1
blue,ENSG00000204084.12,INPP5B
green,ENSG00000183431.11,SF3A3
blue,ENSG00000183386.9,FHL3
green,ENSG00000183520.11,UTP11
turquoise,ENSG00000185668.7,POU3F1
grey,ENSG00000224592.5,RP5-884C9.2
grey,ENSG00000116954.7,RRAGC
yellow,ENSG00000228436.2,RP5-864K19.4
grey,ENSG00000214114.8,MYCBP
green,ENSG00000174574.15,AKIRIN1
paleturquoise,ENSG00000168653.10,NDUFS5
blue,ENSG00000127603.23,MACF1
tan,ENSG00000270040.1,RP11-416A14.1
pink,ENSG00000183682.7,BMP8A
greenyellow,ENSG00000237624.1,OXCT2P1
brown,ENSG00000182109.7,RP11-69E11.4
brown,ENSG00000243970.1,PPIEL
blue,ENSG00000090621.13,PABPC4
salmon,ENSG00000201457.1,SNORA55
salmon,ENSG00000163909.7,HEYL
brown,ENSG00000116981.3,NT5C1A
blue,ENSG00000116983.12,HPCAL4
grey,ENSG00000084072.16,PPIE
grey,ENSG00000116985.11,BMP8B
grey,ENSG00000198754.5,OXCT2
green,ENSG00000043514.15,TRIT1
green,ENSG00000202222.1,Y_RNA
turquoise,ENSG00000116990.10,MYCL
orange,ENSG00000168389.17,MFSD2A
orange,ENSG00000228477.1,RP3-342P20.2
lightgreen,ENSG00000131236.16,CAP1
red,ENSG00000131238.16,PPT1
white,ENSG00000117000.8,RLF
salmon,ENSG00000259943.1,RP1-39G22.7
turquoise,ENSG00000084073.8,ZMPSTE24
grey,ENSG00000049089.13,COL9A2
midnightblue,ENSG00000084070.11,SMAP2
grey,ENSG00000187801.14,ZFP69B
darkgreen,ENSG00000260920.2,RP1-228H13.5
grey,ENSG00000279667.1,RP11-656D10.7
grey,ENSG00000187815.9,ZFP69
yellow,ENSG00000238287.1,RP11-656D10.3
grey,ENSG00000164002.11,EXO5
turquoise,ENSG00000117010.15,ZNF684
blue,ENSG00000117016.9,RIMS3
grey,ENSG00000272145.1,NFYC-AS1
lightyellow,ENSG00000066136.20,NFYC
darkturquoise,ENSG00000117013.14,KCNQ4
brown,ENSG00000171793.13,CTPS1
greenyellow,ENSG00000281207.1,SLFNL1-AS1
yellow,ENSG00000171790.15,SLFNL1
midnightblue,ENSG00000010803.16,SCMH1
pink,ENSG00000204060.6,FOXO6
brown,ENSG00000127124.14,HIVEP3
royalblue,ENSG00000198815.8,FOXJ3
pink,ENSG00000177181.14,RIMKLA
blue,ENSG00000066185.12,ZMYND12
grey,ENSG00000127125.8,PPCS
yellow,ENSG00000186409.14,CCDC30
grey,ENSG00000230116.1,RP11-163G10.2
grey,ENSG00000236876.3,TMSB4XP1
grey,ENSG00000236180.2,RP11-163G10.4
grey,ENSG00000171960.10,PPIH
grey,ENSG00000234917.2,RP5-994D16.3
grey,ENSG00000065978.18,YBX1
blue,ENSG00000117385.15,P3H1
brown,ENSG00000164008.14,C1orf50
salmon,ENSG00000274386.5,RP5-994D16.11
grey,ENSG00000177868.11,SVBP
grey,ENSG00000164010.13,ERMAP
yellow,ENSG00000164011.17,ZNF691
salmon,ENSG00000117394.19,SLC2A1
blue,ENSG00000227533.5,SLC2A1-AS1
grey,ENSG00000117395.11,EBNA1BP2
turquoise,ENSG00000243710.7,CFAP57
blue,ENSG00000066056.13,TIE1
yellow,ENSG00000066322.13,ELOVL1
grey60,ENSG00000159479.16,MED8
brown,ENSG00000198198.14,SZT2
blue,ENSG00000178922.16,HYI
grey,ENSG00000229348.1,HYI-AS1
brown,ENSG00000142949.16,PTPRF
pink,ENSG00000066135.12,KDM4A
yellow,ENSG00000236200.5,KDM4A-AS1
darkorange,ENSG00000126091.19,ST3GAL3
grey,ENSG00000233674.2,RP11-184I16.3
grey,ENSG00000117407.16,ARTN
yellow,ENSG00000237950.1,RP11-7O11.3
pink,ENSG00000117408.10,IPO13
blue,ENSG00000132768.13,DPH2
greenyellow,ENSG00000117410.13,ATP6V0B
brown,ENSG00000117411.16,B4GALT2
brown,ENSG00000159214.12,CCDC24
blue,ENSG00000196517.11,SLC6A9
brown,ENSG00000178028.13,DMAP1
greenyellow,ENSG00000117419.14,ERI3
brown,ENSG00000233602.1,ERI3-IT1
pink,ENSG00000187147.17,RNF220
brown,ENSG00000126106.13,TMEM53
brown,ENSG00000198520.10,C1orf228
grey,ENSG00000142945.12,KIF2C
paleturquoise,ENSG00000142937.11,RPS8
pink,ENSG00000142959.4,BEST4
lightgreen,ENSG00000173846.12,PLK3
lightyellow,ENSG00000222009.8,BTBD19
brown,ENSG00000117425.13,PTCH2
brown,ENSG00000226499.1,RP5-882O7.1
black,ENSG00000070785.16,EIF2B3
pink,ENSG00000126107.14,HECTD3
blue,ENSG00000126088.13,UROD
turquoise,ENSG00000162415.6,ZSWIM5
yellow,ENSG00000234315.1,OSTCP5
brown,ENSG00000132781.17,MUTYH
grey,ENSG00000132773.11,TOE1
blue,ENSG00000070759.16,TESK2
grey,ENSG00000280670.2,CCDC163P
yellow,ENSG00000132763.14,MMACHC
grey,ENSG00000117450.13,PRDX1
darkorange,ENSG00000117448.13,AKR1A1
yellow,ENSG00000132780.16,NASP
grey,ENSG00000159588.14,CCDC17
cyan,ENSG00000159592.10,GPBP1L1
yellow,ENSG00000225447.1,RPS15AP10
yellow,ENSG00000234329.1,RP11-767N6.2
yellow,ENSG00000159596.6,TMEM69
salmon,ENSG00000197429.10,IPP
blue,ENSG00000230896.1,RP11-767N6.7
tan,ENSG00000086015.20,MAST2
salmon,ENSG00000117461.14,PIK3R3
brown,ENSG00000085998.13,POMGNT1
blue,ENSG00000171357.5,LURAP1
yellow,ENSG00000085999.11,RAD54L
greenyellow,ENSG00000132128.16,LRRC41
royalblue,ENSG00000173660.11,UQCRH
grey,ENSG00000117481.10,NSUN4
saddlebrown,ENSG00000117480.15,FAAH
yellow,ENSG00000232022.7,FAAHP1
black,ENSG00000162456.9,KNCN
turquoise,ENSG00000079277.19,MKNK1
turquoise,ENSG00000142961.14,MOB3C
red,ENSG00000123472.12,ATPAF1
blue,ENSG00000233647.2,NENFP1
red,ENSG00000159658.10,EFCAB14
blue,ENSG00000186377.7,CYP4X1
grey,ENSG00000186160.4,CYP4Z1
grey,ENSG00000225506.2,CYP4A22-AS1
grey,ENSG00000162365.11,CYP4A22
blue,ENSG00000225514.1,MTND1P34
lightcyan,ENSG00000162367.11,TAL1
grey,ENSG00000123473.15,STIL
red,ENSG00000162368.13,CMPK1
turquoise,ENSG00000132122.11,SPATA6
grey,ENSG00000224986.2,PPP1R8P1
grey,ENSG00000235105.1,RP11-329A14.1
grey,ENSG00000232514.1,RP11-329A14.2
turquoise,ENSG00000186094.16,AGBL4
white,ENSG00000162373.12,BEND5
grey,ENSG00000225623.1,AGBL4-IT1
grey,ENSG00000237478.2,RP5-926E3.1
turquoise,ENSG00000162374.16,ELAVL4
salmon,ENSG00000185104.19,FAF1
grey,ENSG00000123080.10,CDKN2C
blue,ENSG00000203356.2,LINC01562
royalblue,ENSG00000123091.4,RNF11
lightgreen,ENSG00000085831.15,TTC39A
turquoise,ENSG00000085832.16,EPS15
turquoise,ENSG00000117859.18,OSBPL9
turquoise,ENSG00000078618.20,NRDC
turquoise,ENSG00000169213.6,RAB3B
grey,ENSG00000117862.11,TXNDC12
grey,ENSG00000198841.3,KTI12
green,ENSG00000134717.17,BTF3L4
lightgreen,ENSG00000157077.14,ZFYVE9
darkturquoise,ENSG00000241745.3,RN7SL788P
yellow,ENSG00000224255.2,PDCL3P6
grey,ENSG00000213735.2,ANAPC10P1
brown,ENSG00000154222.14,CC2D1B
