""	gene_id	Symbol	gene_type	chr	start	end	strand	length	logFC	AveExpr	t	P.Value	adj.P.Val	B	SE
ENST00000450062.1	ENSG00000226278.1	PSPHP1	unprocessed_pseudogene	chr7	55764797	55773288	+	261	-4.13535831628368	-2.65895940229147	-9.35629803179916	1.93537554991398e-17	8.35974716698957e-14	20.3336775500198	0.104263579853889
ENST00000543470.5	ENSG00000136643.11	RPS6KC1	protein_coding	chr1	213051233	213273464	+	4227	-0.467376337224052	4.36100187725066	-9.21029027852683	5.01664732124128e-17	2.05286489066584e-13	27.9475005935871	0.0640041769017257
ENST00000622749.1	ENSG00000277150.1	F8A3	protein_coding	chrX	155456914	155458672	-	1759	-4.11490629690461	0.405926921174893	-9.18771602916532	5.80967608165702e-17	2.25851157674417e-13	27.2948934565454	0.460788977777582
ENST00000573866.2	ENSG00000262202.4	RP11-160E2.6	lincRNA	chr17	19112000	19112636	-	637	2.18898841432055	-0.149368247070429	9.11531679900267	9.29333510093589e-17	3.44074668617984e-13	27.1732713153557	0.168107771197738
ENST00000612320.1	ENSG00000274642.1	CH17-472G23.1	unprocessed_pseudogene	chr1	120197085	120319680	+	853	1.62838158685231	0.358897213631052	9.02297180188707	1.68848754795328e-16	5.9672684933349e-13	26.7720132575809	0.0704250041910475
ENST00000567370.1	ENSG00000260306.1	RP11-645C24.5	lincRNA	chr16	21794095	21795759	-	1665	0.936394061169024	-0.192392379988747	8.95248858602238	2.65910985709184e-16	8.9889474516909e-13	26.1739874003925	0.56833719114854
ENST00000263063.8	ENSG00000107951.13	MTPAP	protein_coding	chr10	30309801	30349319	-	5601	0.221195401420027	5.45886706452586	8.87241493958509	4.44697947835102e-16	1.44063606017413e-12	25.6433489950769	0.0845917621162168
ENST00000409569.2	ENSG00000172965.14	MIR4435-2HG	lincRNA	chr2	111429309	111495086	-	514	-1.30927784800562	-0.948287979301544	-8.77586729434656	8.24629212371809e-16	2.56459685047633e-12	24.4978574878297	0.139935307778131
ENST00000556379.1	ENSG00000215256.3	DHRS4-AS1	antisense	chr14	23938731	23954197	-	2852	0.755071851238257	2.72730950216372	8.75123148156269	9.64939213428192e-16	2.885539378617e-12	25.1941507154884	0.27862015783067
ENST00000569046.1	ENSG00000259781.1	RP11-673C5.1	processed_pseudogene	chr15	71164770	71165415	-	646	0.77543268547499	3.96309646776947	8.7345845552818	1.07291906804745e-15	3.08960953854405e-12	24.9596421867581	0.282757813021064
ENST00000540882.5	ENSG00000256193.5	LINC00507	lincRNA	chr12	127915442	127951450	+	1935	1.35453376913349	1.59512717135847	8.60771976191175	2.40120258336326e-15	6.66762503058906e-12	24.3413403410626	0.0542162614315005
ENST00000541272.1	ENSG00000150991.14	UBC	protein_coding	chr12	124913035	124914074	-	582	2.24299646562743	2.18513577849105	8.47487542889052	5.55172353890915e-15	1.48843622465581e-11	23.5093268613652	2.4299970553151
ENST00000419065.6	ENSG00000180822.11	PSMG4	protein_coding	chr6	3258952	3267781	+	629	3.07237249052467	-3.06091973833011	8.40654964481656	8.52468042162558e-15	2.2093130092713e-11	17.1004987143935	0.188439183410868
ENST00000373736.6	ENSG00000084628.9	NKAIN1	protein_coding	chr1	31179745	31239554	-	2589	0.762300352240626	1.7931135337585	8.39836956297864	8.97287362076024e-15	2.2504545935939e-11	23.056205064906	1.15185184162695
ENST00000457274.1	ENSG00000230133.1	FLJ33581	lincRNA	chr20	24199767	24224588	+	2376	1.20735214615124	-0.595190752998752	8.36994866304991	1.07194843164084e-14	2.60449970500236e-11	22.514868745868	0.140475441542008
ENST00000262554.6	ENSG00000090054.13	SPTLC1	protein_coding	chr9	92031999	92115376	-	1894	-0.175452897042576	4.98917858652257	-8.3266170785231	1.40512355162788e-14	3.31055624663843e-11	22.3024064591391	0.0765994163330516
ENST00000433756.1	ENSG00000034239.10	EFCAB1	protein_coding	chr8	48714915	48735311	-	2286	-1.23316382560657	-0.236129419134386	-8.29419943827761	1.71976865100276e-14	3.93270625339601e-11	22.1648635370481	0.0796780905937843
ENST00000262103.7	ENSG00000034239.10	EFCAB1	protein_coding	chr8	48723408	48735232	-	2051	-1.34306570546303	-0.0183635797977817	-8.25361056690649	2.21373584816088e-14	4.91765606270025e-11	21.9876044771529	0.498144619913483
ENST00000336733.10	ENSG00000144741.17	SLC25A26	protein_coding	chr3	66221012	66378079	+	1023	0.644502019346817	2.8331943259043	8.14396266310872	4.36629959301646e-14	9.4299942599175e-11	21.4468668052664	0.101544589405986
ENST00000450454.6	ENSG00000204219.9	TCEA3	protein_coding	chr1	23381061	23424740	-	1559	0.607017554018843	1.07506342909709	8.11937193459134	5.08180932669968e-14	1.06786668959703e-10	21.3667667441972	0.529762055349038
ENST00000422145.7	ENSG00000236922.9	LINC01378	lincRNA	chr4	117428396	117691188	+	2516	0.843702518403215	0.0328318016530726	8.05782576037392	7.42257991245113e-14	1.51869891629757e-10	20.9057712958002	0.0694513294432705
ENST00000399273.5	ENSG00000170160.17	CCDC144A	protein_coding	chr17	16690241	16777881	+	8686	0.683444127873994	6.85797890487909	8.04555212586684	8.00379800753906e-14	1.59562896175939e-10	20.2765469028069	0.105593468095753
ENST00000482713.1	ENSG00000038219.12	BOD1L1	protein_coding	chr4	13613506	13627701	-	4367	0.599122934780639	1.58875510506781	8.03835814428527	8.36518994395477e-14	1.62598379535621e-10	20.8881491130849	0.0726996767586944
ENST00000486319.5	ENSG00000168255.19	POLR2J3	protein_coding	chr7	102537920	102572649	-	1532	-1.14369239877282	3.41772817403525	-8.01330108267715	9.75474453074043e-14	1.84983265186602e-10	20.6109670436713	0.193412010485893
ENST00000589834.1	ENSG00000132471.11	WBP2	protein_coding	chr17	75849357	75855337	-	591	-1.21972160943691	0.0372129569065646	-7.94058111023971	1.52173967000106e-13	2.81702998434719e-10	20.1839174791342	0.141460783217039
ENST00000412712.1	ENSG00000235092.5	ID2-AS1	antisense	chr2	8666636	8678334	-	953	0.977875347599598	-1.31833187025705	7.87965915487103	2.20533666161591e-13	3.98755640559622e-10	19.1091666244563	0.0959077558121929
ENST00000514247.5	ENSG00000109775.10	UFSP2	protein_coding	chr4	185399540	185425979	-	2348	0.41968697053293	2.6488470487726	7.87348460585602	2.28966702631139e-13	4.04594571126615e-10	19.8419379065107	0.111533300145908
ENST00000291576.11	ENSG00000241945.7	PWP2	protein_coding	chr21	44107290	44131181	+	3297	-3.0074014399546	2.41038792892891	-7.86954832020461	2.34508561064105e-13	4.05178680505204e-10	19.8685360184778	0.127947976271922
ENST00000341745.3	ENSG00000188933.14	USP32P1	transcribed_unprocessed_pseudogene	chr17	16798009	16804455	+	3233	0.659985404109438	5.26320456435345	7.86274449451377	2.44402373178919e-13	4.13093141623064e-10	19.4367672615908	0.068754099118231
ENST00000528584.5	ENSG00000206149.10	HERC2P9	transcribed_unprocessed_pseudogene	chr15	28654442	28685264	+	2947	0.420502701633687	4.38348579908188	7.8523895088166	2.60258264005437e-13	4.30533617583462e-10	19.512069611488	0.180896993084579
ENST00000566178.5	ENSG00000261377.5	PDCD6IPP2	transcribed_unprocessed_pseudogene	chr15	28832321	28859007	+	3351	0.914242253736315	2.84060608275911	7.83194522414853	2.94611892154648e-13	4.77209887812997e-10	19.5791291295874	0.0334075355220869
ENST00000624870.1	ENSG00000279656.1	RP11-298I3.6	TEC	chr14	23023083	23024217	-	1135	2.33870939756003	-1.02089887531789	7.71189225480075	6.08180701187443e-13	9.65021418720892e-10	18.327241473896	0.124978842569746
ENST00000399429.7	ENSG00000215018.9	COL28A1	protein_coding	chr7	7357875	7535853	-	4277	0.583866217277504	1.48199121928765	7.69639550336712	6.67556014424325e-13	1.03804960242982e-09	18.8738384557992	0.314741283724165
ENST00000529456.1	ENSG00000215374.5	FAM66B	lincRNA	chr8	7301611	7355354	-	1432	1.20640881587769	1.94464095295337	7.65720259477906	8.44537387092613e-13	1.28750552640099e-09	18.6246453437226	0.0960327576693417
ENST00000392350.7	ENSG00000128699.13	ORMDL1	protein_coding	chr2	189770323	189784364	-	2009	-0.593141703042661	3.00962664323256	-7.63915872673173	9.40913077326926e-13	1.40684599542632e-09	18.4295552769033	0.150319729147004
ENST00000577603.1	ENSG00000188933.14	USP32P1	transcribed_unprocessed_pseudogene	chr17	16791663	16796204	+	553	0.970684160785087	-0.0729253477947694	7.58908954965985	1.26904945493436e-12	1.86167160605936e-09	18.1623321737679	0.121994001609903
ENST00000618848.1	ENSG00000274767.1	AC131056.3	antisense	chr17	36183461	36196456	+	486	-1.55943994965395	-1.25779922194401	-7.57988617322872	1.34064399391278e-12	1.93027908382812e-09	17.3412923993726	0.102707426091219
ENST00000377890.6	ENSG00000168003.16	SLC3A2	protein_coding	chr11	62856102	62888793	+	2161	-2.16599888807853	1.47957827891548	-7.57006754123876	1.42142955139677e-12	2.00938450220179e-09	18.1449622915385	0.100988568087633
ENST00000438770.6	ENSG00000226686.7	LINC01535	lincRNA	chr19	37251912	37263762	+	553	2.35876344543282	-1.6520347187097	7.5656699912996	1.45915440094355e-12	2.02587954773859e-09	16.9602585748066	0.0579470485316208
ENST00000514813.6	ENSG00000248124.7	RRN3P1	transcribed_unprocessed_pseudogene	chr16	21796106	21808816	-	3645	0.412533632821854	2.93522118975783	7.56256538201752	1.48638196585043e-12	2.02747715517317e-09	17.9875904807034	0.0886378425695638
ENST00000553454.1	ENSG00000215256.3	DHRS4-AS1	antisense	chr14	23940216	23954122	-	1492	1.63261315855493	-1.27277436416762	7.5510949584111	1.59140455227379e-12	2.13330524033254e-09	17.3386475854211	0.391853879312135
ENST00000592712.5	ENSG00000226686.7	LINC01535	lincRNA	chr19	37251926	37263613	+	1699	0.855336643103632	0.494282795862727	7.52914956392146	1.81318766251053e-12	2.36704696987072e-09	17.8918438980916	0.0989124793646303
ENST00000422285.6	ENSG00000131828.13	PDHA1	protein_coding	chrX	19343933	19361685	+	3310	-0.341795536386151	5.35656115615362	-7.52790340197647	1.82666004105779e-12	2.36704696987072e-09	17.4506908132645	0.14618743004221
ENST00000323981.6	ENSG00000166012.15	TAF1D	protein_coding	chr11	93729948	93741494	-	2540	0.416198078248879	3.23345566995202	7.52078120847054	1.90557903384528e-12	2.42883229313887e-09	17.7068100899655	0.0444459354162116
ENST00000311028.4	ENSG00000104490.17	NCALD	protein_coding	chr8	101686543	102124334	-	3655	-1.75402303045256	5.4250724495884	-7.5126738015983	1.99952209418713e-12	2.50746520682338e-09	17.3682158565786	0.0301633376842195
ENST00000578036.5	ENSG00000214176.9	PLEKHM1P1	transcribed_unprocessed_pseudogene	chr17	64779259	64837139	-	4318	0.511158531696884	2.45346096814749	7.49188125210166	2.26188966168059e-12	2.79145906659786e-09	17.6259559569436	0.0480421061820992
ENST00000615128.1	ENSG00000274767.1	AC131056.3	antisense	chr17	36183235	36188882	+	1059	-1.2680038424181	0.0077498337661032	-7.45364449261213	2.83619612756454e-12	3.44553513934598e-09	17.388214065781	0.428539010483186
ENST00000444558.5	ENSG00000188933.14	USP32P1	transcribed_unprocessed_pseudogene	chr17	16794466	16801643	+	3751	0.719794865045957	2.00246993813584	7.43471232630271	3.17170123314239e-12	3.79384262887416e-09	17.3331768436386	0.0890239418876195
ENST00000552361.1	ENSG00000197728.9	RPS26	protein_coding	chr12	56041893	56044223	+	623	-0.529690987863725	5.55927605307947	-7.42293553875623	3.39988131257088e-12	4.00516321291494e-09	16.8085784141622	0.0938753548065346
ENST00000519386.5	ENSG00000147586.9	MRPS28	protein_coding	chr8	79918855	80029839	-	555	2.83430284268776	-2.14208045047578	7.41416167934803	3.58034988379383e-12	4.15480900693986e-09	15.1217699194737	0.440639722162904
ENST00000529369.1	ENSG00000254682.1	RP11-660L16.2	antisense	chr11	71448674	71452157	+	680	0.898342885826141	0.189314682173196	7.37975834931058	4.38393927249638e-12	5.01251880053814e-09	17.0219883291888	0.142464738546595
ENST00000310128.8	ENSG00000175538.10	KCNE3	protein_coding	chr11	74454841	74467628	-	3143	0.467978742872666	0.965815289873738	7.35924999354916	4.94518803486284e-12	5.5722952131969e-09	16.9433540549864	0.161731612621017
ENST00000422519.1	ENSG00000224635.1	RP4-564F22.5	lincRNA	chr20	38406011	38416797	-	2004	-0.583561927986011	0.409710011293849	-7.32433883325178	6.06826575684487e-12	6.74010946563841e-09	16.7242868622661	0.220060664393054
ENST00000616006.1	ENSG00000274808.5	TBC1D3B	protein_coding	chr17	36172294	36176636	-	569	0.667798311838516	0.0551665591114107	7.320858528562	6.19316748139582e-12	6.78195453068345e-09	16.679066339458	0.100780613200084
ENST00000423432.6	ENSG00000102309.12	PIN4	protein_coding	chrX	72181676	72263964	+	1605	1.68948865069784	-1.97884941670083	7.29645064090044	7.14337107423768e-12	7.71384862530527e-09	15.1106917993214	0.121512196045859
ENST00000309865.11	ENSG00000237296.9	SMG1P1	transcribed_unprocessed_pseudogene	chr16	22437401	22491826	+	4223	1.74804669146337	4.25485117963725	7.23433585999349	1.02601851279184e-11	1.09277999136391e-08	15.9155832242257	0.0712498461450489
ENST00000412962.3	ENSG00000215908.9	CROCCP2	transcribed_unprocessed_pseudogene	chr1	16618969	16633346	-	1947	-0.559316719616952	2.12939822646571	-7.22925600038899	1.05677675355575e-11	1.11032962958053e-08	16.1577824007913	0.14655187720445
ENST00000336905.3	ENSG00000204588.5	LINC01123	lincRNA	chr2	109988272	109996140	+	2271	-0.718091665550832	3.88697842251164	-7.22684094199506	1.07171725292964e-11	1.11101355220373e-08	15.9297556577267	0.0921815705366204
ENST00000608771.1	ENSG00000272750.1	RP11-378J18.8	antisense	chr1	222658867	222661512	-	2646	-0.617928633729671	0.183101348361041	-7.20659774196282	1.20542940640824e-11	1.23318600458211e-08	16.0489641835178	0.124906664176717
ENST00000469164.1	ENSG00000164398.12	ACSL6	protein_coding	chr5	131993755	132011817	-	545	0.657991203657333	0.34871979931622	7.17836307924453	1.41980973292265e-11	1.43363904850306e-08	15.9125391894027	0.0829756624600761
ENST00000542678.5	ENSG00000150967.17	ABCB9	protein_coding	chr12	122929000	122981649	-	6051	0.978148918130981	-0.254627312467181	7.16820536130747	1.50580067326114e-11	1.50097438905197e-08	15.7907387083997	0.135477406183653
ENST00000397527.5	ENSG00000126001.15	CEP250	protein_coding	chr20	35455329	35519280	+	15703	-0.196748124329304	5.35445746797993	-7.14920245310749	1.6806950658672e-11	1.65410178950854e-08	15.271042435128	0.486127845377746
ENST00000478636.5	ENSG00000183281.14	PLGLB1	protein_coding	chr2	87012302	87018708	-	2081	2.04559728363311	0.230341692579019	7.11527187949873	2.04420193018448e-11	1.98670875089804e-08	15.5555673476886	0.05482923053223
ENST00000452622.1	ENSG00000223855.1	HRAT92	lincRNA	chr7	520391	525232	+	3506	0.564762613195272	0.29764625287802	7.09883798877425	2.24713367707805e-11	2.15697090608418e-08	15.470240379248	0.254725964253347
ENST00000429990.1	ENSG00000196436.8	NPIPB15	protein_coding	chr16	74377878	74392080	+	1428	-1.64675096797422	0.392002129307449	-7.09459913973648	2.30262241048392e-11	2.18327917579421e-08	15.4362426972714	0.200373052603741
ENST00000624049.1	ENSG00000278971.1	RP11-644A7.2	TEC	chr18	70489630	70491205	+	1576	0.724524207576295	-0.179360534803239	7.08277542506484	2.46464400370074e-11	2.29259605718835e-08	15.339808803774	0.432076177225164
ENST00000574655.5	ENSG00000120071.12	KANSL1	protein_coding	chr17	46171727	46225367	-	667	0.78412110955704	2.55008655219254	7.08191329225197	2.47688834474369e-11	2.29259605718835e-08	15.2803813328253	0.379690464065624
ENST00000229563.5	ENSG00000111843.13	TMEM14C	protein_coding	chr6	10722975	10731129	+	1113	-0.270741036385096	4.5218443710706	-7.05468005145788	2.89611868767706e-11	2.64909679961049e-08	14.8620345111785	0.0743295796022329
ENST00000392176.3	ENSG00000213077.5	FAM106A	protein_coding	chr17	18524566	18526846	-	2281	0.294229805618927	3.2050322070796	7.03498780603327	3.24213117115152e-11	2.93111277391896e-08	14.941492453455	0.142238519477481
ENST00000372967.3	ENSG00000168653.10	NDUFS5	protein_coding	chr1	39026318	39034636	+	544	-0.357395118091385	5.74903114374764	-7.03110038234715	3.31510545975832e-11	2.96263735053114e-08	14.5360435846965	0.17922056511981
ENST00000417524.5	ENSG00000188933.14	USP32P1	transcribed_unprocessed_pseudogene	chr17	16786489	16798429	+	1014	0.803133645747125	1.72333840236123	7.02273077961518	3.47776047876522e-11	3.07268042299995e-08	15.0276150667076	0.0815029404801637
ENST00000436911.6	ENSG00000227191.8	TRGC2	TR_C_gene	chr7	38239580	38249572	-	1013	1.40806733159605	-1.10123460078363	7.00427914462379	3.86465981232405e-11	3.37614944278871e-08	14.5379175875019	0.0714689676312775
ENST00000624664.1	ENSG00000183935.5	HTR7P1	transcribed_processed_pseudogene	chr12	13000420	13004830	+	4411	0.349331241094136	2.79830030780844	7.00067720663815	3.94499288627019e-11	3.40803552119452e-08	14.7963645042526	0.0793230461396211
ENST00000311765.3	ENSG00000172840.6	PDP2	protein_coding	chr16	66880361	66891096	+	7146	-0.161492496779075	5.07550093282791	-6.98143006670023	4.40297942959249e-11	3.70429736242007e-08	14.3714559611283	0.030551458277015
ENST00000448331.7	ENSG00000266302.6	RP11-219A15.1	protein_coding	chr17	16690261	16804453	+	8802	0.713267767096637	2.51482350113529	6.98117343709726	4.40942706940137e-11	3.70429736242007e-08	14.7243736916478	0.2364935882106
ENST00000560634.1	ENSG00000259726.1	CSPG4P11	unprocessed_pseudogene	chr15	84186752	84197384	+	4910	-0.396941016017203	3.74269146138033	-6.98032286477772	4.43086372611017e-11	3.70429736242007e-08	14.5639639580409	0.0512105101681844
ENST00000529624.5	ENSG00000206149.10	HERC2P9	transcribed_unprocessed_pseudogene	chr15	28590189	28674027	+	5187	0.80740976078637	3.37360796424378	6.97359330883756	4.6041274549636e-11	3.80820116620659e-08	14.5719147838594	0.233162242193747
ENST00000393005.6	ENSG00000188933.14	USP32P1	transcribed_unprocessed_pseudogene	chr17	16786990	16804455	+	3846	1.10281926183427	2.2968970018343	6.96564787112125	4.81730871196806e-11	3.94258686690018e-08	14.6591815414917	0.11469905482327
ENST00000527222.5	ENSG00000196922.10	ZNF252P	transcribed_unitary_pseudogene	chr8	144978139	145002895	-	876	-0.842209217146964	1.31515683962032	-6.95108019896347	5.23373997687249e-11	4.23878420001913e-08	14.6607988994389	0.0300447824695983
ENST00000503611.5	ENSG00000248429.5	RP11-597D13.9	antisense	chr4	158170752	158202877	+	2917	0.926511533980525	0.4143690430564	6.8974017009275	7.09776464862309e-11	5.68918764361283e-08	14.3758149627807	0.0630623071954718
ENST00000445583.6	ENSG00000188933.14	USP32P1	transcribed_unprocessed_pseudogene	chr17	16787759	16801126	+	1370	0.699449187861514	1.91135367259459	6.89314468356361	7.27092124418294e-11	5.7685114972982e-08	14.2966469837262	0.173535262542505
ENST00000457498.5	ENSG00000144559.10	TAMM41	protein_coding	chr3	11790446	11846881	-	2558	0.944721761453176	0.651985034275751	6.88378808594631	7.66626731933451e-11	6.02073014220463e-08	14.3061496456994	0.212647130063921
ENST00000253329.2	ENSG00000131013.3	PPIL4	protein_coding	chr6	149504733	149546038	-	2232	0.190540384548401	5.30468288878594	6.87892778824482	7.87991314101556e-11	6.1266324671396e-08	13.7546856302	0.0503453236984651
ENST00000355622.6	ENSG00000136869.13	TLR4	protein_coding	chr9	117704372	117716871	+	4844	0.465976886315163	4.52970991904638	6.8667310125419	8.44222386308313e-11	6.49884064707637e-08	13.8153390320851	0.125785085217497
ENST00000494191.6	ENSG00000058453.16	CROCC	protein_coding	chr1	16938909	16954357	+	1996	-0.491260930921413	1.28815459345613	-6.8513844461495	9.20618459752058e-11	7.01745933781593e-08	14.1160397572484	0.101067124212956
ENST00000464564.6	ENSG00000090266.12	NDUFB2	protein_coding	chr7	140696709	140704963	+	469	-3.45085088359667	-2.75656100856629	-6.83600810224501	1.00398418748334e-10	7.57861850260484e-08	9.82998321914909	0.1128464586034
ENST00000309765.4	ENSG00000173769.4	TOPAZ1	protein_coding	chr3	44241886	44332098	+	5334	-1.42067285707846	-1.78762341251625	-6.81831683963349	1.1091274888626e-10	8.29179444798719e-08	12.7580771305768	0.0760119139596815
ENST00000609578.1	ENSG00000273018.5	CTD-2303H24.2	processed_transcript	chr17	18523806	18533034	-	776	0.478349122206901	2.52436322486204	6.81277185598259	1.14426192103731e-10	8.47298708196675e-08	13.795301803347	0.4432669921816
ENST00000466343.2	ENSG00000254539.1	RP4-791M13.3	lincRNA	chr1	149048576	149051273	+	869	-0.365888456076257	1.94274480805549	-6.78478576007626	1.33901606437352e-10	9.78790662584393e-08	13.7089322916213	0.236762905247612
ENST00000610155.5	ENSG00000273018.5	CTD-2303H24.2	processed_transcript	chr17	18517382	18534062	-	1369	0.311235552302964	4.58220103428223	6.78372362917388	1.34701737487498e-10	9.78790662584393e-08	13.3415465335145	0.0845742617560775
ENST00000435634.2	ENSG00000223496.2	EXOSC6	protein_coding	chr16	70246778	70251930	-	5153	0.194686377523235	6.72438460852352	6.77937651086288	1.38025893472483e-10	9.93529371939477e-08	12.9611560237342	0.579629339231489
ENST00000262940.11	ENSG00000105808.17	RASA4	protein_coding	chr7	102579646	102616757	-	5605	-0.390069200986648	4.81730830391166	-6.77775578920617	1.39285789763862e-10	9.93529371939477e-08	13.283062063769	0.354665890821581
ENST00000556548.5	ENSG00000100445.17	SDR39U1	protein_coding	chr14	24439768	24442776	-	2336	-0.904265388359918	1.68347298453782	-6.76294527574406	1.51336267871683e-10	1.06967225700212e-07	13.6143596159931	0.0436207591317506
ENST00000396976.6	ENSG00000140265.12	ZSCAN29	protein_coding	chr15	43358172	43370048	-	5595	-0.16268517451252	4.71219304374885	-6.74935913133221	1.63290056163304e-10	1.14376593393666e-07	13.140526521412	0.0478224432934828
ENST00000514146.1	ENSG00000248275.1	TRIM52-AS1	processed_transcript	chr5	181261212	181264261	+	807	0.492507116927756	1.03031757360039	6.73380405565187	1.78120408271962e-10	1.23650551278081e-07	13.488442524247	0.089802782749019
ENST00000615329.4	ENSG00000136643.11	RPS6KC1	protein_coding	chr1	213051233	213273464	+	4022	0.332744632679527	4.70735562907125	6.72995154241008	1.81993676598445e-10	1.25221312880789e-07	13.0269151109035	0.113111816546951
ENST00000565817.1	ENSG00000261195.1	CTD-2380F24.1	antisense	chr16	19761560	19766070	-	559	1.22953408350716	-2.1711190512459	6.71261575934001	2.00473986886663e-10	1.36726776144194e-07	11.923749392027	0.305071785310024
ENST00000413559.1	ENSG00000254995.4	STX16-NPEPL1	protein_coding	chr20	58673638	58692206	+	557	0.601961102409085	0.440487980995205	6.70903007237295	2.04520865362369e-10	1.38273889408037e-07	13.3647427196216	0.17528522586922
ENST00000540768.5	ENSG00000125450.10	NUP85	protein_coding	chr17	75228161	75235757	+	1926	-0.514766028962449	1.31351609085328	-6.69927851089112	2.15937809830518e-10	1.43643884273213e-07	13.2945551847938	0.0996201988226426
ENST00000243389.7	ENSG00000123643.12	SLC36A1	protein_coding	chr5	151447596	151492381	+	5781	-0.230010467073691	5.19079309912876	-6.69909493621556	2.16158642571908e-10	1.43643884273213e-07	12.7892545581694	0.0599727640029023
ENST00000476279.5	ENSG00000090266.12	NDUFB2	protein_coding	chr7	140696671	140722790	+	1666	-0.739032383012418	0.347514917136676	-6.68809530337084	2.29804417827053e-10	1.51417741407232e-07	13.2499869097102	0.450081612936503
ENST00000500986.5	ENSG00000246985.7	SOCS2-AS1	processed_transcript	chr12	93542464	93571768	-	1655	-0.409498925001551	1.66447620171865	-6.62234076820962	3.30937873404369e-10	2.16222013925964e-07	12.8553550134705	0.0526686619294253
ENST00000498038.1	ENSG00000223865.10	HLA-DPB1	protein_coding	chr6	33080443	33085231	+	775	-1.38484100963016	-1.45911180009274	-6.61920975750072	3.36717157872673e-10	2.18164658538336e-07	12.1729857464515	0.0980355289175125
